{'descr': '还可以 有点小 不过地理位置不错', 'star': 3}
{'descr': '价格合适就是设施太少', 'star': 4}
{'descr': '***太小了，太没激情。', 'star': 3}
{'descr': '，我凌晨才到呢还没住哪，住后点评，谢谢了啊！', 'star': 3}
{'descr': '没有窗户的房间，洗了澡湿气排不出去，一股下水道的味道。很小的房，很低矮的空间，洗澡水不是很烫就是冰凉啊，床就是水泥砌的，头回见，哈尔滨都这么吗', 'star': 3}
{'descr': '没有一次性洗漱用具，房间比较小！整体还行吧', 'star': 3}
{'descr': '不错，性价比较高。基础设施多有。', 'star': 3}
{'descr': '房间非常小，又旧，又潮，没有任何一次性用品，包括卫生纸', 'star': 1}
{'descr': '感觉一般，比较小，狭窄，没有一次性用品，服务态度还行，天花板是大镜子，设计比较独特', 'star': 1}
{'descr': '隔音效果不好，不过也听不大清楚。没有一次性拖鞋。最好自带毛巾，浴巾。', 'star': 5}
{'descr': '很后悔没有看点评就预订了，当时主要为了和要住在延安饭店的领导离得近。\n\n有两个很大的问题：\n1、房间在临高架一边，非常非常的吵闹\n2、房间里味道很大-混杂这潮湿和难闻——这是我以前所住的所有快捷酒店都没有发生过的——我开了窗户散了半晚上的味道，还是觉得很难闻——\n', 'star': 1}
{'descr': '很后悔没有看点评就预订了，当时主要为了和要住在延安饭店的领导离得近。\n\n有两个很大的问题：\n1、房间在临高架一边，非常非常的吵闹\n2、房间里味道很大-混杂这潮湿和难闻——这是我以前所住的所有快捷酒店都没有发生过的——我开了窗户散了半晚上的味道，还是觉得很难闻——\n', 'star': 1}
{'descr': '很好的酒店，交通便利，房间干净，下回还会来住。', 'star': 5}
{'descr': '很好的酒店，交通便利，房间干净，下回还会来住。', 'star': 5}
{'descr': '此酒店位置极佳，其实选这里，也只是因为这个地方好，在静安区的核心地段。只是临近延安路高架，晚上会有一些吵。但问题大量存在，希望大家谨慎选择。\n1、第一晚，给我安排四层商务大床房，房间内破烂不堪，与网上照片完全不同。\n2、房间内充满了烟味，无法排出。\n3、我在黑暗中摸索了3分钟，才找到房间的灯，灯光控制在床头柜上，而原本放置灯光开关的墙上，留着一个大洞。\n4、厕所很小，浴房门快掉下来了，且浴房上方的', 'star': 5}
{'descr': '此酒店位置极佳，其实选这里，也只是因为这个地方好，在静安区的核心地段。只是临近延安路高架，晚上会有一些吵。但问题大量存在，希望大家谨慎选择。\n1、第一晚，给我安排四层商务大床房，房间内破烂不堪，与网上照片完全不同。\n2、房间内充满了烟味，无法排出。\n3、我在黑暗中摸索了3分钟，才找到房间的灯，灯光控制在床头柜上，而原本放置灯光开关的墙上，留着一个大洞。\n4、厕所很小，浴房门快掉下来了，且浴房上方的', 'star': 5}
{'descr': '交通方便，环境属实，价格实惠，非常满意，强烈推荐', 'star': 5}
{'descr': '交通方便，环境属实，价格实惠，非常满意，强烈推荐', 'star': 5}
{'descr': '位置不错比较方便，就是靠近高架比较吵！价格也过的去。', 'star': 5}
{'descr': '位置不错比较方便，就是靠近高架比较吵！价格也过的去。', 'star': 5}
{'descr': '房间很大很安静，下次来上海继续入住此店。', 'star': 3}
{'descr': '房间很大很安静，下次来上海继续入住此店。', 'star': 3}
{'descr': 'NICE hotel nearby the JingAn Tanper  , good price and near to the subway station LIne 2 ,,', 'star': 5}
{'descr': 'NICE hotel nearby the JingAn Tanper  , good price and near to the subway station LIne 2 ,,', 'star': 5}
{'descr': '靠近华东、华山医院，交通便捷，闹中取静，不错的选择，就是停车场要收费。', 'star': 5}
{'descr': '靠近华东、华山医院，交通便捷，闹中取静，不错的选择，就是停车场要收费。', 'star': 5}
{'descr': '设施还好.较清爽', 'star': 3}
{'descr': '设施还好.较清爽', 'star': 3}
{'descr': '服务满意', 'star': 3}
{'descr': '服务满意', 'star': 3}
{'descr': '可以。。房间比较小。。。\n交通还行。。有点吵。。', 'star': 5}
{'descr': '可以。。房间比较小。。。\n交通还行。。有点吵。。', 'star': 5}
{'descr': '这间酒店不错，位置极佳，走路到地铁2；7号线的静安寺站只要5分钟，周围繁华热闹，下次还住。', 'star': 3}
{'descr': '这间酒店不错，位置极佳，走路到地铁2；7号线的静安寺站只要5分钟，周围繁华热闹，下次还住。', 'star': 3}
{'descr': '酒店地理位置好,性价比高.', 'star': 3}
{'descr': '酒店地理位置好,性价比高.', 'star': 3}
{'descr': '酒店位置很方便，房间较干净，性价比不错', 'star': 3}
{'descr': '酒店位置很方便，房间较干净，性价比不错', 'star': 3}
{'descr': '房间还可以，性价比挺高。\n停车问题上，有个小不爽——\n因为我是自驾的，停了26小时，最后交钱时，答：24小时30元，超过24小时另算，哪怕多一分钟，再加30元。\n最后，无奈交钱走人。', 'star': 5}
{'descr': '房间还可以，性价比挺高。\n停车问题上，有个小不爽——\n因为我是自驾的，停了26小时，最后交钱时，答：24小时30元，超过24小时另算，哪怕多一分钟，再加30元。\n最后，无奈交钱走人。', 'star': 5}
{'descr': '：交通较方便，但酒店条件一般。', 'star': 3}
{'descr': '：交通较方便，但酒店条件一般。', 'star': 3}
{'descr': '位置极佳，很干净很舒适，大床房值得推荐。以后有机会还会继续去。', 'star': 5}
{'descr': '位置极佳，很干净很舒适，大床房值得推荐。以后有机会还会继续去。', 'star': 5}
{'descr': '住这酒店位置方便，设施还满意，清洁，我住的东苑的房也安静，房间的卫生还好，没有冰橱，没供饮用水。附近残饮比较少，没有西餐厅，快餐厅，星巴克的咖啡厅。 \n', 'star': 5}
{'descr': '住这酒店位置方便，设施还满意，清洁，我住的东苑的房也安静，房间的卫生还好，没有冰橱，没供饮用水。附近残饮比较少，没有西餐厅，快餐厅，星巴克的咖啡厅。 \n', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '旁边有个延安饭店，如果多花70多就可以住了，服务要好点就更好了', 'star': 1}
{'descr': '旁边有个延安饭店，如果多花70多就可以住了，服务要好点就更好了', 'star': 1}
{'descr': '服务人员在二楼，有房间说没房子，觉得细节做的不到位，推荐理由，交通比较方便', 'star': 5}
{'descr': '服务人员在二楼，有房间说没房子，觉得细节做的不到位，推荐理由，交通比较方便', 'star': 5}
{'descr': '有点发霉，服务能弄好点就可以了，有房说没房。', 'star': 5}
{'descr': '有点发霉，服务能弄好点就可以了，有房说没房。', 'star': 5}
{'descr': '环境还可以，就是面临马路，晚上有点吵，床单上有血渍哈哈。', 'star': 5}
{'descr': '环境还可以，就是面临马路，晚上有点吵，床单上有血渍哈哈。', 'star': 5}
{'descr': '条件还行，房间比网上看到的评价，然后想像的要大的多，停车也方便，过夜30元。', 'star': 5}
{'descr': '条件还行，房间比网上看到的评价，然后想像的要大的多，停车也方便，过夜30元。', 'star': 5}
{'descr': '交通方便，不远处就有地铁，吃也很方便。房间比较干净。', 'star': 5}
{'descr': '交通方便，不远处就有地铁，吃也很方便。房间比较干净。', 'star': 5}
{'descr': '不错的酒店，交通方便，只是房间卫生需要再仔细', 'star': 5}
{'descr': '不错的酒店，交通方便，只是房间卫生需要再仔细', 'star': 5}
{'descr': '还可以，接待的地方在二楼，接待人员只有两个，办手续和退房都很慢，房间还好，心慌比较硬，床不怎么好，墙面上有的地方已经发霉了。其他还好，没吃早餐。不过，总体而言，在那样的位置，这样的价格很不错，其他就无所谓了。', 'star': 5}
{'descr': '还可以，接待的地方在二楼，接待人员只有两个，办手续和退房都很慢，房间还好，心慌比较硬，床不怎么好，墙面上有的地方已经发霉了。其他还好，没吃早餐。不过，总体而言，在那样的位置，这样的价格很不错，其他就无所谓了。', 'star': 5}
{'descr': '一般般。交通方便，住在还算舒适。出差入住还是鼓励的。', 'star': 5}
{'descr': '一般般。交通方便，住在还算舒适。出差入住还是鼓励的。', 'star': 5}
{'descr': '离地铁站步行5分钟，附近吃饭、购物都挺方便的，就是消费的价位偏高', 'star': 5}
{'descr': '离地铁站步行5分钟，附近吃饭、购物都挺方便的，就是消费的价位偏高', 'star': 5}
{'descr': '交通方便，离静安寺很近，购物很方便。晚上还可以去对面公园喝咖啡', 'star': 5}
{'descr': '交通方便，离静安寺很近，购物很方便。晚上还可以去对面公园喝咖啡', 'star': 5}
{'descr': '毕竟是价格便宜，一份质量一份货啊！房间味道实在难闻，虽然给换了一次房间，但是还是问道重的！我看不会有下次了！', 'star': 1}
{'descr': '毕竟是价格便宜，一份质量一份货啊！房间味道实在难闻，虽然给换了一次房间，但是还是问道重的！我看不会有下次了！', 'star': 1}
{'descr': '总体感觉还不错，价格贵了点', 'star': 3}
{'descr': '总体感觉还不错，价格贵了点', 'star': 3}
{'descr': '太简易了。', 'star': 3}
{'descr': '太简易了。', 'star': 3}
{'descr': '商务酒店～～～价格合适～～～位置也很好～～～～', 'star': 5}
{'descr': '商务酒店～～～价格合适～～～位置也很好～～～～', 'star': 5}
{'descr': '房间比想象的大很多，在这个地段这个价位还算性价比很高的一个酒店。', 'star': 5}
{'descr': '房间比想象的大很多，在这个地段这个价位还算性价比很高的一个酒店。', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '主要是办公事到这附近才选了这个旅店。很一般的旅店，价格还可以。优点是离静安寺很近，地铁挺方便的。', 'star': 5}
{'descr': '主要是办公事到这附近才选了这个旅店。很一般的旅店，价格还可以。优点是离静安寺很近，地铁挺方便的。', 'star': 5}
{'descr': '地理位置还可以，特别是参加展览，特近，也便宜。但服务不好，特别是前台的服务。', 'star': 1}
{'descr': '地理位置还可以，特别是参加展览，特近，也便宜。但服务不好，特别是前台的服务。', 'star': 1}
{'descr': '经常住那，交通方便，有地铁，就是走的远些，装修和地毯都有些陈旧了，服务员态度不好，要批评！', 'star': 5}
{'descr': '经常住那，交通方便，有地铁，就是走的远些，装修和地毯都有些陈旧了，服务员态度不好，要批评！', 'star': 5}
{'descr': '这家店又旧又有味道，里面装修很老了，石灰有掉，旁边吃的地方比较少。', 'star': 1}
{'descr': '这家店又旧又有味道，里面装修很老了，石灰有掉，旁边吃的地方比较少。', 'star': 1}
{'descr': '隔音一点都不好  而且还不好找 地方小了点', 'star': 1}
{'descr': '位置方便，价格实惠，与其边上的延安饭店比性价比特高。', 'star': 5}
{'descr': '位置方便，价格实惠，与其边上的延安饭店比性价比特高。', 'star': 5}
