{'短评内容': '干净', '短评打分': 5}
{'短评内容': '周边没有商店', '短评打分': 4}
{'短评内容': '只能说一般。', '短评打分': 5}
{'短评内容': '位置稍微有点偏！但是设施不错！', '短评打分': 5}
{'短评内容': '酒店性价比高', '短评打分': 5}
{'短评内容': '还可以，赞', '短评打分': 5}
{'短评内容': '转发自朋友：第一次到营口出差，朋友帮忙订了这家酒店，听说是国际品牌的酒店，而且地理位置有点远，到了之后才发现酒店环境很舒适，服务很贴心，出行还有礼宾部的小伙帮忙安排车，到市区也很方便，感谢特别好。', '短评打分': 5}
{'短评内容': '本地人，早听说这家酒店，一直没机会，这次招待外地朋友也就住了一次，很不错，环境很好，设施很新，也很干净，在超低价位的基础上，能够得到超到位的服务，很满意，下次有机会还会去。', '短评打分': 5}
{'短评内容': '酒店挺好，周围太荒凉了。', '短评打分': 4}
{'短评内容': '地处偏远周边，什么都没有，房间还可以，还行吧！', '短评打分': 4}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '本来酒店跟客户比较近，是首选酒店。入住当天气温-10度左右。一进入房间感觉特别冷，问过前台说可以加上一个电热器，但是电热器加空调就是无法将室温提高到舒适的温度。窗户无法关严实，冷风不断灌进房间。空调根本没有用。说是酒店本身供暖但根本没有。前台热情说可以找另外一些房间，但几乎同层楼看过的房间都有同样窗户不断漏风的问题。硬着头皮，穿衣着裤盖被子睡了第一晚，早上起来，在电热器双档全开，空调调到35度的情', '短评打分': 3}
{'短评内容': '非常好的酒店  各种设施齐全 下回还回来', '短评打分': 5}
{'短评内容': '冬天房间温度8° ，还给了个北屋，要求给调个南屋，告知不符合规定！空调不好使 ，后来给配了个电暖气！哈哈 勉强达到15°！冻死人啊， 真是开玩笑， 这是五星酒店啊！ 大堂经理协调能力太差， 拿一些酒店规矩、领导来要挟顾客，太失望了！奉劝冬天可千万别住！！', '短评打分': 3}
{'短评内容': '好。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很干净的酒店，下次还会住', '短评打分': 5}
{'短评内容': '性价比高，服务好，有点远，周围基本人，安静，呵呵。', '短评打分': 5}
