{'短评内容': '还行.就是屋里热一些..........................................', '短评打分': 4}
{'短评内容': '位置相当不错，很方便', '短评打分': 5}
{'短评内容': '离商业区很近，干净卫生，比较安静', '短评打分': 5}
{'短评内容': '离商业区很近，干净方便，比较安静，携程预订方便实惠', '短评打分': 5}
{'短评内容': '早餐一般，车位很少', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '第二次住，很不错', '短评打分': 5}
{'短评内容': '总体不错哦', '短评打分': 5}
{'短评内容': '房间不错！卫生间是开放式的！', '短评打分': 5}
{'短评内容': '商务休闲还可以，总共定了3间，单号的房间小靠马路，比较吵，可能没有人入住还是其他原因，物品没有添置齐', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 4}
{'短评内容': '位置好，购物和美食很方便。和朋友们一起来玩，有些房间下水道反味儿，卫生清洁不是特别干净。', '短评打分': 4}
{'短评内容': '酒店位置好，购物和美食都很方便。唯一不足，房间清扫不是特别干净。', '短评打分': 4}
{'短评内容': '酒店卫生可以，价格也合适', '短评打分': 3}
{'短评内容': '厕所靠床的活动门不好，几乎没有任何私密性，上个厕所放屁、撒尿、拉屎声音保真度100%。', '短评打分': 1}
{'短评内容': '很好的酒店，家的感觉，以后作为我在银川的定点', '短评打分': 5}
{'短评内容': '说实话，这家酒店真的一般，家具太陈旧，门经常打不开。', '短评打分': 3}
{'短评内容': '环境还可以，住的也还算舒服，就是怎么没有发票么，很烦人哎，说好退房后一周内寄给客户的，都快两周了还是没有寄出。', '短评打分': 5}
{'短评内容': '酒店处于市中心，免费办理会员卡后还可享受淡季130旺季180的优惠政策，非常物有所值，房间比较正规，早餐也尚可，性价比较高，值得推荐。', '短评打分': 5}
{'短评内容': '给了我一堆5元、10元的发票，这个不大好。别的还可以，服务员态度不错。', '短评打分': 1}
{'短评内容': '设施一般，电器老化严重，入住期间电视无信号，网络不通，非常不好，但服务还算可以', '短评打分': 1}
{'短评内容': '设施老旧，早饭不是很丰富，但性价比较高，服务较好', '短评打分': 5}
{'短评内容': '房间还可以，有点小，这样的价格性价比还不错。\n以后还会住的', '短评打分': 5}
{'短评内容': '房间设备一般，不过还算干净\n早餐还可以啦', '短评打分': 5}
{'短评内容': '位置还行，基本是银川市中心，服务还行。但设施太老，性价比不高。', '短评打分': 1}
{'短评内容': '酒店还是很好环境很不错，价格也是蛮好的，而且出行也很方便，态度也是很好下次还会去的。', '短评打分': 5}
{'短评内容': '地点不错，周围购物吃饭都很方便。只是没有专门的停车场，门口停车过夜要10元，有专人看守。', '短评打分': 5}
{'短评内容': '酒店位置不错，离商业区很近，出门吃饭的地方也多。\n但是酒店房间很小，床上连褥子都不舍得铺，硬死了，像睡炕。\n酒店可以延时退房倒是很人性。\n卫生间的毛巾洗过800遍，硬得可以媲美刷子，而且全是洞。\n', '短评打分': 1}
{'短评内容': '地段还比较好，只是设施有些陈旧…', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '设施陈旧，性价比低。小毛巾都没有。一个晚上没休息好。', '短评打分': 1}
{'短评内容': '酒店应该是重新装修过的，房间硬件设施很新的，服务蛮好，我们要什么东西，服务员很快就会给我们送来，房间装修的比较温馨，住着很舒服，整体感觉还是不错的', '短评打分': 5}
{'短评内容': '酒店一层二层都有餐厅，是自助餐形式的，口味还不错，服务员都很周到热情，房间硬件设施齐全，卫生条件不错，总体感觉住宿环境还是很好的', '短评打分': 5}
{'短评内容': '酒店外部装修的很大气，房间内部布置也很不错，卫生条件很好，蛮干净的，服务很好，服务员都是随叫随到的，办事效率较高', '短评打分': 5}
{'短评内容': '酒店位置不错，走两步就能到银川的新华街，出行很方便，酒店价格也很合理，感觉还是物超所值的', '短评打分': 5}
{'短评内容': '酒店环境还可以位置出行倒是挺方便，设施是差了一些订了三个房间一个房间不能上网一个房间电话也不能打，服务价格就相对凑合。', '短评打分': 5}
{'短评内容': '入住瀛海酒店', '短评打分': 5}
{'短评内容': '位置还可以，设施比较旧。&lt;br /&gt;\n一般吧', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 1}
{'短评内容': '房间设施陈旧，有异味，很严重，马桶还不好用；早餐很差，只有几个小凉菜，味道很差，很难吃，去晚点儿就更没有啥可吃了，连粥都没了，其它服务也不好！', '短评打分': 3}
{'短评内容': '地理位置很好。&lt;br /&gt;\n房间设施陈旧，尤其是浴室，淋浴的阁间漏水，坐便器已经无法再清洗为白色（视觉效果实在是不舒服）。房间隔音效果非常差，隔壁出差的人在房间开会，会议内容听得一清二楚。&lt;br /&gt;\n早餐餐厅很冷清，没又几个客人，食物还算丰富，但是味道很一般。&lt;br /&gt;\n性价比不高。&lt;br /&gt;\n刚过了中午十二点，如果不付半天房费无论如何是不能退', '短评打分': 1}
{'短评内容': '银川行唯一满意的就是这里的住宿。', '短评打分': 5}
