{'短评内容': '安静舒适，价格又实惠', '短评打分': 5}
{'短评内容': '很安静～舒适', '短评打分': 5}
{'短评内容': '不错很好，很安静卫生，', '短评打分': 5}
{'短评内容': '床小', '短评打分': 3}
{'短评内容': '这个酒店，也就只值这个价了吧。', '短评打分': 3}
{'短评内容': '每次过来这边都是选择欧乡春华酒店 服务态度很好 房间宽敞明亮而且特干净卫生  住起特别舒服 价钱公道 性价比高  值得推荐大家选择这个酒店  好东西一起分享嘛', '短评打分': 3}
{'短评内容': '已经入住很多次了 每次都感觉特别棒 有什么问题服务员都能很快帮你解决掉 态度也很好即便宜 又能入住舒心 干净卫生 周边去哪里都很方便 有公交直达 打车也很好打 而且每个房间都是独立Wifi 这让对有wifi控的人来说简直是福利 总之就是好 极力推荐哟', '短评打分': 5}
{'短评内容': '各个方面来说都不错 服务态度也好 干净卫生', '短评打分': 5}
{'短评内容': '房间卫生干净非常棒  价格也很实惠  服务员都很热情', '短评打分': 3}
{'短评内容': '出酒店过马路，对面的包子店绝对不会让你失望…旁边的面馆也听说不错…上次只吃了2个包子。想再吃，告知卖光了……………', '短评打分': 5}
{'短评内容': '还不错。只是很吵，空气不怎么好', '短评打分': 3}
{'短评内容': '住两天，基本上还是对得起这个价.但是没在网上预定直接入住的我那种简约房间是80元一天，而网在预定是100元', '短评打分': 5}
{'短评内容': '整体感觉不错，就是房间太小', '短评打分': 3}
{'短评内容': '还可以把 一直出差用的/ 选择都是经济实惠的/', '短评打分': 5}
{'短评内容': '很好。各方面都不错。关键是服务一流！干净卫生！', '短评打分': 5}
{'短评内容': '价格稍偏高，居住环境～般。\r\n高建波', '短评打分': 3}
{'短评内容': '很满意。。挺实惠的。干净卫生。。。下次还来~~！', '短评打分': 5}
{'短评内容': '满意，方便快捷，干净卫生，实惠', '短评打分': 3}
