{'短评内容': '交通方便，环境不错，吃得也不错！', '短评打分': 5}
{'短评内容': '早餐还行，几乎都是素，适合带孩子游玩，不过要看管好。酒店占地很大很大，导航很容易去到，就是现在在修路有点难走，大把地方停车。', '短评打分': 5}
{'短评内容': '水质很好，空气算清新，但毕竟有点年代感了，设施和配套一般般，但性价比高', '短评打分': 4}
{'短评内容': '水质和泡温泉的环境可以，但客房太差了。可能是这几十年都没有装修，进去温泉的路太烂，小桥车会拖底，付近农庄吃饭几好。', '短评打分': 3}
{'短评内容': '酒店比较旧  温泉还可以 水比较干净 服务员态度不怎么好 爱理不理的', '短评打分': 3}
{'短评内容': '不错，就是价钱比市面高点', '短评打分': 5}
{'短评内容': '交通方便，在良西出口大概20KM左右，比较适合自驾去。酒店里的温泉均靠近葆春堂，温泉池好多，大大小小的池不下20个，号称滑温泉，水质也很好。但可能是酒店太旧和热天的原因游客不多，客房实在太陈旧，特别是卫生间与座厕没有分隔，冲凉时水会溅到到处都是。而且床上用品看上去也不太干净，幸好自带了床单铺上使用，早餐品种单调，但也有恩平驰名的艾糍等特色小吃。总体来说还是比较满意的！', '短评打分': 4}
{'短评内容': '连住了两晚，温泉水一如既往的好。升级的8座房间很舒适。', '短评打分': 5}
{'短评内容': '环境优美、干净卫生，虽然入住时出现了些问题，不过妥善解决了，感觉还是很满意的！', '短评打分': 5}
{'短评内容': '环境超好，只是设施设备陈旧了点。', '短评打分': 4}
{'短评内容': '好好的', '短评打分': 5}
{'短评内容': '房间隔音效果太差，设施陈旧', '短评打分': 3}
{'短评内容': '住的是旧楼，还可以接受，温泉环境不错', '短评打分': 5}
{'短评内容': '不会再去', '短评打分': 1}
{'短评内容': '温泉酒店都较易找，空气清新，房间设施齐全，就是有点旧，床垫能更换一下就好了，凹下去了很多。温泉还可以，餐厅菜式虽然不多，但味道还可以。', '短评打分': 5}
{'短评内容': '泡温泉还可以，建议不要住酒店，回失望！', '短评打分': 3}
{'短评内容': '应该开设很久了，比较旧，但是总体还算舒服吧', '短评打分': 4}
{'短评内容': '環境不錯,适合一家大細去,不過房間設備有點舊,希望改善一下.', '短评打分': 5}
{'短评内容': '高速下来后去酒店的路太差，去的时候走省道，谁知正在修路，幸好开的是suv，如果普通的轿车肯定去不了。走时就只能走村道。温泉水质不错，不知道靠山还是里面树木多，太多东西咬，不用两分钟就咬到一身泡泡', '短评打分': 1}
{'短评内容': '酒店有点旧，但温泉地方够大，也够好玩，还会再去', '短评打分': 5}
{'短评内容': '温泉度假村周边的路太差了，度假村里环境不错', '短评打分': 3}
{'短评内容': '服务礼貌还OK。  但室内陈旧了点，不过值得。。。', '短评打分': 5}
{'短评内容': 'G15圣堂出口出来走良西镇那条路正在修路，非常之烂，不好走。到了酒店那段路也不是太好走，最好是SUV。酒店房间过小，设备陈旧，服务跟不上。不过温泉水倒是不错。最让人气愤的是，早餐差得无法去形容，找不到一片肉。', '短评打分': 1}
{'短评内容': '一般溫泉酒店,但水管太舊,出水有味,溫泉水質很正,值得去浸.', '短评打分': 5}
{'短评内容': '不错是个休闲的好地方', '短评打分': 3}
{'短评内容': '酒店的床都不错，冲凉房就一般，水有一阵怪味。', '短评打分': 3}
{'短评内容': '通過藝龍網預訂的房價比普通房價低很多。溫泉很好玩，據說也是真正的溫泉。這裡的服務不錯，那些工作人員會主動給你遞水。', '短评打分': 3}
{'短评内容': '温泉还可以，但房间较旧，有霉味。？', '短评打分': 3}
{'短评内容': '1. 前台接待员的态度不错，但是明显需要一些培训。我们到达的时候，有2位客人正在办理入住，旁边结账处有两位人员手上正忙着，所以我在柜台前等待，后来又陆续来了一些客人，服务人员明显没有注意到先来后到的顺序，直到我不耐烦了才有人来搭理我们。\n2. 早餐品种极少，出品极差，连简单的白煮鸡蛋都没有，还不如不提供。\n3. 房间很大，电视机很小，卫生间设施一般，还有臭气从排水管冒出来。\n4. 酒店环境尚可。', '短评打分': 1}
