{'短评内容': '酒店比较老乐', '短评打分': 4}
{'短评内容': '府前街东三路西200米路南', '短评打分': 4}
{'短评内容': '饭店位置在市中心，附近都是机关，清静，设施陈旧，饭菜一般', '短评打分': 4}
{'短评内容': '设施齐全，但是比较旧，处于城市中心，待重新装修会好一点，潮味较大', '短评打分': 4}
{'短评内容': '不错，', '短评打分': 4}
{'短评内容': '帮家里人定的～反馈很好', '短评打分': 5}
{'短评内容': '价格非常实惠，住店环境不错，空间也比较大，订了一个含早餐的，结果早上9：00去吃，告知8：30分就结束了。 浪费了！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错，下回还来', '短评打分': 5}
{'短评内容': '酒店卫生，服务一般，但值得一住。', '短评打分': 5}
{'短评内容': '老客户了，非常不错', '短评打分': 5}
{'短评内容': '老客户了，非常不错', '短评打分': 5}
{'短评内容': '老客户了，非常不错', '短评打分': 5}
{'短评内容': '连续住了2天，同一个房间。今天的早餐不如昨天的，其他的都还好。', '短评打分': 5}
{'短评内容': '住宿环境不错  吃饭不便住宿环境不错  吃饭不便', '短评打分': 4}
{'短评内容': '我觉得还可以酒店设施服务尤其是早餐很好。有亮点不好吧，酒店有点旧（不过也不影响入住），位置有点偏，周围去个超市也至少二十分钟，都是这局那局的。', '短评打分': 5}
{'短评内容': '设施虽然有些陈旧，但环境舒适，干净卫生，服务周到，只可惜没带像机。', '短评打分': 3}
{'短评内容': '快捷舒适', '短评打分': 3}
{'短评内容': '因为是走高速时中间休息，所以离高速路有点远，而且酒店招牌不明显，不用导航不好找，房子比较旧，不过配套还可以，至少还配了免费的护发素，热水也不错。尤其要表扬的是早餐，是在山东境内的酒店吃得最好的一家，小菜非常的棒。', '短评打分': 5}
{'短评内容': '酒店服务不错，就说卫生条件一般', '短评打分': 3}
{'短评内容': '酒店比较旧了。价格还算实惠，早餐还可以。', '短评打分': 5}
{'短评内容': '酒店位置很好找，房间比较干净、环境也不错，挺安静的，就是早餐一般，汤比较美味的！', '短评打分': 5}
{'短评内容': '时常入住，服务很好，卫生干净，出行方便，电视频道很多，自助早餐品种很多，感觉很温馨。', '短评打分': 5}
{'短评内容': '去东营经常入住东方俱乐部，离市政府很近，出行方便，早餐不错，值得推荐。', '短评打分': 5}
{'短评内容': '挺满意的，前台服务态度很好，设施也很齐全，尤其是提供的早餐很赞。以后过去还会入住。', '短评打分': 5}
{'短评内容': '有点潮湿 味大 地角位置不错 依山环境好 安静', '短评打分': 5}
{'短评内容': '三星标准，比较正规，与价位对等，省钱好去处。', '短评打分': 5}
{'短评内容': '还好吧，感觉还可以，酒店大堂装修比较好，餐厅还没有见识，但愿能好。', '短评打分': 5}
{'短评内容': '价格便宜，但酒店太旧，还好没有什么怪味道，所有设施也旧，卫生间在洗浴的时候，水漫的遍地都是，酒店的楼梯也怪怪的，好在价格还凑合。', '短评打分': 5}
{'短评内容': '很差的酒店。设施陈旧，一股很浓的味道。连两星水平也没有，绝不会再住了。', '短评打分': 1}
{'短评内容': '还可以，真三星。就是有点陈旧但不是脏！挺干净！下次还住。', '短评打分': 5}
{'短评内容': '多次入住了。在东城区性价比比较高的酒店。\n酒店设施比较旧了，但整体服务还不错。\n', '短评打分': 5}
{'短评内容': '酒店虽旧，\n\n但比较整洁干净，\n\n价位实惠\n', '短评打分': 5}
{'短评内容': '非常好的地方，尤其是东方俱乐部的早餐、午餐、晚餐都得到了全家的一致好评，服务也很周道，下次去东营还会选择在这里住。', '短评打分': 5}
{'短评内容': '环境比较安静，挺好。就是房间硬件设施比较陈旧，一层房间有点特殊的味道。二层房间还好', '短评打分': 5}
{'短评内容': '性价比可以，早餐不错', '短评打分': 3}
{'短评内容': '酒店硬件配置还好，服务很热情。只是五楼太吵，ktv太闹了。建议入住该酒店朋友远离五楼。', '短评打分': 3}
{'短评内容': '环境可以，卫生差点．', '短评打分': 3}
{'短评内容': '环境不错,餐饮挺好', '短评打分': 3}
{'短评内容': '还不错吧，经常入住，在东营比较实惠的酒店。\n在东城区离出差的地方很近。\n酒店的拖鞋不太好，建议更换。', '短评打分': 5}
{'短评内容': '服务很好，很满意。', '短评打分': 3}
{'短评内容': '环境不错，有阳台，比较干净', '短评打分': 3}
{'短评内容': '东营东方俱乐部，我是8月29日入住的，我的印象是：\n1、三星级，性价比好。\n2、房间干净，舒适。设备实用。\n3、清净，开会的好地方。\n4、建筑外观有些旧，里面装修还是比较新的。', '短评打分': 5}
{'短评内容': '酒店设备有点陈旧了，并且地毯味道有点大。\n但是比较实惠，地方也不错。', '短评打分': 5}
{'短评内容': '酒店比较经济实惠。早餐还可以。\n设施有点旧。', '短评打分': 5}
{'短评内容': '酒店不错，性价比很高。早餐挺好的。\n下次还会入住。', '短评打分': 5}
{'短评内容': '挺好的，坏境优雅，早餐也不错，居家旅行之首选', '短评打分': 5}
{'短评内容': '酒店尚显老旧，不过交通便利', '短评打分': 3}
{'短评内容': '酒店位置不错，安静舒适。酒店人员服务态度特别好，很人性化。餐厅的饭菜也很可口，总的感觉很好。', '短评打分': 5}
{'短评内容': '环境、服务不错，设备有些陈旧。', '短评打分': 3}
{'短评内容': ' 大堂过道很气派。早餐很丰富。但电视剧需要2个遥控器，床铺稍微硬点，无洗澡拖鞋。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
