{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '好好，下次还来', '短评打分': 5}
{'短评内容': '还不错，很好', '短评打分': 5}
{'短评内容': '服务态度很差', '短评打分': 1}
{'短评内容': '挺不错的啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '停车费劲，房间小，性价比极差，被衬都是洞，房间插座，不好用，住店，最差的下次，还169元豪单间', '短评打分': 2}
{'短评内容': '房间空气清新剂太刺鼻，异味大设施差，早歺差。前台工作人员态度差。', '短评打分': 2}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '房间面积可以，设施旧，价格高了一点。', '短评打分': 3}
{'短评内容': '还好吧，房间的暗窗和没有窗户差不多', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '性价比一般，卫生间有一股臭味', '短评打分': 4}
{'短评内容': '环境卫生都挺好，已经n次入住了', '短评打分': 5}
{'短评内容': '订的商务标间，可到酒店安排的无窗，而且还是单人间', '短评打分': 2}
{'短评内容': '房间还是很大，床还是很软，但是地毯有点脏了。', '短评打分': 5}
{'短评内容': '条件一般，早餐一般，服务态度一般。整体显得一般水平', '短评打分': 1}
{'短评内容': '环境可以', '短评打分': 3}
{'短评内容': '位置好，装修也还可以，附近还能停车，挺方便的！', '短评打分': 5}
