{'descr': '总体还算满意，前台服务满意，设施有点旧，比较安静', 'star': 5}
{'descr': '周边繁华，交通便利，住宿条件还可以，比较干净卫生', 'star': 5}
{'descr': '前台服务员态度不好，前台经理对客人爱理不理的，我住的房间离前台较近，半夜服务员还大声说话，严重影响我的休息，酒店不管是里面还是外面都很旧，卫生间超级小，以后再也不会来这一家了，非常不推荐。', 'star': 1}
{'descr': '很满意', 'star': 3}
{'descr': '速八真是越做越差了，不能刷卡的快捷酒店你们见过没？', 'star': 1}
{'descr': '环境真的不怎么好，原本定了三天的，结果住了一天就退房了，房间卫生差，有蚊子居然还有蟑螂，哎', 'star': 1}
{'descr': ' 我不知道其他地方的速8怎么样,但这个:不但外表陈旧, 而且一进房间就有股臭味。 空调是坏的, 卫生间马桶盖不知不觉就坏了。房', 'star': 3}
{'descr': '住了在此店泠，换房了', 'star': 3}
{'descr': '不错，位置不错，去新东方办事方便。不错，位置不错，去新东方办事方便。不错，位置不错，去新东方办事方便。', 'star': 5}
{'descr': '卫生不好，房间有异味，设备老旧等等缺点，价格还挺高！以后再也不住了', 'star': 3}
{'descr': '卫生没有想象得好 不太值得这个价格~ 下次去的话会选择7天酒店', 'star': 1}
{'descr': '房型不错、 服务态度还可以、 一楼的窗户不能完全打开所以很安全', 'star': 5}
{'descr': '订房时说明了消费价位区间，但特意提醒一定要选干净舒适的酒店。结果，商家推荐了这一个。\n很差的酒店，设施陈旧破损，隔音效果太差，隔壁手机铃响都像在耳边一样清楚。可能靠近医院，半夜起来排号的很多，严重影响休息。\n最气人服务员态度很差，我半夜3点被隔壁吵醒后，告诉我没有空房，住不惯可以退房，但房费要照收。奶奶的，外面正下着雨呢！有这么仗势欺人的吗？\n所以，如果你想出差休息好，千万别住这家店！但是如果想去', 'star': 1}
{'descr': '与同类档次的快捷酒店相比，卫生条件不是很好。', 'star': 1}
{'descr': '经济实惠,环境中等。', 'star': 3}
{'descr': '酒店安静就是预定的三楼变一楼了', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '跟小旅馆似的，与中关村不符合，与价格不符合', 'star': 1}
{'descr': '  一般', 'star': 3}
{'descr': '隔音效果太差，也不是很好找，房间还算比较干净，也算是唯一的优点了。最奇怪的是不支持信用卡付款……太雷了……囧', 'star': 1}
{'descr': '酒店性价比必须是 肯定 二字！在北京大学口腔医院旁边 隔壁是北京国际 出门就是公交站 特方便 房间挺温馨 推荐该酒店 下次还会住速八魏公村店', 'star': 5}
{'descr': '位置非常好 出了魏公村公交站就是该酒店 酒店对面就是民族餐饮一条街 饮食很方便 房价不贵 性价比特高 能在中关村 这个房价 这样的配比绝了 ', 'star': 5}
{'descr': '卫生不太好', 'star': 3}
{'descr': '房间小!!', 'star': 3}
{'descr': '京东下单流程很便捷，但是这个宾馆实在是很差很差，超级差。理由如下：1、房间极小，小到你无法想象；2、卫生条件绝对很扯；3、门完全不隔音；4、酒店是加盟店，所以服务很差；5、房间不暖和。', 'star': 1}
