{'短评内容': '还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的   挺干净', '短评打分': 5}
{'短评内容': '每次去都会入住这里', '短评打分': 5}
{'短评内容': '每次去都会住这，', '短评打分': 5}
{'短评内容': '酒店环境一般', '短评打分': 3}
{'短评内容': '方便舒适', '短评打分': 4}
{'短评内容': '服务态度非常好，性价比超高，以后还会选择这个酒店，支持一下，出门还得选携程，方便快捷，还能省RMB.哈哈～', '短评打分': 5}
{'短评内容': '房间干净卫生装修的也不错很满意', '短评打分': 5}
{'短评内容': '房间干净卫生装修的也不错很满意', '短评打分': 5}
{'短评内容': '格林商务宾馆房间卫生还可以，服务态度也可以，交通也很方便，离松原火车站也不太远，就是感觉隔音效果不好，', '短评打分': 4}
{'短评内容': '地点方便，服务还不错。台式电脑不好用，401房间凳子破损严重', '短评打分': 5}
{'短评内容': '房间便小', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以，离松原车站近，打车方便。', '短评打分': 4}
{'短评内容': '环境不错，前台很热情。大冬天房间里可以点歺，种类齐全。', '短评打分': 5}
{'短评内容': '多次 入住，周边办事方便，环境也不错。', '短评打分': 4}
{'短评内容': '设施齐全挺干净的，有电脑有电视，卫生间洗澡间都不错。下次还要去', '短评打分': 5}
{'短评内容': '没有想到会有性价比这么高的房子。六楼虽然是顶楼，要做完电梯在爬一层楼梯。但总算是有个天窗，可以透透气。缺点房子有点太小', '短评打分': 5}
{'短评内容': '酒店的特价房间没有窗，在网上没有说明~房间很低，住的感觉有点压抑', '短评打分': 1}
{'短评内容': '住的是特价房，真挺好的。比同等级的好多了，服务也好，交通也方便。以后还会来的', '短评打分': 5}
{'短评内容': '性价比非常高。\n硬件相当可以。\n是我几个月来住的最好的酒店。\n如果下个月还有特价，我还会来的。', '短评打分': 5}
{'短评内容': '环境不错，早餐也不错！', '短评打分': 3}
{'短评内容': '酒店整体感觉非常不错，环境和设备要优于其他商务酒店，还有就是床上用品感觉非常舒服，价格很合理。早餐也很不错。', '短评打分': 5}
{'短评内容': '前台的几个人啊服务态度真尼玛的差 12点15分退房多收了哥半天房费 很是无语 发票非常不正规 拿那随处可见的定额发票盖个章就打发了 哥们能定其他酒店就定其他的吧 不推荐', '短评打分': 1}
{'短评内容': '酒店的标准间和网上登记的内容有出入，建议大家预定前电话咨询，以免到店后发现上当受骗！', '短评打分': 3}
