{'短评内容': '环境确实不错', '短评打分': 5}
{'短评内容': '很好，服务周到。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '出行方便，酒店环境太赞了', '短评打分': 5}
{'短评内容': '价格再优惠点更好', '短评打分': 5}
{'短评内容': '确认挺快的，有问题客服联系也很快。可以用各种优惠券非常实惠靠谱', '短评打分': 5}
{'短评内容': '酒店房间气味真臭。可能是潮的原因，害得我直想吐。其它还好，服务态度不错。', '短评打分': 3}
{'短评内容': '性价比超高，酒店环境好服务好，尤其是晚上泡在温泉里的感觉真好', '短评打分': 5}
{'短评内容': '性价比非常好，尤其是夜晚静静地泡在温泉里的感觉真好', '短评打分': 5}
{'短评内容': '性价比挺高的，就是酒店有点旧，餐厅服务比较慢，但口味还行', '短评打分': 5}
{'短评内容': '现在生活用品都在京东买，价格便宜送货快', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '相当完美！酒店环境相当好园林式的，自助餐厅必须点赞连吃了2天，机场还有车辆接送，性价比相当高，腾冲绝对是首选！', '短评打分': 5}
{'短评内容': '给老爸预定的，他说还不错！', '短评打分': 5}
{'短评内容': '很喜欢', '短评打分': 5}
{'短评内容': '非常喜欢的酒店！非常好，只是退房查房有些慢。', '短评打分': 5}
{'短评内容': '不是我去的 但是回来的人给了很高的评价', '短评打分': 5}
{'短评内容': '不是我去的 但是回来的人给了很高的评价', '短评打分': 5}
{'短评内容': '环境不错，温泉不错', '短评打分': 5}
{'短评内容': '不错，环境优美，温泉很舒服', '短评打分': 5}
{'短评内容': '非常幸运腾冲之行选择了官房大酒店，这里美丽、安静，设施好，服务热情周到！让我的腾冲之行很完美！', '短评打分': 5}
{'短评内容': ' 酒店整体很不错，早餐就跟传说中一样好吃。', '短评打分': 3}
{'短评内容': '这是我在云南住得最舒服的一家五星级酒店了！我住的是水景房，阳台外就是游泳池，景色非常的优美和安静，孩子特别喜欢这里，服务员的态度跟五星级酒店能够匹配！酒店餐厅的饭菜也很不错，而且价格跟外面的也差不多，点了餐让服务员送到户外游泳池边上的圆桌摆放好，一家人沐浴在夕阳下坐在花园里享用晚餐真是一种幸福啊！该酒店早餐也很不错，每天都不一样很丰富！儿子非常喜欢吃，下次去腾冲一定还住这里！', '短评打分': 5}
{'短评内容': '环境不错，出门就是游泳池。早餐很丰富，米线和饵丝很好吃，可以自己根据配料调味，自己配了不辣的牛肉米线，好吃。', '短评打分': 5}
{'短评内容': '相当不错的酒店，房间大，但早餐品种还不够丰盛，不过味道还可以', '短评打分': 5}
{'短评内容': '相当不错的别墅度假酒店，房间大，大床尺寸很大哦', '短评打分': 5}
{'短评内容': '腾冲县城里最好的酒店。干净，温馨。早餐很丰盛，一个人要吃完全部早餐品种需要在酒店住3天才行。大堂有自行车出租，在不大的县城里骑车转转非常方便。', '短评打分': 5}
{'短评内容': '去腾冲旅游最佳的酒店，离各个景点都比较近，而且具有官房集团下属酒店一贯的风格，现代感比较强，就是价格有点小贵。早餐比较丰富，出行便利。', '短评打分': 5}
{'短评内容': '酒店环境优美，在酒店里散步是很不错的选择，服务也不错，推荐', '短评打分': 5}
{'短评内容': ' 环境好，服务好，硬件设施到位，挺不错的，推荐，', '短评打分': 5}
{'短评内容': ' 官房大酒店环境很不错，硬件很好，早攴丰富，下次来还住这儿！', '短评打分': 3}
{'短评内容': '酒店环境确实不错，很满意，但前台接待的一位穿深色服装的女士态度冷漠生硬。', '短评打分': 3}
{'短评内容': '非常漂亮的酒店,位置很好,服务不错,别墅式,春节一家人住在那儿很舒服\n房间温度调节得不够,晚上有点不够温暖,需要电话要求调高一些,也许春节人少需要节约用电?呵呵', '短评打分': 5}
{'短评内容': '真正的五星级,还用说什么.很好!每次去都住在这里. ', '短评打分': 5}
{'短评内容': '酒店舒适，环境好，服务ok,有几个不错的泳池可以就近选择，腾冲不大，住哪对交通没影响。', '短评打分': 5}
{'短评内容': '很优秀的酒店，这是我很少给出的评价！坐落于腾冲县中心，交通方便；环境绝对一流！别墅群式的酒店建筑错落有致，房间整洁舒适，床品不错，夜床服务很周到；服务员的服务意识不错，微笑发自内心；吃了一顿早餐，很好，兼顾了正常五星级酒店的中西式菜品，也有很地道的耳丝米线！总之很满意，同行的领导非常满意！下次带家人还会选择这里！', '短评打分': 5}
{'短评内容': '服务好,自然景观山峦群峰,空气清新,喜欢', '短评打分': 3}
{'短评内容': '酒店很好，别墅型的，适合度假，早餐也挺好', '短评打分': 5}
{'短评内容': '酒店的硬件很好，花园式小楼，是度假的好地方，前台和客房服务态度不错。总体不错', '短评打分': 5}
{'短评内容': '酒店的环境和服务是一如既往的好，泡茶还借到了飘逸杯！送餐服务做的三明治非常好吃。一点不足就是白粥貌似用剩饭熬的，有点小失望。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '一栋栋的小别墅，大堂门口有电瓶车送去房间。酒店室外环境很不错，但是房间内设施比较一般。淋浴间门密封不好，空调调到32度也不暖和', '短评打分': 5}
{'短评内容': '酒店很不错，如果经济条件允许，是个蛮好的选择', '短评打分': 3}
{'短评内容': '很不错，环境好，酒店服务也很好，每天都有水果和小吃送的，下次还会去的', '短评打分': 5}
{'短评内容': '酒店设施在滕冲市内数一数二，服务态度较好。大堂门口的女服务员对旅游资源比较了解，是住店客人的好帮手。房间没有免费市区地图，比较遗憾。偷偷', '短评打分': 5}
{'短评内容': '延住了一天。酒店每天都送点儿吃的，第一天是果盘，第二天是巧克力，晚上还有牛奶。很贴心的感觉。在酒店吃了中餐厅，晚餐吃了一次游泳池边的烧烤，都挺好。早餐也不错，够丰盛。\n\n', '短评打分': 5}
{'短评内容': '很安静的一家度假酒店，服务很好，干净。当地最好的酒店，名不虚传', '短评打分': 5}
{'短评内容': '是一家住着非常舒适的酒店，就是离泡温泉的热海远了点，17、8公里的路程，酒店本身没有温泉', '短评打分': 5}
{'短评内容': '房间宽敞、安静、舒适，园林别墅型酒店，推荐。', '短评打分': 5}
{'短评内容': '装修比较不错，性价比还可以。', '短评打分': 5}
{'短评内容': '在腾冲这个地方，这个可以说是最好了，就是价格太高了些。', '短评打分': 5}
{'短评内容': '卫生服务都很不错，硬件设施都还错房间的配置也很好，就是价格有些偏高，整体来讲还是比较不错的，值得推荐。', '短评打分': 3}
{'短评内容': '位置很不错，环境也很好。就是酒店配套的少了点，没有商店，想买顶帽子都找不到，呵呵', '短评打分': 5}
{'短评内容': '酒店的环境设施都还不错，服务非常好，交通还算方便，就是在当地来说，他的价格算是贵点。', '短评打分': 5}
{'短评内容': '酒店环境很好，设备比较齐全，服务也很周到，价格合理，地理位置好', '短评打分': 5}
{'短评内容': '我以前也住过这个酒店，感觉挺好的，他们的环境非常不错，硬件设施配备的也比较齐全，交通很方便。', '短评打分': 5}
{'短评内容': '感觉酒店非常不错，干净整洁，服务也很周到，要是价格在低些就更好了', '短评打分': 5}
{'短评内容': '酒店的各方面条件我都比较的满意，性价比可以，值得推荐', '短评打分': 5}
{'短评内容': '酒店感觉不错，干净整洁，服务也不错', '短评打分': 5}
{'短评内容': '很漂亮的热带风格酒店，在腾冲这样一个边陲县城能有这样高水平的五星级酒店真的很惊喜，环境硬件都很好。服务亲切有礼，还有睡前温馨的免费热牛奶，让你体会到酒店对细节的关注。', '短评打分': 5}
