{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '特别贴心地准备了洗衣液，早餐丰富，小馄饨是当地特色。时尚装修，智能马桶，干湿分离，味道分离。非常棒！前台服务非常热情，说话很有技巧，电梯不能直到八楼，需要步行一层，美曰：私密性更好。', '短评打分': 5}
{'短评内容': '酒店非常雅致，格调高，非常喜欢和满意！之前我每次来遂昌都会先考虑这家酒店，除非酒店没有房间了，我才会选择其他家的酒店，非常安静和干净，舒服！', '短评打分': 5}
{'短评内容': '很好！很舒服！', '短评打分': 5}
{'短评内容': '出游的计划和安排时间都在好友列表里面还有很多其他地方相比增长百分之三十八大特征而且很好的朋友请注意来住吧。', '短评打分': 5}
{'短评内容': '还行，不错，可以住。', '短评打分': 4}
{'短评内容': '就是一招待所的水平！', '短评打分': 1}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '环境好，热情服务，感觉很舒服', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '第二次入住了，性价比不错。离车站很近，属于商业街。', '短评打分': 5}
{'短评内容': '还不错，只是早歺太简单了', '短评打分': 4}
{'短评内容': '酒店周边环境不错，房间还带阳台，给个赞', '短评打分': 5}
{'短评内容': '在遂昌算很不错的了，设施全，布草舒适，推荐一下', '短评打分': 3}
{'短评内容': '酒店设施干清清洁、交通便利、而且价格实惠，是个旅游居家好地方。', '短评打分': 5}
{'短评内容': '酒店位置及环境都不错，价钱也合适，阳台上还有一个秋千，很有特色！', '短评打分': 5}
{'短评内容': '宾馆房间里发现大蟑螂，觉得不悦。不过里面的设施等还不错~~', '短评打分': 5}
{'短评内容': '位于闹市区，停车场很小，早餐比红星坪温泉度假村好多了。', '短评打分': 5}
{'短评内容': '闹市区，吃个饭啥的比较方便，缺点是停车场比较小。', '短评打分': 5}
{'短评内容': '宾馆位于遂昌最好的饭店元立对面,有停车场但是很小,早餐很一般 房间物品也很一般 比红星坪温泉差', '短评打分': 5}
{'短评内容': '酒店位置很方便，自助早餐也不错。停车位有限，晚去停车会有麻烦。', '短评打分': 5}
{'短评内容': '该宾馆地理位置好，在市中心，卫生设施也不错，就是淋浴房有点小。宾馆餐厅的菜味道不错，值得一尝。性价比高！', '短评打分': 5}
{'短评内容': '还好吧    酒店在闹市区  比较方便  在遂昌也算是老牌酒店了', '短评打分': 5}
{'短评内容': '还算实惠，位置好，其他一般了，但在这个地方也算是不错的了。', '短评打分': 5}
{'短评内容': '过年用残餐太难了', '短评打分': 3}
