{'短评内容': '。', '短评打分': 5}
{'短评内容': '离办事地方很近，周边也没有其他更好选择，这个价格能接收', '短评打分': 5}
{'短评内容': '还可以，车站旁边方便', '短评打分': 5}
{'短评内容': '很干净，很方便，服务也挺好的！', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '很不错的地方，推荐过来入住', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '前台一般，在携程上看的不用押金，但是店里还要收押金', '短评打分': 3}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店环境不错，地理位置也好找，不错', '短评打分': 5}
{'短评内容': '酒店环境不错，地理位置也好找，不错', '短评打分': 5}
{'短评内容': '经济实惠设备设施旧了', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很不错的环境，舒适干净卫生，值得推荐和信赖～下次出差还会入住哦～总体感觉不错，也希望多推出优惠活动哦(´-ω-`)', '短评打分': 4}
{'短评内容': '很不错的环境，舒适干净卫生，值得推荐和信赖～下次出差还会入住哦～总体感觉不错，也希望多推出优惠活动哦(´-ω-`)', '短评打分': 4}
{'短评内容': '很不错的环境，舒适干净卫生，值得推荐和信赖～下次出差还会入住哦～总体感觉不错，也希望多推出优惠活动哦(´-ω-`)', '短评打分': 4}
{'短评内容': '出差经常住这一家酒店，感觉不错，温馨，干净，卫生', '短评打分': 3}
{'短评内容': '周围环境安静，酒店房间干净，卫生，还不错。', '短评打分': 3}
{'短评内容': '环境不错，停车很方便房间床小', '短评打分': 3}
{'短评内容': '不错，附近环境挺安静，房间里面挺干净...', '短评打分': 3}
{'短评内容': '推荐下，性价比很高！', '短评打分': 3}
