{'短评内容': '有停车场，还不错', '短评打分': 3}
{'短评内容': '地毯有股异味。服务不错，免费停车。', '短评打分': 4}
{'短评内容': '有停车场，位置还可以', '短评打分': 4}
{'短评内容': '说实话，没去过的时候觉得这家酒店不错，地理位置可以。但是去了以后大失所望。不说其他的，单单周边就很荒凉。除了一两家大排档就没了，晚上出门必须自己开车。开车去热闹大街，风动石得13公里左右，我觉得算远了。国庆我在携程订的是428大床，结果去到现场才看到大床的价格比网上便宜！而且糯米还有团购！感觉被坑了！还有必须吐槽的是早餐，早餐1个人只有酸牛奶1瓶和两个小蛋糕！还有我住的是5楼，4楼是ktv隔音效果', '短评打分': 2}
{'短评内容': '早餐基本不算有，有些失望，有点吵，其他还好', '短评打分': 4}
{'短评内容': '环境差，晚上很吵，条件差！', '短评打分': 2}
{'短评内容': '还不错，停车吃饭都方便', '短评打分': 5}
{'短评内容': '一般，说含早的，实际就是牛奶一包蛋糕几个。欺骗顾客！', '短评打分': 3}
{'短评内容': '呵呵。', '短评打分': 2}
{'短评内容': '酒店有KTV，吵死了。', '短评打分': 2}
{'短评内容': '不错。就是停车不方便。周边小吃挺多。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店不错就是二三楼是KTV服务态度也不错。', '短评打分': 3}
{'短评内容': '酒店很不错就是有点吵二三楼是KTV。', '短评打分': 3}
{'短评内容': '房间有小强，房间还是可以，噪声有点大', '短评打分': 4}
