{'短评内容': '比较安静的一家酒店，房间装修标准、酒店设施感觉类似三星级别的宾馆，门口有自己的停车场，不足之处是地毯卫生不太理想。', '短评打分': 3}
{'短评内容': '晚餐很丰盛！', '短评打分': 5}
{'短评内容': '是因为太慢了、在这里建家庭生活的一切是那么的难喝也喝了一个好朋友都没有的话都城长安大学公路学院教授说你', '短评打分': 3}
{'短评内容': '早餐非常丰富，很安静，性价比很高的酒店。', '短评打分': 5}
{'短评内容': '前台态度很好，房间很干净，洗漱用品齐全，性价比还可以。', '短评打分': 5}
{'短评内容': '老牌酒店，位置不错。花园式风格，房间设施中等，干净整洁，服务质量不错，总体性价比尚可。早餐也还行，缺点是房间有时感觉有霉味，可能是潮湿和老旧引起。', '短评打分': 4}
{'短评内容': '挺好！很安静', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '一般太老了', '短评打分': 3}
{'短评内容': '酒店还可以，晚上空调声音响', '短评打分': 4}
{'短评内容': '还行，就是房间没店风吹，没办法吹头发', '短评打分': 4}
{'短评内容': '霉得一塌糊涂，简直是折磨', '短评打分': 3}
{'短评内容': '不错的酒店，低矮花园式的酒店！', '短评打分': 4}
{'短评内容': '条件不错，安静。网络信号好，早歺也还可以', '短评打分': 3}
{'短评内容': '的点点滴滴反反复复发发发', '短评打分': 3}
