{'短评内容': '隔音不好，卫生没有打扫干净，毛巾还有污渍', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '环境还行，就是没有窗户，淋浴也不好用，其他还凑合，设施有点老化，', '短评打分': 4}
{'短评内容': '挺好的，，', '短评打分': 5}
{'短评内容': '可以可以可以可以可以可以可以可以可以可以可以', '短评打分': 5}
{'短评内容': '位置很好，可以带孩子', '短评打分': 5}
{'短评内容': '酒店还可以 不错', '短评打分': 5}
{'短评内容': '房间没窗户，不舒服', '短评打分': 3}
{'短评内容': '不          错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在咸阳还算行', '短评打分': 4}
{'短评内容': '除了水比较小。其他都挺好的', '短评打分': 5}
{'短评内容': '还行吧，一般感觉，没有菲林好', '短评打分': 3}
{'短评内容': '垃圾级别的，想象不了的差，值80元的房卖288元。', '短评打分': 1}
{'短评内容': '地理位置很好，就是房间的水有点咸，', '短评打分': 3}
{'短评内容': '值得入住，挺温馨，赞一个', '短评打分': 3}
{'短评内容': '床很硬，被子很薄。不推荐。', '短评打分': 3}
