{'短评内容': '酒店干净，服务周到，交通便捷，出入方便。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '可能是十一住宿的太多吧，第二天房间都没有收拾，垃圾还那样放着，垃圾桶都满了，自己倒掉的，卫生纸和洗漱用品都需要自助，哎……', '短评打分': 3}
{'短评内容': '前台服务不错，11点45到的就给办理了入住手续，房间有些小，窗户只能打开一道缝，通风不是很好，有潮湿的味道，大床房的床比较舒服，洗澡水水温不错', '短评打分': 3}
{'短评内容': '小破旧臭。极不建议入住！！！！', '短评打分': 3}
{'短评内容': '真心不行✋', '短评打分': 3}
{'短评内容': '不错，很不错，值得推荐', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '隔音好差', '短评打分': 2}
{'短评内容': '推荐，环境不错，交通方便。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '每次回来都住这里', '短评打分': 5}
{'短评内容': '房间不错。通风不好。另洗手间没有地漏，臭味不能封住。', '短评打分': 5}
{'短评内容': '酒店不错，位置好，交通便利，离海边也很近，就是去的时候打电话给酒店问路，有位工作人员显得有点不太耐烦。', '短评打分': 5}
{'短评内容': '27日晚入住的该酒店，住的是8218，我住的那间床后的背景墙的图不是很好看呢，不如网上图片的哦，睡到凌晨1-2点时隔壁的人跑到走廊里说话，声音很大，然后第二早上8点左右有装修的电钻声音，真的好吵呢。还有就是被子太厚重咯，盖得有点累。', '短评打分': 1}
{'短评内容': '酒店位置很好，离海边和啤酒城很近，，房间设计独特，很干净，小巧精致', '短评打分': 5}
{'短评内容': '我订的是创意大床房，房间配备了电脑，空调有干燥功能，房间内没有异味，如果能给洗手间的马桶和淋浴之间加个浴帘就好了，楼层服务员打扫房间非常及时，就是房间比较矮，感觉比较压抑，其他都是不错的，虽然我订的房间有窗户，但是窗外挂了9台空调压缩机，噪音有点大，早餐一般，有小豆包、小馒头、小花卷、鸡蛋、大米粥、大米绿豆粥、两种咸菜，10元一份，卫生条件很好，前台和楼层的男服务员的服务态度非常好，退房下楼时还帮', '短评打分': 5}
{'短评内容': '这家酒店环境不错，正好我住的那间房是复式的，我的朋友还想和我换来着。总的来说不错，就是离市区有点远打车费用超了预算，这段时间还在装修，如果想多睡会儿再出发的话基本就会被吵醒了。', '短评打分': 5}
{'短评内容': '酒店环境很好，就是赶上隔壁装修....早上就醒来了', '短评打分': 5}
{'短评内容': '哎,,原本定的商务大床房,没有窗户,入住时,发现问题很多,比如整个房间过于潮湿,味道重,更可怕的是酒店里竟然飞着那种到了夏天卫生间下水道就会出的飞虫子,,好恶心,,,因为到酒店时已经零晨了,所以没有换房间,只要求服务员换了床被子,当晚我是穿着自己衣服睡的,而且整晚身上都是凉的,建议这样的房间,酒店方要多注意通风啊,,,第二晚换了个时尚大床忘,有窗,比之前那个通风好些,但价格也贵了不少,,睡觉时发现', '短评打分': 1}
{'短评内容': '什么破酒店，就是现实版蜗居，居然叫酒店，干脆叫鸽子楼吧。', '短评打分': 1}
{'短评内容': '酒店的服务很好，卫生还行，很安静，不错。', '短评打分': 5}
{'短评内容': '在崂山区，位置不错，旁边就有好吃的船歌鱼水饺，去崂山和石老人都很近，住了两晚 豪华套房，非常满意  早餐是10元的券，要额外购买，但是很值有三四种小菜，三四种中式面食早点，有粥和豆浆 鸡蛋  足够吃饱  房间挺大的，除了举架第一点没什么别的  举架的问题也不影响   我住的房间是大圆床，床的舒适度也可以，枕头啊，床单 都不错  总体很满意  对了  门口停车也很方便，旁边就是银行  晚上停在那里 ', '短评打分': 5}
{'短评内容': '酒店位置很好，环境不错，干净舒适！', '短评打分': 3}
{'短评内容': '房间很干净，床也非常舒适，设计很好。还会选择这家酒店', '短评打分': 5}
{'短评内容': '朋友帮忙定的，本来以为很难找的，去了才发现周围交通很方便，以后还会去的', '短评打分': 5}
{'短评内容': '这次住的是崂山店，环境很不错，服务员服务也很贴心，而且位置也不错，下次去啤酒节的话，住那里就更方便啦  哈哈~', '短评打分': 5}
{'短评内容': '装修很有特色，而且分店很多，下次帮朋友找  还找他家的~', '短评打分': 5}
{'短评内容': '装修的非常有特色，住的很舒服，而且关键是很干净，附近的交通四通八达  去哪里也挺方便的，下次还会考虑住他家  嘿嘿～', '短评打分': 3}
{'短评内容': '1.楼层太低，估计不会超过2.2米，非常压抑。\n2.房间装修比较粗糙，跟实际照片很有差距。\n3.其它方面，如硬件设施、卫生情况、前台服务态度都一般。', '短评打分': 1}
{'短评内容': '比较干净，安静。就是没有窗，有些憋闷。交通还算便利。', '短评打分': 5}
{'短评内容': '房间很有特点，很干净，服务人员态度很好！', '短评打分': 5}
{'短评内容': '味道有些重，空间有些小，服务还算可以。创意可以，但考虑到实际感受，有些难受。', '短评打分': 1}
{'短评内容': '还不错，位置很好，就是层高太低.别的很好吧！', '短评打分': 5}
{'短评内容': '还行，一般，相当凑合，去到的时候很累了，不是啤酒节，太偏僻，不好找，具体看楼下全部~', '短评打分': 1}
{'短评内容': '房间有些压抑，其他还算温馨。干净还好，服务一般，设施一般。', '短评打分': 1}
{'短评内容': '我是帮同事订的，听他说这是家新店，环境卫生都还不错！他很满意！！相信以后去，还会订这家的！！！！！我是帮同事订的，听他说这是家新店，环境卫生都还不错！他很满意！！相信以后去，还会订这家的！！！！！', '短评打分': 5}
{'短评内容': '环境好,舒适,态度特别好,值得选择', '短评打分': 3}
{'短评内容': '位置不错，交通比较便利，设施都是新的，但是一些小细节还需要注意一下。我们住的那个房间没有窗户，所以空气比较浑浊加之是刚装修的房间，味道就更不好了。酒店的卫生还需要努力，我们用的漱口杯居然还有一个牙膏唇印。总体来说是硬件还可以，软件较差。', '短评打分': 5}
{'短评内容': '房间挺干净的 就是窗太小了 房间很闷 开空调又太冷温度调高了又闷 房挺小的还算精致', '短评打分': 3}
{'短评内容': '酒店是时尚型酒店 装潢比较新 总体还是不错的 就是啤酒节时候的价格跟平时差不多贵一倍要 房间还不错 \n', '短评打分': 5}
{'短评内容': '酒店是时尚型酒店 装潢比较新 总体还是不错的 就是啤酒节时候的价格跟平时差不多贵一倍要 房间还不错 ', '短评打分': 5}
{'短评内容': '酒店还可以，不过细节还不行，最大的问题是居然没有窗，感觉进了笼子里', '短评打分': 3}
{'短评内容': '商务大床房没窗户.', '短评打分': 3}
{'短评内容': '非常温馨，房间如其名，比较有创意。。。干净简洁！已经是第二次入住了，距离海边很近，步行5分钟哦。。。', '短评打分': 5}
{'短评内容': '这家酒店的服务态度极差。啤酒节期间入住该酒店，房间漏雨把行李全部弄湿了，酒店方面不但没有告知我，而且在我打电话去前台时连对不起都没有说，还质问我想要怎样？\n试问这样的酒店怎样在服务行业立足，特别还是在啤酒节期间，让同行的外国朋友大为惊叹。\n还有就是退房时，无法当场拿发票，说是要邮寄。\n这点也非常不合理。\n这样的酒店以后不会再住了，其他连锁店也一样。', '短评打分': 1}
{'短评内容': '崂山金融区中心地带，购物 逛啤酒城 去海滩都很方便  。。。', '短评打分': 5}
{'短评内容': '崂山城区金融中心地带，距青岛国际啤酒城和丽达购物中心咫尺之遥，很方便。', '短评打分': 5}
{'短评内容': '房間就像大家說的隔音不好，我住商務兩人房，房間還行。但是房間沒有附贈礦泉水，我半夜想買個水櫃檯也沒人。且辦理入房退房速度極慢。 不過工作人員很親切。', '短评打分': 5}
{'短评内容': '挺好的服务，房间也不错装修的很时尚，唯一遗憾就是没订上有窗户的房间。', '短评打分': 5}
{'短评内容': '没有窗户，有点闷。其他还好。隔音差些。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '在网上看觉得酒店很漂亮，去了之后有点小失望，不过还好，我住的商务大床房，还算干净，洗澡喷头很过瘾，但是隔音不太好，房间也不是特别大。', '短评打分': 3}
{'短评内容': '房间不错,没有窗户,有装修 的味道.其他还好................', '短评打分': 5}
{'短评内容': '酒店环境不错，确实挺有创意，但隔音效果一般', '短评打分': 3}
