{'descr': '。', 'star': 1}
{'descr': '我是最后一天入住的顾客了！听说楼要被收了！', 'star': 4}
{'descr': '酒店停业不提前通知客人，给人感觉太差劲了', 'star': 3}
{'descr': '交通便利，靠近地铁站，可以直达较多的景点和商业街，房间属紧凑型。服务人员态度还不错，有一定数量的停车位。', 'star': 4}
{'descr': '离太阳宫只有一站的距离，地理位置不错，价格合理', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '蛮不错的 好评', 'star': 5}
{'descr': '位置绝佳，干净无异味，房间不大。', 'star': 5}
{'descr': '京东的促销满减有力度', 'star': 5}
{'descr': '地理位置十分不错，酒店服务态度很棒。距离鸡鸣寺很近。', 'star': 5}
{'descr': '地理位置很好，坐地铁方便。', 'star': 5}
{'descr': '挺好的一次体验，感觉很棒', 'star': 5}
{'descr': '嗯就是7天酒店。。连锁店感觉差不多。就是快捷酒店的感觉了。。这家7天离鸡鸣寺地铁站还比较近比较好找。不用拐弯抹角太多次直走就可以到', 'star': 4}
{'descr': '住在这里唯一的好处就是离地铁近，方便进出。离火车站近，到南京不用走太远。其他就真的差强人意了', 'star': 4}
{'descr': '电梯地毯有味道 房间干净清爽 周围吃饭的店也很多 ', 'star': 5}
{'descr': '还不错吧', 'star': 4}
{'descr': '服务挺好，环境优美！', 'star': 5}
{'descr': '厕所手纸有点儿脏', 'star': 5}
{'descr': '不错啊', 'star': 5}
{'descr': '还可以吧，卫生间不是玻璃透明的。', 'star': 4}
{'descr': '还可以，挺好', 'star': 5}
{'descr': '便宜，屋大，门口有刘长兴吃饭的地', 'star': 5}
