{'短评内容': '价廉物美，可免费停车', '短评打分': 5}
{'短评内容': '价廉物美，地理位置好，可免费停车', '短评打分': 5}
{'短评内容': '卫生间太小了', '短评打分': 5}
{'短评内容': '一个人住，大小还可以。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '房间太小了，还没有窗户，昨天同样的钱订的有窗户，有拖鞋，这里连个拖鞋都没有，房间摆一张床就没有空间了，订购的朋友先兰考房间在说', '短评打分': 2}
{'短评内容': '环境价位都不错', '短评打分': 5}
{'短评内容': '房间太矮，卫生间太小', '短评打分': 4}
{'短评内容': '房间小，其他都可以！', '短评打分': 4}
{'短评内容': '这个房间面积小，其他都可以！', '短评打分': 4}
{'短评内容': '离华西医院近，交通方便，一楼设消毒柜，很周到。卫生间热水快，温度适宜。', '短评打分': 5}
{'短评内容': '在华西医院第一门诊附近，环境较安静，布丁宾馆干净雅致，隔音要加强。', '短评打分': 5}
{'短评内容': '酒店地理位置离我上班的地方很近！房间干净整洁！', '短评打分': 5}
{'短评内容': '非常满意，感激有你～～～布丁！今后还要来住。', '短评打分': 5}
{'短评内容': '酒店还是挺干净的，主要位置在一环，这个价格能住还是很不错了', '短评打分': 5}
{'短评内容': '先说地理位置，这家门店在华西医院附近，耍都旁边，岷山饭店机场大巴走路过去大约10分钟，很安静。周边吃的非常多，很方便。进门的通道有绿色植物缠绕，感觉很清爽，大厅有很多绿藤，是用心了的。前台服务很贴心，很好，很热情。喝水的杯子秉承布丁一贯的风格放在大厅的消毒柜消毒，能放心使用，毕竟高温消毒了。客房走廊很有特色，让人为之一振。房间布局合理，小巧温馨，非常干净。价廉物美，值得推荐！特别感谢前台，钱包忘在', '短评打分': 5}
{'短评内容': '先说地理位置，这家门店在华西医院附近，耍都旁边，岷山饭店机场大巴走路过去大约10分钟，很安静。周边吃的非常多，很方便。进门的通道有绿色植物缠绕，感觉很清爽，大厅有很多绿藤，是用心了的。前台服务很贴心，很好，很热情。喝水的杯子秉承布丁一贯的风格放在大厅的消毒柜消毒，能放心使用，毕竟高温消毒了。客房走廊很有特色，让人为之一振。房间布局合理，小巧温馨，非常干净。价廉物美，值得推荐！特别感谢前台，钱包忘在', '短评打分': 5}
