{'短评内容': '内窗比较安静', '短评打分': 4}
{'短评内容': '一般化，离火车站近，方便而已', '短评打分': 5}
{'短评内容': '房间有异味，住了一间很差的房间。', '短评打分': 1}
{'短评内容': '酒店位置较好', '短评打分': 5}
{'短评内容': '还不错，三人间不好订', '短评打分': 5}
{'短评内容': '酒店设施一般。空调效果不是特别好', '短评打分': 4}
{'短评内容': '不错，环境还不错，价格也不贵，地段方便。', '短评打分': 5}
{'短评内容': '一般11111111111', '短评打分': 3}
{'短评内容': '地理位置不错，楼下就有大型超市，对面有超多早餐店，不错！', '短评打分': 4}
{'短评内容': '挺好吧。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '很好，很大，很安静，很干净，不管是什么都很好，价钱也很合理，', '短评打分': 3}
{'短评内容': '可以，房间较大，床垫舒服', '短评打分': 3}
{'短评内容': '跟图片差距太大了，话说房间这么大的好吗，随便找个人来设计下装修也可以多赚很多呀我晕', '短评打分': 3}
