{'短评内容': '早餐有点单一', '短评打分': 3}
{'短评内容': '环境一般，下有车场', '短评打分': 3}
{'短评内容': '单间除了没有浴缸之外其它一切都比较满意…', '短评打分': 5}
{'短评内容': '去年本人结婚也是他家，感觉不错，今天又帮她们定了，我们总的定了三个房间，就一个车过夜，结果接亲车停了不到一个小时喊收费，早上出去了2趟，前台叽叽歪歪的。去年接亲的8个车过夜没收费。灭火器没有定期巡检，有过期的，已拍照！', '短评打分': 3}
{'短评内容': '接亲车停了不到一个小时喊收费，定了三个房间一个车过夜，接亲早上过夜车出去两趟唧唧歪歪的！灭火器没有定期巡检，有过期的，头一天给前台说了，第二天还是没整改，已拍照！！！！', '短评打分': 3}
{'短评内容': '位置还行，出门吃喝、购物、去景点都比较方便，就是设备比较陈旧。', '短评打分': 5}
{'短评内容': '马马虎虎吧，主要是方便。', '短评打分': 4}
{'短评内容': '很不错的酒店，早餐也不错，还会考虑去住', '短评打分': 5}
{'短评内容': '还不错啊，不算中心区，但是也离的不远。', '短评打分': 5}
{'短评内容': '设备先进环保，早餐也不错', '短评打分': 5}
{'短评内容': '洒店设施有点旧，光线很暗，房间很大，早餐品种很少，口味一般。服务态度很好。', '短评打分': 5}
{'短评内容': '酒店没有增专票，入住时并未提出。房间还可以，但空调几乎没有暖风。周围吃饭饭馆还可以，早餐等同于没有，要个果酱也是找半天。', '短评打分': 3}
{'短评内容': '还是可以选择的，安顺这个地方的酒店普遍不怎么样', '短评打分': 4}
{'短评内容': '总的来说还是不错的，在安顺还算可以，往前走15分钟的样子可以到闹市区，房间内环境可以，整洁，床也还不错。', '短评打分': 4}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '交通方便，配套齐全，室内干净，前台服务态度良好，房间配置比较优越', '短评打分': 3}
{'短评内容': '不错不错，下次再来！50字50字50字50字50字50字50字50字50字50字50字50字50字50字50字', '短评打分': 5}
{'短评内容': '房間舒適、交通便利、住了2個晚上、挺舒服的，再去安順肯定選擇這家', '短评打分': 5}
{'短评内容': '酒店蛮新，服务态度也不错，就是大堂很冷。', '短评打分': 5}
{'短评内容': ' 酒店较新，总体还行。不过268的房间比较坑爹，没有窗户。', '短评打分': 3}
{'短评内容': '房间很好，白天没空调，冬天有点冷，前台服务态度还须改善，总体上还是挺好。', '短评打分': 3}
{'短评内容': ' 看了早餐好才来的，位置不好，早餐垃圾，', '短评打分': 3}
{'短评内容': '酒店的位置和硬件都好[9分]，就是总台服务员还需 培训[5分]，客房服务不够细致但态度很好[7分]，早吃比较丰富。希望管理有所改进，在安顺还是不错的。', '短评打分': 5}
{'短评内容': '很好的环境，服务很好。我很喜欢！！！！！！！', '短评打分': 5}
{'短评内容': '还行，就是价格又点贵，旅游来的人多，早上很早就被吵醒了', '短评打分': 5}
{'短评内容': '我住的2B21房间下有设备间，晚上10点运行到半夜，早上5点又开始运行，无法睡觉', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': ' 房间大小和卫生，舒适度都不错 前台服务还需要提高', '短评打分': 3}
{'短评内容': '非常好的酒店', '短评打分': 3}
{'短评内容': '酒店设施还好，前台服务一般，查房速度有待提高', '短评打分': 5}
{'短评内容': '不错，有停车位。服务员很热情，还帮助我们推荐好吃的东西和地方，也比较规范。电梯有点小，最不理想的就是还有些装修的味道。', '短评打分': 5}
{'短评内容': '房间大，干净，安静，床垫和枕头很舒适。洗澡水量足，浴室设施齐全，空调好，有网络，有内部泊车位，早餐不错。\n\n前台服务态度不错，但明显未经过专业培训，客人来到不主动打招呼，业务不熟练，早餐信息不告知。', '短评打分': 5}
{'短评内容': '非常不错的酒店，安静、舒适，卫生好，设施也很新，服务也很好。\n在安顺这个比较小的旅游城市，有这个规格的酒店，超出预期。\n性价比比较高。\n酒店虽然不在市中心，但是安顺实在是太小了，打车5块钱可以解决问题。\n', '短评打分': 5}
