{'短评内容': '经常进住,一样的水平,对得起此价格,好评', '短评打分': 5}
{'短评内容': '有窗吗', '短评打分': 4}
{'短评内容': '还可以不错的', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '脏乱差！无法入住！网上订还不能取消！网上订比现场订的价格更贵！以后都不用携程网了', '短评打分': 2}
{'短评内容': '每次来朋友都住这里，不错，干净，安静。', '短评打分': 5}
{'短评内容': '房间比较干净，设施较旧，交通方便，出行容易。', '短评打分': 5}
{'短评内容': '服务态度还可以，卫生程度一般吧，房间里竟然出现小强，可能是房间不通风天气又热的原因吧，我宁愿里面不要铺地毯。这样的话，小强就没有藏身之地。', '短评打分': 4}
{'短评内容': 'Near Kama . Only for those who want to go Kama club everyday ', '短评打分': 5}
{'短评内容': '地理位置可以。就是酒店设施比较陈旧。性价比在那个位置是可以的。', '短评打分': 4}
{'短评内容': '地理位置可以。就是酒店设施比较陈旧。性价比在那个位置是可以的。', '短评打分': 4}
{'短评内容': '地理位置可以。就是酒店设施比较陈旧。性价比在那个位置是可以的。', '短评打分': 4}
{'短评内容': '交通位置较好，离火车站比较近。环境一般，毕竟价钱就摆在那。', '短评打分': 4}
{'短评内容': 'Hotel is good and very near to all amenities ', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '遇上广交会，房价偏高，其它都还不错，前台有个小姑娘很热情，不知叫什么名字了。', '短评打分': 3}
{'短评内容': '房间还不错的，服务也很好，只是广交会期间，价格太高。', '短评打分': 3}
