{'短评内容': '挺好不错不安静', '短评打分': 5}
{'短评内容': '很好！继续入住，一如即往的便捷，停车比较方便，就是地下停车场有点小！酒店早餐比较实惠，但建议到周边去品尝地道美食！', '短评打分': 4}
{'短评内容': '很好！继续入住，一如即往的便捷，停车比较方便，就是地下停车场有点小！酒店早餐比较实惠，但建议到周边去品尝地道美食！', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 5}
{'短评内容': '很好很好，OK，故地重游，再见怡和，很不错的地方，旁边就是体育馆，丹阳夜市，这里的特色小吃很多，交通便利，值得入住！', '短评打分': 5}
{'短评内容': '入住环境舒适整洁，早餐品种少。', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 4}
{'短评内容': '住起来还不错，很实惠', '短评打分': 5}
{'短评内容': '还是不错的，大家可以来哈！', '短评打分': 5}
{'短评内容': '酒店干净整洁，交通方便，早点丰盛，设施齐全。', '短评打分': 5}
{'短评内容': '还行，感觉恩施酒店都差不多，旧了', '短评打分': 5}
{'短评内容': '面积一般，硬件还行，交通便利。', '短评打分': 5}
{'短评内容': '第二次住了，方便，舒适，下次一定会再来', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好的酒店，吃饭交通方便。下次还去', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店设施不是很好了', '短评打分': 4}
{'短评内容': '只能说一般般哈', '短评打分': 4}
{'短评内容': '一般！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '前台接待业务不精，态度不大好，房间破败，隔音奇差，三星水准都不到，早餐菜品不多，苍蝇不少不小。退房速度慢还被蚊子叮。', '短评打分': 3}
{'短评内容': '应该还不错，替朋友订的，看来比较满意。下次自己去住', '短评打分': 5}
{'短评内容': '酒店很舒服，早餐好吃，交通也便利，服务好！建议入住', '短评打分': 5}
{'短评内容': '酒店硬件设施在当地算最高档次了，性价比还可以。下次来还会去住。', '短评打分': 5}
{'短评内容': '恩施怡和国际大酒店设施还可以，但要够上4星差的不是点把点的，只能说将就住', '短评打分': 3}
{'短评内容': '酒店的硬件不错，楼下就有药店、超市等，很方便，有大型的地下停车场，早餐一般。', '短评打分': 5}
