{'短评内容': '好评。。。很满意！', '短评打分': 5}
{'短评内容': '位置不错，离西区医院近，附近小吃多，房间设施略老旧，前台服务好，住宿安静，出行方便好找，公交、地铁很近。', '短评打分': 5}
{'短评内容': '整体来说真的挺不错的，性价比好，就在二环路上，价格便宜但是住起真的挺舒服的，环境卫生都行，挨着欧尚超市也挺近的，早餐也可以，挺丰富的，就是房间的隔音效果不行，旁边房间聊天一下就听见了，整体还是挺满意的！', '短评打分': 4}
{'短评内容': '有早餐，还可以', '短评打分': 4}
{'短评内容': '有早餐，还可以', '短评打分': 4}
{'短评内容': '网上订购下单价格实惠 ，附近有大型超市，银行、医院，出行很方便，门口就是二环快速公交站台，酒店对面就有地铁2号线', '短评打分': 4}
{'短评内容': '服务好，性价比高', '短评打分': 5}
{'短评内容': '本来对这家酒店映象挺不错的，我周六订的房间，137，然后第二天准备再住一天我就想说直接在网上订，一样的商务大床房，我看是110，我就订了，结果打电话说如果是110就要换房间，我问了一句都是同样的房间为什么要我加钱，结果前台就巴拉巴拉不耐烦的说了半天，这都算了，重点是我在问她话的时候她在电话那头跟别人聊天，呵呵，这服务，好吧，以后业不打算在这家住了，简直，酒店不是服务最重要吗', '短评打分': 4}
{'短评内容': '还可以吧，住了好几次了，主要是地理位置好，交通方便', '短评打分': 5}
{'短评内容': '被子很薄，淋浴是坏的', '短评打分': 2}
{'短评内容': '酒店服务差', '短评打分': 2}
{'短评内容': '没有沐浴露 洗发露     牙膏牙刷以及其他生活必需品 全部收费 呵呵', '短评打分': 1}
{'短评内容': '这是一家我出差到成都必住的酒店，位于西门，旁边有地铁，超市，大商场，环境好，价格便宜，干净卫生，有停车场', '短评打分': 4}
{'短评内容': '酒店略老，地段不错，旁边有家火锅店很好吃', '短评打分': 5}
{'短评内容': '略老化，房间挺大，性价比高，特别是水床，非常棒', '短评打分': 5}
{'短评内容': '可以。房间挺大。挺舒适。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 1}
{'短评内容': '不错，特价房性价比很高，比较超值。', '短评打分': 4}
{'短评内容': '床太差，卫生间很臭', '短评打分': 3}
