{'短评内容': '服务很好！位置不错！早餐很不错！下次还会去！', '短评打分': 5}
{'短评内容': '到青岛出差，基本是每次都住在这家酒店的，干净，服务质量也好。', '短评打分': 5}
{'短评内容': '就断服务生态度很好 帮忙把行李搬到房间 酒店早餐还可以 虽然算不上丰盛 但总算能填报肚子', '短评打分': 5}
{'短评内容': '很不错的酒店 虽然设施陈旧了一点 但是房间非常干净 离机场十分钟的路程 交通还算便利 ', '短评打分': 5}
{'短评内容': '第二次入住了。酒店不错。前台服务员很热情。因为空运的箱子包装散了，商务部的小伙子很热心的帮我找胶带。很满意。。。', '短评打分': 5}
{'短评内容': '性价比交感，早餐不错。隔音效果不是特别好。', '短评打分': 5}
{'短评内容': '性价比比较高，早餐不错，通说晚上还有自助餐。', '短评打分': 5}
{'短评内容': '性价比不错，早餐也不错。卫生间有点不合理。', '短评打分': 5}
{'短评内容': '性价比很高，比较干净。住了还几次。隔音有点不好。', '短评打分': 5}
{'短评内容': '还好，还好，离机场近、但附近饭店太少，韩式消费较多', '短评打分': 5}
{'短评内容': '管理很一般，半夜有人乱敲门，隔壁房间太吵，服务人员不太热情。', '短评打分': 1}
{'短评内容': '很不错的酒店。设施及服务都好。值得入住.......', '短评打分': 5}
{'短评内容': '房间格局不错，就是卫生间稍微小点.早餐不错', '短评打分': 5}
{'短评内容': '离机场较近，性价比还可以。\n管理还有提升空间。\n晚上客服的动静太大：服务员的人语声、关门声总有。\n半夜有人进入客人房间，惊醒客人。但离店时，也没有得到酒店合理的处置方式，只是简单地解释是其它客人进错房间了：（（\n客人找错房间，又如何能进入房间？解释是门卡窜磁了：（（\n这两个解释显然无法接受，不符合逻辑。\n硬件方面，安全设置不够：1、门后没有扣环，其它人居然在半夜可以毫无障碍进入；2、门上没有猫眼。', '短评打分': 5}
{'短评内容': '离机场很近，住宿条件还可以。若是在城阳区出差，可以考虑选择它。', '短评打分': 5}
{'短评内容': '酒店设施及环境不错，服务也不错。值得入住。。。。', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': '感觉一般，性价比不高，地理位置也不是很方便', '短评打分': 1}
{'短评内容': '蛮干净，其他感觉一般.性价比一般。。。。', '短评打分': 5}
{'短评内容': '房间还可以，浴室台盆比较小。', '短评打分': 3}
{'短评内容': '酒店环境不错，交通也方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好，门卫主动提供服务，性价比高，设施中上，房间卫生间乾净，饭店附近安静，但街对面有很多餐厅可选择。', '短评打分': 5}
{'短评内容': '此酒店挺好的，地段不错，服务也挺好的。是城阳不错的酒店。', '短评打分': 5}
{'短评内容': 'good...........................', '短评打分': 5}
{'短评内容': '好！下次还会再住............', '短评打分': 5}
{'短评内容': '好......................................', '短评打分': 5}
{'短评内容': '房间的配套卫浴比较好，早餐也不错。下次来青岛还会入住。', '短评打分': 5}
{'短评内容': '不错的酒店，房间整洁、舒适。早餐也比较丰富。', '短评打分': 5}
