{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '出差首选，配套齐全，晚上也很安静，周围的配套设施也是很完善，很方便，每次来都是来这里住，服务员也很有礼貌！酒店非常温馨，房间内灯光有很多模式可以调节，情侣住非常合适，有的房间还有大镜子，整体感觉不错，床很舒服', '短评打分': 5}
{'短评内容': '老公说房间很小，床都靠墙的，可能是特价房的原因吧', '短评打分': 4}
{'短评内容': '室内设置非常好,住的地方就是商场楼上, 吃的买的很方便 ,房间干净,宽敞明亮,很有家的感觉,服务很到位,以后出行公寓是首选。 ', '短评打分': 5}
{'短评内容': '不错，环境也可以，周围方便', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还好，比较实惠，算不错了', '短评打分': 5}
{'短评内容': '大体还行，稍稍贵了点', '短评打分': 5}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '还不错嘿嘿', '短评打分': 5}
{'短评内容': '马马虎虎', '短评打分': 3}
{'短评内容': '马马虎虎', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置不错，出行方便！但周边饮食不方便！', '短评打分': 3}
{'短评内容': '价格合适，空间大，带孩子入住很满意！不过偏了些！', '短评打分': 3}
{'短评内容': '还行吧，麻将房，麻将有点小，无线网不好用', '短评打分': 3}
{'短评内容': '性价比良好，推荐入住', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '卫生环境不错，但早餐太简单。', '短评打分': 3}
