{'短评内容': '环境一般般', '短评打分': 4}
{'短评内容': '因为面点师傅有事，早餐停止运行，还退了钱，商家很诚信。房间很暖和。酒店不大，外面看上去还有点破旧，但服务很温馨，值得推荐！', '短评打分': 4}
{'短评内容': '因为面点师傅有事，早餐停止运行，还退了钱，商家很诚信。房间很暖和。酒店不大，外面看上去还有点破旧，但服务很温馨，值得推荐！', '短评打分': 4}
{'短评内容': '房间较简单，老板人不错', '短评打分': 4}
{'短评内容': '比较干净，暖气比较暖和，无早餐提供。', '短评打分': 4}
{'短评内容': '不错的酒店，老板服务态度很好！', '短评打分': 5}
{'短评内容': '提前打电话确认有暖气才预定的，到的时候也的确有供暖，但到晚上8.9点暖气开始变冷，问前台说是市区集体供暖再晚点暖气就会好的，结果暖气片一整夜都是凉的，感觉被忽悠了，这点差评！另外，房间像没打扫过似的，地上和卫生间都有残留的垃圾，虽然出行我们对住宿要求并不高，但这个太不专业了，印象很差。', '短评打分': 4}
{'短评内容': '虽然外面阴雨，但房间很干燥不潮湿。采光通风也很好。老板家的涮肉真好吃！', '短评打分': 5}
{'短评内容': '阿尔山住宿偏贵，不值这个价', '短评打分': 3}
{'短评内容': '服务态度很好，就是内外环境不好', '短评打分': 4}
{'短评内容': '挺好的，很干净，环境不错', '短评打分': 3}
{'短评内容': '总体一般般', '短评打分': 3}
{'短评内容': '这样的房间，这样的价格，性价比不高，但旅游城市，这个季节，也就是这样了', '短评打分': 4}
{'短评内容': '位置不在主干道上，周围很多正在盖房所以环境不佳，宾馆是别墅式家庭宾馆，房内干净卫生，床很舒服，洗澡是40升电热水器，插卡40分钟才能洗澡，出水不大但还行。整体舒适度高！', '短评打分': 3}
{'短评内容': '很普通的商务宾馆，好在干净卫生', '短评打分': 3}
{'短评内容': '差极了，580元可以在广州住五星酒店，一间不到10平方的家庭式宾馆房间，任何洗漱物品都不配给，哪值？阿尔山的宾馆如此高价，周围的景点不多不哪么好的情况下，去一次已觉得无再去观光的理由。', '短评打分': 1}
{'短评内容': '下次去阿尔山还住他家，挺实在的。很好很好很好', '短评打分': 5}
{'短评内容': '环境不错比较干净舒适就是厕所小了点', '短评打分': 3}
{'短评内容': '强力推荐阿尔山住这家酒店，很温馨，好 ，非常好', '短评打分': 5}
{'短评内容': '酒店不错，环境幽静，房间干净，早餐也不错。', '短评打分': 3}
{'短评内容': '还不错，房间很明亮干净，卫生间太小', '短评打分': 3}
{'短评内容': '房间够大整洁卫生超乎预想只是房内特冷好在有电褥子。总体不错', '短评打分': 3}
{'短评内容': '虽然遇到突发情况没有住上神鹿宾馆，但是对宾馆的客服非常满意！', '短评打分': 5}
