{'descr': '还不错，干净卫生', 'star': 5}
{'descr': '非常舒适，位置很好，推荐大家来这里。', 'star': 5}
{'descr': '酒店的环境很好，很安静，屋子也很干净卫生，尤其是床单被罩，被子和床垫上面的那层薄薄的小垫子都超级干净！不好的就只说一点！前台的女服务员真的很扯，早上退房一点耐心都没，要个袋子不是用给的，是用甩的！这就是顾客是上帝的宗旨吗！', 'star': 5}
{'descr': '房间干净卫生，前台小伙子很棒，酒店很好！', 'star': 5}
{'descr': '服务周到，房间干净卫生，设备设施齐全，值得推荐的一家酒店！', 'star': 5}
{'descr': '。。。。。。。。', 'star': 5}
{'descr': '外面看着挺破的，房间还不错，空间充裕，比较干净', 'star': 5}
{'descr': '挺方便的，出差定的，下回还来。挺方便的，出差定的，下回还来。挺方便的，出差定的，下回还来。挺方便的，出差定的，下回还来。', 'star': 5}
{'descr': '不错，早餐一般', 'star': 5}
{'descr': '帮别人订的，好评吧。', 'star': 5}
{'descr': '环境还不错，经常住', 'star': 5}
{'descr': '还不催错', 'star': 4}
{'descr': '服务不错，房间很一般，隔音特别不好，卫生间也小', 'star': 5}
{'descr': '不错。面积，条件，地理位置等等一系列还是不错的。', 'star': 5}
{'descr': '交通便利，离西客站很近，价格适中，设施不错，我们领导很满意', 'star': 5}
{'descr': '位置很好，环境还可以，干净整洁，交通方便，就是理路太近，不太安静', 'star': 5}
{'descr': '北京汉庭军博店是一个非常安静的旅店，听不到街上的汽车声。去北京西站十分方便。', 'star': 3}
{'descr': '房间隔音效果差，外面餐厅说话都听得到。交通方便，其余还好。早上打车很不容易。离白云观到挺近。', 'star': 5}
{'descr': '房间的床很大，设施设备也都很齐全，就是照明不太好。不过离西站很近，性价比还是很高的。', 'star': 5}
{'descr': '干净温馨', 'star': 3}
{'descr': '前台服务态度很好~就是房间有一个灯坏掉啦~来住过两次了 是我住过的算是挺舒服的酒店 比东方饭店好！', 'star': 5}
{'descr': '优点：酒店干净，服务热情。\n缺点：\n1.高级大床房都临街，很吵。建议改善窗户。\n2.餐厅在二楼，但住别的楼层的客人坐电梯时没有权限按二楼，需到一楼请前台帮忙按，或者走楼梯。不方便。\n3.其实离军博地铁站还是有一段距离的。店名有些误导人。', 'star': 5}
{'descr': ' 干净舒适 交通便利 和老公住的很舒服 ！！', 'star': 3}
{'descr': '酒店位置很好，工作人员接待热情，房间虽小，但设施齐全，值得推荐！', 'star': 3}
{'descr': '环境不错。', 'star': 3}
{'descr': '环境很好……地方很安静……值得推荐', 'star': 3}
{'descr': '房间也太小了，地址位置还不错。服务态度也好，安全措施齐备', 'star': 1}
{'descr': '还不错,离西客站和机场大巴都近', 'star': 3}
{'descr': '方便。位置不错，服务也可以，下次还会选择。', 'star': 5}
{'descr': '环境不错，又干净，地理位置马马虎虎，下次还住！', 'star': 5}
{'descr': '在北京100块钱能住这样的房间不错了,房间不算小，还很干净，有窗户，只有周末百元房很是遗憾，平时也有这样的房间的话，一定会是首选。', 'star': 5}
{'descr': '汉庭军博店很好,干净,下次还要住', 'star': 3}
{'descr': '真是挺不错的 也不难找 大堂有免费的热可可 茶袋 薄荷糖 房间不错 喜欢浴室 厕所不会堵 恩恩 有吹风机 真挺不错的 很安静 空调很给力！真的不错不错！！！！', 'star': 5}
{'descr': '前台服务很热情，房间小巧整洁，地理位置很方便', 'star': 5}
{'descr': '非常新非常干净的一家快捷酒店，房间有点儿小，隔音不是很好，不过布局合理，服务人员很热情，地理位置也很不错，总之住的相当满意。', 'star': 5}
{'descr': '我住的是百元房，以酒店的位置，这个价格还可以，但可能是特价房的原因，房间的格局比较怪，放东西的住的不是特别方便。', 'star': 5}
{'descr': '酒店总体条件不错。就是房间小了点，没有早餐。下次如果旅行，我还会住汉庭。', 'star': 5}
{'descr': '绝对的舒适\n新开的不久吧，都是新的，格局有点紧凑，不错不错，很干净，\n下次绝对还去住，地理位置也好，晚上有往房间塞   三陪名片的，不过店里有告示说是假的，不要上当，很热情', 'star': 5}
{'descr': '工作人员服务态度很好  交通也比较便利 是短期出行休息的好去处', 'star': 5}
{'descr': '这个酒店位置很好 离西站很近 交通十分方便 周围还有不错的饭店 酒店的服务人员态度十分友好 卫生条件也不错 总之我非常满意 要是总能推出 特价房就好了 ', 'star': 5}
{'descr': '不错，环境很好 感觉不错  反正挺舒适的', 'star': 5}
{'descr': '位置挺好找的，离西站步行不到二十分钟，酒店内部环境还不错，除了房间有点小，不过也够用了！', 'star': 3}
{'descr': ' 酒店很温馨 细节人性化 很满意 交通也便利 地铁和公交很方便 尤其喜欢浴室 挺大的 水也很好 下次还会选择！', 'star': 3}
{'descr': '服务不错哦，位置离军博地铁站较远，差不多1KM吧，行李多的话挺累的。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '酒店设施服务都满好，正好北京打降温，房间好温暖啊', 'star': 5}
{'descr': '  住的是新春百元房，房间很干净，暖气也很不错，服务员的态度也很好，非常划算的一次入住，在西站附近，但是一点都不吵，大力推荐！', 'star': 5}
{'descr': '印象很好，无论服务还是硬件设施都值得称赞，房间简约温馨，一切都有到家的感觉。仅有的缺憾是房间太小了，连个行李箱放置的位置都没有，实在不太方便！', 'star': 5}
{'descr': '很干净整洁，前台小姐有礼貌，价格亲民。', 'star': 3}
{'descr': '新春百元房，房间不大不过空间利用很合理，床很大，水压有点小，有窗户，还不错，值这个价位。不含早餐，15元价位高了，不赶时间不如出去吃。', 'star': 5}
{'descr': '交通很方便，酒店很干净，价格较实惠，就是超过下午6点入住要信用卡担保，有些不方便。', 'star': 5}
{'descr': '装修和卫生都很让人满意，就是离地铁站有点距离，但是也不是大问题，是个值得住的地方，尤其它的百元房。', 'star': 5}
{'descr': '酒店服务态度非常好， 酒店干净， 离北京西站也很近。就是房子稍微有点小， 其他的都非常满意。', 'star': 5}
{'descr': '距离北京西站很近，附近有地铁。近期入住的客人较多，差点定不到房间。', 'star': 5}
{'descr': '很不错的 干净 服务好 地脚离西站不远 走着10多分钟', 'star': 5}
{'descr': '距离西客站很近 有自己的停车场 房间面积也比较大 早餐不太好 但是可以将就吃', 'star': 5}
{'descr': '我觉得蛮干净，服务也不错，整体感觉还好，这个价位算不错的了', 'star': 3}
{'descr': '条件不错，性价比很高哦！只是有点吵，到北京西站步行只需十五分钟。', 'star': 5}
{'descr': ' 服务快捷、方便', 'star': 3}
{'descr': '房间有点小，位置不是很好找，不过这个价位已经不错了，性价比很高。', 'star': 3}
{'descr': '离北京西站很近，暖气好，但隔音不好、面积小。如果价格再偏宜一些的话会强力推荐。', 'star': 5}
{'descr': '离北京西站确实很近，坐65路车可直达，到军博地铁也可步行到达，约十分钟左右，酒店还算干净，暖气超级好，快到了晚上要开窗睡觉的地步了，首都啊，过份，我们那的集中供暖。。。如果除去快捷酒店的通病：隔音不好、面积小、设施简陋外（军博店就说床品了，可能是廉价品，明明是干净的，却总感觉是有人住过没换一样），房间还算温馨，洗澡水超级舒服，卫生间感觉舒服，服务生每天对卫生间不会有仔细的打扫，床对面的那个长桌很实', 'star': 5}
{'descr': '有点小 ，最主要的是墙上有个整身的镜子正好对着床。', 'star': 1}
{'descr': '已入住，服务员态度很好，靠街边的房间有点吵，很干净', 'star': 3}
{'descr': '入住以后发现预订房型不是自己预定的房型，反馈以后酒店给升级了房型，价格按照预定价格付的钱。', 'star': 5}
{'descr': '性价比很好，服务很好，位置也很好，方便！房间略小', 'star': 5}
{'descr': '房间卫生非常好，设施齐全，价格略高，隔音较差，预定的房间事先不知道朝向。', 'star': 3}
{'descr': '地方很干净，出行方便，房间较小，隔音差，建议定楼道较里面的房间。', 'star': 5}
{'descr': '空间虽然不大，但利用的很好。干净，床特别舒服。', 'star': 5}
{'descr': '服务态度好，房间镜子对床不好', 'star': 5}
{'descr': '还不错，能在北京找到这样的经济酒店算不错了！以后还可以去住。', 'star': 5}
{'descr': '酒店卫生条件不错，房间打扫的很干净，硬件设施齐全，去西客站走路15分钟左右就到了，距离地铁站十多分钟车程，交通蛮便利的', 'star': 5}
{'descr': '酒店离北京西站很近，到地铁也不远，也就十几分钟的样子，出行还是挺方便的。下次来的话还会考虑住在这的', 'star': 5}
{'descr': '经济型酒店，但价钱有点小贵。不过位置和网速不错，下次还来。房间比较小，开窗的话比较吵。睡觉不好的人基本上休息也不好，其它的都还可以。推荐去，年轻人比较适合。忘了说，不能延时，这是最不满意的，一般的都能延时，有的还可以延到16点呢', 'star': 3}
{'descr': '经济型酒店，但价钱有点小贵。不过位置和网速不错，下次还来。房间比较小，开窗的话比较吵。睡觉不好的人基本上休息也不好，其它的都还可以。推荐去，年轻人比较适合', 'star': 5}
{'descr': '这家酒店是新开的，所以卫生条件很好，很干净，服务态度也不错，', 'star': 5}
{'descr': '酒店周围是居民区，环境还可以，比较安静，酒店距离军博地铁站1公里左右，去西客站也是1公里左右，出行还成，比较方便，酒店周边餐馆较多，吃饭方便，其他都一般', 'star': 5}
