{'短评内容': '很不错的，伛值得选择', '短评打分': 5}
{'短评内容': '还可以，有窗无窗的看个人需要', '短评打分': 3}
{'短评内容': '不错，环境很好，来过两次了。经济实惠，下次还来~~~！', '短评打分': 3}
{'短评内容': '环境差！卫生一般，隔音差！卫生间条件不好！', '短评打分': 3}
{'短评内容': '一般般，房价倒是挺便宜，可是硬件条件也很廉价，就是个小旅馆的水平。', '短评打分': 3}
{'短评内容': '还可以啦，下次还来入住', '短评打分': 3}
{'短评内容': '离西小口地铁站近，附近也有吃饭的地方', '短评打分': 5}
{'短评内容': '酒店位置好，装修豪华，很有文化气息，停车也很方便。', '短评打分': 5}
{'短评内容': '没什么好说的，千万别去。开个发票也不能连着开，还要一天一天的开。郁闷！！！！', '短评打分': 2}
{'短评内容': '没窗的房间，被褥潮湿、临时住一晚、价格是这周边最便宜的了、', '短评打分': 3}
{'短评内容': '实在太一般！', '短评打分': 1}
{'短评内容': '无线不是很好……房间味道不是很好，其他的还比较满意', '短评打分': 5}
{'短评内容': '比较靠近西小口地铁站，出去比较方便，价格还算公道，外边小吃也多，不建议女生单独来住，', '短评打分': 4}
