{'descr': '没有早餐，吃饭方便', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '房间挺大的，位置很好，坐车很方便，周边吃饭也方便，配套设施挺齐全，前台服务很好，美女和帅哥都挺热情，让人感觉很舒服，房间卫生很好，床垫睡的很舒服，床品也很干净，赞一个，空调制热很好，房间很暖和，尤其是无线网速相当棒！客房大姐很热情，符合7天的一贯风格，给个五星好评，下次还会来的，恭祝店家生意越来越好', 'star': 5}
{'descr': '很棒，很舒服，位置很好', 'star': 5}
{'descr': '哈哈哈', 'star': 5}
{'descr': '卫生好# #服务好# #价格划算# #房间很大# #位置繁华#7天真心不错，值得信赖的连锁酒店，住的很放心', 'star': 5}
{'descr': '刚在网上订的，还没有入住。，不知道服务怎么样。', 'star': 5}
{'descr': '之前在这儿住过好多次，位置好，交通方便，屋里很干净', 'star': 5}
{'descr': '。。。。。。。。。。。', 'star': 5}
{'descr': '不错，环境很还，房间很大。。', 'star': 5}
{'descr': '很好的，很干净就是没有一次性水杯，别的还满意', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '值得入住  出游必备', 'star': 5}
{'descr': '值得入住', 'star': 5}
{'descr': '还行吧，连锁酒店一百多一晚上，枕头很矮，窗户很小。但胜在便宜啊。', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '宾馆较干净，隔音不好，旁边的KTV唱到凌晨4点多', 'star': 3}
{'descr': '可以补发发票不？', 'star': 5}
{'descr': '定的经济房～门后面有个小铁墩子～～照镜子一不小心奔到上面去了～～～真的无语～其他的还好！电视也老了～本打算看直播～没台～以后再也不定什么经济房了', 'star': 4}
{'descr': '很好  住着舒服  推荐去', 'star': 3}
{'descr': '不怎么样。小，而且不方便，大脑袋电视，淋浴也用不了。价格还不便宜，相对其他七天差太多了。像假的。', 'star': 2}
