{'descr': '床非常干净，地面干净，服务人员态度很好我十分满意', 'star': 5}
{'descr': '还不错，挺好的。', 'star': 4}
{'descr': '订的豪华大床房，房间非常小，感觉和价位不符，而且隔音效果不好！时间太紧迫，没来得及拍照！也是遗憾了……', 'star': 4}
{'descr': '还不错哈哈。安全。环境也还好。就是房间小了点。', 'star': 5}
{'descr': '还坎坎坷坷可以', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '性价比高，而且可以白条，京东的合作酒店', 'star': 5}
{'descr': '因为是去考试，所以就预定了离学校最近的这家，环境还可以，设施什么的也OK，就是房间窗户是没有办法打开的，我以为床单被罩是一天一换的，结果不是。总体来说还可以。', 'star': 5}
{'descr': '习惯了住了几次都是这里！', 'star': 5}
{'descr': '房间有点小，其他还可以', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '酒店比较干净，值得再住', 'star': 5}
{'descr': '快捷酒店吗，只要卫生符合要求，居住舒适，有网络，其他也就可以将就了。', 'star': 4}
{'descr': '天太冷了没有暖气太冷了。', 'star': 3}
{'descr': '酒店位置离培训处颇近，很是方便。酒店性价比不错，统一的风格形象给人放心的感觉，前台服务也不错，下次还来', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '交通方便,比较干净,门前停车位置有限!到开发区和市区都不远!', 'star': 5}
{'descr': '环境、卫生、服务质量都不错，是出差旅行的最佳选择。下次还会再来。。', 'star': 5}
{'descr': '干净卫生交通便利，停车位有点少', 'star': 3}
{'descr': '干净舒适', 'star': 3}
{'descr': '不错  环境还不错\n~~~~~~~~~~~~~', 'star': 5}
{'descr': '很不错，设施和服务，在快捷酒店里非常好。不过隔音不好。', 'star': 5}
{'descr': '离万达十分钟  还不错  喜欢住在旁边有逛的地方', 'star': 5}
{'descr': '酒店环境很好，房间温馨，大床房床很好睡得很舒服，早餐不错，基本比较丰富，适合商旅人士入住', 'star': 5}
