{'短评内容': '干净，卫生！', '短评打分': 5}
{'短评内容': '交通便利，离火车站近。服务态度也很好', '短评打分': 4}
{'短评内容': '好棒棒', '短评打分': 5}
{'短评内容': '早餐味道不错，房间挺干净。', '短评打分': 5}
{'短评内容': '早餐样式也就那几样～我们两是出差特意去那里住的，因为房间整洁干净卫生！住了三天，感觉涨价，希望，外边修路不会吵到休息！', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '房间干净整洁，大小合适，安静，采光好，价格合适，服务员也很好细心！下次需要再来！唯一不足的是大厅无厕所，小朋友在退房时突然想上厕所，无法解决，好麻烦~', '短评打分': 5}
{'短评内容': '干净&hellip;&hellip;', '短评打分': 5}
{'短评内容': '房间不错干净', '短评打分': 5}
{'短评内容': '酒店环境不错，服务员态度很好，房间比较整洁。', '短评打分': 5}
{'短评内容': '睡觉，突然有阿姨进来打扫卫生，差评', '短评打分': 1}
{'短评内容': '宾馆房间卫生干净，前台人员服务热情，住宿满意', '短评打分': 5}
{'短评内容': '空调有异响，住了三天响了三天', '短评打分': 5}
{'短评内容': '可以凑合', '短评打分': 3}
{'短评内容': '还行，我们住的是内宾', '短评打分': 4}
{'短评内容': '酒店门口还在修路，让酒店换了靠里的房间。携程说返现，结果看了半天才发现还要勾选，太麻烦了！懒得打客服废话了', '短评打分': 5}
{'短评内容': '经常来，就是酒店外面在修路所以有点儿吵，服务态度不错，设施齐全价格也挺优惠，不错，推荐。', '短评打分': 4}
{'短评内容': '酒店下水道味道很重', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第二次入住，还算比较满意！', '短评打分': 4}
{'短评内容': '房间很大，因为双床全部靠路边，酒店就帮换成了大床，城市便捷一如既往的好，出差必选', '短评打分': 5}
{'短评内容': '环境比较舒适，房间干净，周边生活方便，性价比较高', '短评打分': 5}
{'短评内容': '很满意这次的选择，干净、简洁，离火车站很近，晚上打的才7块钱！旁边还有个火车票代售点，很方便的说。', '短评打分': 3}
{'短评内容': '房间大 采光好 周围环境也比较繁华 就是经常有发小纸片的人来 有点感觉不好！最好杜绝这类人到房间发那种削纸片', '短评打分': 5}
{'短评内容': '每次来南宁都住这里 非常不错的选择 干净 卫生 离火车站也进 ', '短评打分': 5}
{'短评内容': '一直住这里不错 我一般选择商务大床房 房间大 比较安静 还有早餐', '短评打分': 5}
{'短评内容': '早餐可以，热水好，床好，就是临街有点闹心。其他都好。', '短评打分': 3}
{'短评内容': '房间很好很干净，住宿舒服，价格一般，性价比高，网速快', '短评打分': 3}
{'短评内容': '环境不错，服务态度很好。现在旅游出差都是选择城市便捷酒店。', '短评打分': 5}
{'短评内容': '环境一如既往的舒适，但是早餐不如别的分店好吃\n小超', '短评打分': 3}
