{'短评内容': '价廉物美', '短评打分': 5}
{'短评内容': '房间卫生、干净，暖气也挺足。前台服务态度也挺好的，之前网上预定的房间客满，前台主动给我调整了房间。', '短评打分': 4}
{'短评内容': '卫生间发现蟑螂一只，不小心爬上桌子，发现柜子顶上还有臭袜子。准备打电话给前台，发现话机根本没有插线。什么破三星酒店。实在是太差了，觉得不如普通快捷酒店', '短评打分': 2}
{'短评内容': '早餐好', '短评打分': 5}
{'短评内容': '卫生还可以 早餐也行的', '短评打分': 5}
{'短评内容': '房间设施太老了，床垫塌了', '短评打分': 3}
{'短评内容': '酒店稍微旧了点，灯光不是太亮，', '短评打分': 4}
{'短评内容': '房间太旧了', '短评打分': 4}
{'短评内容': '价格厚道', '短评打分': 4}
{'短评内容': '还不错。。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置不错，房间很大，服务到位已经多次入住，给个好评！', '短评打分': 5}
{'短评内容': '说是三星，简直连家庭旅馆都不行。换了两个房间电话都是坏的，桌子抽屉里面全是垃圾，床头回抽屉里面还有卫生巾，床下面全是瓜子，电视也是很老的大屁股电视，太坑了。', '短评打分': 2}
{'短评内容': '酒店一般，楼下停车的地方很少，不得已停到了远处。服务一般，讲了很久才让我们先开进去把行李放下了。', '短评打分': 4}
{'短评内容': '不错 性价比很高 下次还会住', '短评打分': 4}
{'短评内容': '环境有点乱，在装修，地理位置一般。还算干净', '短评打分': 5}
{'短评内容': '实在是太差了，第一天安排在307房，进去一看龙水头是坏的，房间里一股臭味。换了一间到306房。空调是坏的。冷得不行。第二天换到202房，才好一点。不推荐。', '短评打分': 1}
{'短评内容': '交通方便,位置不错,早餐也行.就是空调不给力啊,30度开了一晚上没热气.幸亏订的标准间,盖了两条被子.热水系统10分钟出热水,没有防盗扣', '短评打分': 5}
{'短评内容': '一般吧，房价有点高。', '短评打分': 3}
{'短评内容': '太差了，经济标间竟然连电梯都没有，早上6点楼上开始不断有搬运东西的声音，只住了一晚只能换地方了。', '短评打分': 1}
{'短评内容': '房间很大，服务也不错，但房间有点霉味，特别是床头一块，霉得很厉害，没法睡，希望酒店能引起重视', '短评打分': 1}
{'短评内容': '贵宾房还可以', '短评打分': 3}
{'短评内容': '酒店服务不错。客房的楼门口比较偏，楼道窄，但是很用心的在门口地上放了一块毛巾。\n房间宽敞，明亮，不错，床也舒服。还送了罐茶叶，难得。\n卫生间的热水有问题，水流量太小，早上起来，放了半小时也没一滴热水出来。水流量太小太小。\n早餐很简单很简单。包子老是不够。上的也太慢。绝对的安静，还可以吧。迅雷不能下载东西，保证了网速，有一点点不方便吧。', '短评打分': 5}
{'短评内容': '总体还不错，九十分。只是，卫生不是特别干净，桌面上感觉不舒服，可能是老楼的缘故吧。', '短评打分': 3}
{'短评内容': '还不错啦，酒店位置去附近景点都不远，早餐也比较丰富，总体还行', '短评打分': 5}
{'短评内容': '酒店规模可以，宁国当地的酒店距离特别远，但是这个酒店是性价比比较高的酒店！', '短评打分': 5}
{'短评内容': '前台服务不错，很热情；房间空间也挺大，屋里有电脑可以上网。\n但屋里有异味，好象是因为潮湿发出的木头味道', '短评打分': 5}
{'短评内容': '位置很方便，放假挺大，在宁国算不错的酒店', '短评打分': 5}
{'短评内容': '价格合理，地理位置好，室内宽敞，早餐很人性化，客人有点小要求都得到满足。\n下次就住这里了！', '短评打分': 5}
{'短评内容': '还不错，交通方便，服务热情。价格也可以。', '短评打分': 5}
{'短评内容': '在宁国来说算是不错的酒店了。位置在市中心，好找。', '短评打分': 5}
{'短评内容': '住了一晚，感觉还不错，就是如果价格能再便宜一点就好了。', '短评打分': 5}
{'短评内容': '贵宾房是一大床一小床，适合带孩子的家庭，性价比不错。', '短评打分': 5}
{'短评内容': '酒店不错，很干净，要是价格能再便宜一些就好了，下次有机会还会再住', '短评打分': 5}
{'短评内容': '周边环境不怎么样，但值这个价，性价比还不错', '短评打分': 5}
{'短评内容': '房间的装修卫生还行不过就是比较简单，服务态度一般，位置还好吧，价格还差不多比较合理。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店房间较干净、挺大，在市区中心，很方便，服务员也很热情，总之值得推荐。', '短评打分': 5}
{'短评内容': '性价比很高，房间电脑网速很快，就是卫生间的感应灯总出毛病', '短评打分': 5}
{'短评内容': '没住过宁国的其他酒店，感觉这个性价比，档次还不错，不过，房间里空调没有热风，这个比较难受，房间里可以叫餐，不过送上来的，感觉已经凉了，而且做得也不精细，让人感觉只能凑合着吃', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境及配套设施都不错,价格还不高,性价比较高', '短评打分': 5}
{'短评内容': '安徽的酒店就这水平了，设施比较旧，服务也一般。', '短评打分': 1}
{'短评内容': '酒店的外表并不起眼，但内部房间的设施和风格却让人眼睛一亮，绝对超值的酒店，有风格，而且细节考虑处处体现，非常好的酒店！', '短评打分': 5}
{'短评内容': '房间设施可以，很干净，值。', '短评打分': 5}
{'短评内容': '无任何娱乐设施~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间面积挺大，住着挺宽敞，虽然楼层就3层，但是有电梯会更方便，没电梯不太方便，卫生蛮干净的，服务很好热情周到，设施陈旧了些，酒店地理位置比较好靠近步行街，总的来说性价比不错的酒店。', '短评打分': 5}
{'短评内容': '位置还行.商务房间有电脑可有线上网,但是没有无线上网信号.\r\n洗浴液用完了让送几包过来还挺不情愿的样子.', '短评打分': 5}
