{'短评内容': '交通出行方便，卫生条件可以，房间小了些，服务周到热情。', '短评打分': 3}
{'短评内容': '非常好，服务单位，餐厅的早饭也不错。', '短评打分': 5}
{'短评内容': '整洁', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境干净、安静', '短评打分': 5}
{'短评内容': '环境不错，服务员很有礼貌，赞。。。。', '短评打分': 5}
{'短评内容': '可能是住惯了春天，挺喜欢的，公滨店是老店了吧，屋子稍微有点小，挺满意的，价格优惠，总体不错', '短评打分': 5}
{'短评内容': '还好吧，房间有些小，加钱换了个大房间。', '短评打分': 5}
{'短评内容': '老样子，还不错。周边小吃比较多，出行也方便，房间的浴品比较少要是两个人用的话会不够，总有发小卡片的。', '短评打分': 4}
{'短评内容': '老样子，还不错。周边小吃比较多，出行也方便，房间的浴品比较少要是两个人用的话会不够，总有发小卡片的。', '短评打分': 4}
{'短评内容': '老样子，还不错。周边小吃比较多，出行也方便，房间的浴品比较少要是两个人用的话会不够，总有发小卡片的。', '短评打分': 4}
{'短评内容': '老样子，还不错。周边小吃比较多，出行也方便，房间的浴品比较少要是两个人用的话会不够，总有发小卡片的。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间小点儿', '短评打分': 5}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '订的小复式 总的来说还不错 房间挺干净的 前台的服务态度也很好 就是卫生间很小 淋浴到处漏水，需要维修， 隔音效果也不是很好 但是这个价位 对应的房间 这个可以算相当不错了，第二天退房本人忘记要押金，后来前台打电话给打到账户上，表示感谢    ', '短评打分': 4}
{'短评内容': '还不错，就是价位有点贵', '短评打分': 4}
{'短评内容': '价格比其他软件订的贵，下次不会用携程了', '短评打分': 4}
{'短评内容': '首先我不得不说，这家的门面很大，毕竟是连锁，还是很气派的，好几层呢，我去的时候给我安排的101房，这间房子没有窗户，但是里面卫生间独立，还有淋浴，标准复式房，楼上是空调，大床和电视，还有床头柜，下面就是大桌子，有电热水壶，还有小冷冻箱，里面有好多的饮料，只不过都要花钱，暗是暗了点，不过我一晚上都开着灯，房间不通风我就开着空调，房门特别的安全，很满意', '短评打分': 5}
{'短评内容': '可以打麻将 就是灯光有些暗 楼梯需要维修', '短评打分': 5}
{'短评内容': '出了小点，别的都挺好', '短评打分': 3}
{'短评内容': '地毯特脏，进房间的时候还有丢下的拖鞋，被子也很潮，远不如西三道街的店。', '短评打分': 1}
{'短评内容': '離展場還是打車方便，不跳表，上電梯要再上幾個台階，有點小，房間也有點小，電視沒幾台可看，接待人員服務態度良好', '短评打分': 3}
{'短评内容': '我住的是香坊公滨路店.小复式.感觉压抑.床还舒服.楼下的地毯太脏了.好象一.两个月没有吸尘.强忍.即然不清理.怎么不换掉?差!', '短评打分': 3}
{'短评内容': '房屋好小啊，，', '短评打分': 3}
{'短评内容': '房间不大，但是很干净。电脑热水一应俱全。', '短评打分': 3}
{'短评内容': '都挺好的。就是隔音差点', '短评打分': 3}
{'短评内容': '房间实在太小了,这样小的房间房价偏高。定的是大床房，没有放置简单行李的空间，虽然卫生和软装饰还可以吧,但是空间小得让人压抑，热水全天都有,洗漱盆不在卫生间内,而是在门后,使用很不方便！\n', '短评打分': 1}
{'短评内容': '价格便宜，包括早餐，早餐还挺好的，但房间不大，卫生一般吧', '短评打分': 5}
{'短评内容': '屋子设计很好，服务员的态度也很好。不错的店。', '短评打分': 5}
{'短评内容': '环境不错，挺方便的', '短评打分': 3}
{'短评内容': '真不错，性价比高，强烈推荐。\n离公交站10米远，交通方便；\n环境也好，干净，免费提供的东西很全，跟正常宾馆一样。', '短评打分': 5}
{'短评内容': '宾馆提供的免费早餐不错,不过室内空间比较小，没有锦江之星的大', '短评打分': 5}
{'短评内容': '其实酒店感觉是不错的，就是入住太慢了~~房间小是没办法的事！', '短评打分': 5}
{'短评内容': '房间实在太小了,我从没有见过如此会利用空间的酒店.虽然卫生和软装饰还确实不错,但是空间小得让人压抑,厕所洗澡时水还会溢出门外,洗漱盆不再卫生间内,而是在门后,使用很不方便！\n    值得一提的是，免费早餐非常超值，如果不介意空间狭小的话，住这里还是很划算的。', '短评打分': 1}
{'短评内容': ' 房间有点小。但早餐不错。', '短评打分': 3}
{'短评内容': '酒店是同价位中屋子最小的了。。。。实在太小了。', '短评打分': 3}
{'短评内容': '环境不错、干净舒适、卫生间有点小、东西没地方放、缺点就是隔音效果不好、地理位置还算不错、', '短评打分': 3}
{'短评内容': '宾馆条件还是不错的，我住的是大床房，只是房间太小了。屋里挺暖和的，热水也很好。还算是物美价廉吧！', '短评打分': 3}
{'短评内容': '很好很不错～', '短评打分': 3}
{'短评内容': '价钱合理，房间有复式的，上下楼梯那种，比较新颖。缺点是房间会有烟味，可能是常有人来打麻将的原因。地段也一般，附近没什么有意思的地方，所以价钱合理。总之对地段要求不高，烟味不太敏感的客人，还是推荐这里。', '短评打分': 5}
