{'descr': '暖气很足', 'star': 5}
{'descr': '每次都是这样子，让我评价，总体来说，还行', 'star': 5}
{'descr': '每次来石家庄都来这里住，因为距离医院近，方便', 'star': 5}
{'descr': '还不错，就是网上拍贵了点，早知道去店里订了，店里便宜多了，', 'star': 5}
{'descr': '总体来说还不错', 'star': 4}
{'descr': '价格合理，屋内挺干净的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境好距省二院很近', 'star': 5}
{'descr': '代替朋友预定的，具体不大清楚，后开来朋友电话说不错，很干净卫生，房间很温馨，价格适中的、不算太贵，还可以！', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '挺好的酒店', 'star': 5}
{'descr': '临街热闹', 'star': 5}
{'descr': '我对酒店的印象感觉还可以，但是夜问的服务生的态度不好', 'star': 4}
{'descr': '还不错', 'star': 4}
{'descr': '价格便宜，就在省二院对面，方便。', 'star': 5}
{'descr': '晚上临时去的，感觉不错，如家的风格，如家的感觉。习惯了如家的温馨感觉。', 'star': 5}
{'descr': ' 还不错，交通比较方便，房间还有绿色植物，不错！', 'star': 3}
{'descr': '酒店干净整洁，价格实惠，只是临街有些吵，其他各方面都不错。', 'star': 3}
{'descr': ',环境不错，服务挺好', 'star': 3}
{'descr': '这个价格在这边还是可以接受的....房间有点小', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '紧靠省二院，好像是如家加盟店啊，马马虎虎过得去', 'star': 5}
{'descr': '酒店干净，价格低。唯一不足是临街，晚上睡觉有些吵。', 'star': 3}
{'descr': '这里的卫生条件，隔音效果都还是不错的，总体来说值得推荐。', 'star': 5}
{'descr': '早餐不错，员工挺热情的。 给个好评吧…', 'star': 3}
{'descr': '挺干净的，也离医院很近，价格也不贵，就是不隔音', 'star': 5}
{'descr': '服务不错，房间也挺干净的，唯独房间空间有点小。', 'star': 5}
{'descr': '总体来说环境还好，比较适合入住，较经济。', 'star': 5}
{'descr': '到省二院办事很方便，很近，环境、服务都不错', 'star': 5}
{'descr': '＋不错，价格也不贵，没窗户，有点阴森森的', 'star': 3}
{'descr': '很好很好  比想象中的好多了  服务好 房间也很漂亮  下次还会选这里的  绝对错不了', 'star': 5}
{'descr': '环境可以，服务周到，交通便捷，价格再实惠些就好了', 'star': 5}
{'descr': '没有停车位,如果停在路边过夜要三十元,有点小贵。房间是三角形的，床有点窄，卫生还不错。', 'star': 5}
{'descr': '很好     人性化         如果有机会下次还会去的    服务很周到', 'star': 5}
{'descr': '酒店的房房还可以距离偶办事的地方很近~~~ 就是紧邻天桥晚上有点吵~~~ 其他都很好~~~挺舒适的~~~ 如果房间毛巾能换的好点的会更好~~~ 毛巾好久啊~~~ ', 'star': 5}
{'descr': '就是房间有点小', 'star': 3}
{'descr': '很好。。不过这次住的没有上次的房间大。。特惠房嘛。。怎么安排都是应该的总的挺好', 'star': 5}
{'descr': '不错，很标准的如家酒店，服务态度也很好。。就是不太好打车，可以坐公交更方便', 'star': 5}
{'descr': '到省二院很方便，卫生条件还可以，毛巾太旧了，要么干脆注明自费毛巾，价格降一些', 'star': 5}
{'descr': '已经入住,环境不错，但隔音真的不太好,上楼时电脑忘在前台,打过电话后就帮忙给收起来了，很迅速!入住时赠送早餐的活动取消了，但因是3月5号提前预订,领班看了后还是安排给提供早餐券了,赞一下!', 'star': 5}
{'descr': '挺好的，服务周到，交通方便，就是隔音不太好，隔壁的声音听的听清楚的', 'star': 5}
{'descr': '舒适  干净  出门一般就如家  不过这个店卫生间水太小了  希望可以改进一下  太小了  你懂的', 'star': 5}
{'descr': '住的是123元的,  算是物有所值，房间感觉还可以', 'star': 5}
{'descr': '很好，干净，舒服，值得入住！20字20字20字', 'star': 5}
{'descr': '挺好，有个前台服务不太好，要是有刮胡刀就更好了，', 'star': 5}
{'descr': '酒店环境不错的。。。吃饭什么的都很方便的，，，值得入住。。。。', 'star': 5}
