{'短评内容': '还可以，位置好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房子很小好小 真的是小，设施陈旧，被套上有脏东西，唯一优势就是地理位置可以，让人安慰的是前台姐姐人很好，还有就是周边吃饭什么的方便，房子真的是小！！！！', '短评打分': 4}
{'短评内容': '那个位置真的是一点过去遇到流氓不安全不安全', '短评打分': 4}
{'短评内容': '住了好多次了，出差住，吃东西方便', '短评打分': 4}
{'短评内容': '总体还是可以的.洗手间地面有点滑.', '短评打分': 4}
{'短评内容': '酒店很棒 可以看电影', '短评打分': 5}
{'短评内容': '预订的数码单间，电脑不能用，网络也没得，放台电脑当装饰！！！', '短评打分': 3}
{'短评内容': '都挺好，我喜欢。下次再来', '短评打分': 5}
{'短评内容': '服务态度差，建议老板换个营业员，上班还接电话对顾客一句话都不说', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间很小', '短评打分': 3}
{'短评内容': '酒店还不错，房间较小，三楼没wifi', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 5}
{'短评内容': '没有无线网，隔音不行，其他还不错，必经是新开张的。', '短评打分': 1}
