{'短评内容': '感觉重新装修了，比去年入住时候环境好很多。', '短评打分': 4}
{'短评内容': '非常好！干净便捷！方便！', '短评打分': 5}
{'短评内容': '总体来说还可以，就是有点很久没住人的味道，洗发水真的不行呀！', '短评打分': 4}
{'短评内容': '没有早餐，环境很好，很安静，设施都齐全，价格合理，适合居住，旁边的其它场所也齐全，房间里面还带冰箱，完美', '短评打分': 5}
{'短评内容': '房间挺大卫生也不错也没有霉味更加没有之前的点评说的早上汽车喇叭扰民也很清静比较满意，楼下的桑拿估计也倒闭了，我住六楼。楼下的海鲜酒楼味道不行。对面佳兆业喝茶味道实在差，，倒是华润万家那条路的港式茶餐厅不错值得推荐。宾馆管理层思维不行，，十一长假房价涨了接近一倍且以为会很抢手，且离主要景区景点那么远，，实际效果就是开房率很低，还不愿意我推迟一天过来开房，本来打算住三天的才只能住2天了。幸好我在携程提', '短评打分': 4}
{'短评内容': '房间干净，如果床和床垫再好一点就更好了', '短评打分': 5}
{'短评内容': '挺好的，跟朋友一起去的，房间干净', '短评打分': 5}
{'短评内容': '位置就在大鹏客运站旁，周围都很方便，但是环境比较差，房间里一股子难闻的味道，电视机还是那种晶体管的老爷机。洗澡水热水开了10多分钟都不热，当时我的心里阴影面积无法估算。', '短评打分': 3}
{'短评内容': '酒店应该开得比较早，酒店干净卫生，总体感觉不错', '短评打分': 5}
{'短评内容': '酒店大，設施差，房間大，对得起介錢', '短评打分': 3}
{'短评内容': '酒店大，但設施陳舊，房間空間大，這個价可以了', '短评打分': 3}
{'短评内容': '还行，价格略贵', '短评打分': 4}
{'短评内容': '每周都住，不错！', '短评打分': 4}
{'短评内容': '不错，很满意，每周都住', '短评打分': 4}
{'短评内容': '每周都住，不错！', '短评打分': 4}
{'短评内容': '每周都去住', '短评打分': 4}
{'短评内容': '每周都住，不错！！！', '短评打分': 5}
{'短评内容': '很好 宽敞  性价比较高', '短评打分': 5}
{'短评内容': '价钱便宜，设施一般，晚上滴空调水的声音好大，服务一般', '短评打分': 1}
{'短评内容': '房间挺大，干净。离金沙湾海滩也很近，方便。早餐一般。下次再去金沙湾，还会选这家酒店的。', '短评打分': 5}
{'短评内容': '感觉还好吧，挺普通的酒店，就是服务人员太少，而且三楼的休闲中心太吵。', '短评打分': 3}
{'短评内容': ' 房间很大，感觉不错。', '短评打分': 3}
{'短评内容': '和同事一起去金沙湾玩，在网上定了这家酒家。从酒店去金沙湾海滩开车只需几分钟。总体来说还不错。很好找，房间很大，设施也还行。酒店前台对业务似乎不太熟悉，态度也有待改善。', '短评打分': 5}
{'短评内容': '酒店位置很好找，就在大鹏汽车站。酒店房间很大，设施也不错。只是空调不太给力，可能是房间太大，空调制冷不够。另外，窗帘是没有遮光布的，只有两层普通的窗帘布。总体来说，还过得去，下次去还会住这里。', '短评打分': 5}
{'短评内容': '房间还是比较大的   但是入住后感觉摆设感觉不好   床一般大  价钱有点贵  如果是圆床会好点吧 ', '短评打分': 1}
{'短评内容': '位置很好，就在汽车站边上，大鹏也就这几个酒店，呵呵', '短评打分': 5}
{'短评内容': '地理位置不错，旺中带静，前台服务态度不错，房间里的台灯是坏的，床头灯也有一盏是坏的，自助早餐的品种有待改进。', '短评打分': 5}
{'短评内容': '已入住但太麻烦', '短评打分': 3}
{'短评内容': '总体来说，酒店的性价比较高，但是早餐太差，而且几年了不见变化，有待改进。                            ', '短评打分': 5}
{'短评内容': '服务还不错，很安静。住在大鹏镇，不错的选择了.........................................................................................................', '短评打分': 5}
{'短评内容': '早餐太差，吃我想吐，我喜欢房间的床！！！！！', '短评打分': 1}
{'短评内容': '价格还是比较实惠 环境一般 房间比较大 如果有车就去南澳就很方便.没车还是离太远.', '短评打分': 5}
{'短评内容': '早饭不是一般的差，花样一成不变，粥少了就兑点水', '短评打分': 1}
{'短评内容': '早餐太差，我吃的都想吐，只是免费，懒得出去吃', '短评打分': 1}
{'短评内容': '早饭太差，花样基本没有变化，最气人的是粥是剩米饭煮的', '短评打分': 1}
{'短评内容': '虽然早餐比较差，但房间性价比还比较高，在大鹏宾馆较少的情况下，是一个不错的选择', '短评打分': 5}
