{'短评内容': '頭一次住，不怎麼好，環境不好', '短评打分': 4}
{'短评内容': '一直是如家的白金会员服务到居住环境都很满意', '短评打分': 5}
{'短评内容': '床大很软很舒服', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，性价比高，靠近美食街，吃饭丰富', '短评打分': 4}
{'短评内容': '位置好，卫生好，总体性价比较高。', '短评打分': 4}
{'短评内容': '服务差', '短评打分': 1}
{'短评内容': '额，还好', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '还不错啊挺好的啊', '短评打分': 5}
{'短评内容': '很好 住了一个月。。', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '便宜，舒适。很满意', '短评打分': 5}
{'短评内容': '那两天稍微贵了点。。。。东盟博览会，没办法。。。。整体还行吧，感觉比7天好点，比汉庭差点。。。。。。', '短评打分': 4}
{'短评内容': '有待进一步提高', '短评打分': 4}
{'短评内容': '酒店环境不错，卫生尚可，设施一般，位置有点难找。', '短评打分': 5}
{'短评内容': '还可以   楼下就有吃饭的地方', '短评打分': 5}
{'短评内容': '各方面都蛮好的', '短评打分': 5}
{'短评内容': '房间格局很一般，设施也很简单', '短评打分': 4}
{'短评内容': '店里没有早餐这个是比较麻烦的事。', '短评打分': 4}
{'短评内容': '-有点麻烦', '短评打分': 3}
{'短评内容': '房间卫生条件还可以，周边的交通和餐饮很方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，周边比较繁华，很方便。卫生条件还可以。', '短评打分': 5}
{'短评内容': '一如既往的干净，离会展中心很近，交通比较方便！', '短评打分': 5}
{'短评内容': '感觉还不错，比较安静，性价比高', '短评打分': 3}
{'短评内容': '周围比较方便。房间比较简陋，洗澡的地方在中间位置，有点奇怪。总体来讲就这性价比吧。', '短评打分': 5}
{'短评内容': '地理位置不错，周边环境很好。房间是如家一贯的装修风格', '短评打分': 5}
{'短评内容': '房间很干净，装修是如家一贯的风格！周边交通，餐饮很方便。很好！', '短评打分': 5}
{'短评内容': '什么都好，就是电脑太垃圾，网络很烂··········', '短评打分': 5}
{'短评内容': '位置不错，房间很温馨，也很宽敞，透明的圆形淋浴房，很适合情侣夫妻哦，不足是周边有点吵。', '短评打分': 5}
{'短评内容': '整体感觉比较贴心舒适，效率更高就更好了。', '短评打分': 5}
{'短评内容': '房价很实惠，周边吃的地方也多，订的是大床房，房间超大很舒服哈哈，不过酒店地方有点难找', '短评打分': 5}
{'短评内容': '位置很好，交通便利，周边饮食很方便。房间很干净，晚上周边也很安静。早餐也不错。', '短评打分': 5}
{'短评内容': '每次来柳州都住这家，非常好，非常好，非常好\n', '短评打分': 5}
{'短评内容': '环境不错，环境不错，环境不错，环境不错，环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '很方便很实惠', '短评打分': 3}
{'短评内容': '环境挺不错的   房型也挺舒服\n设计比较有特色  ', '短评打分': 5}
{'短评内容': '服务态度非常好，环境也挺好的…', '短评打分': 3}
{'短评内容': '物有所值，服务态度好，房间标准化，很适合出差住', '短评打分': 5}
{'短评内容': '还不错哦。是这家店的会员，设施不错 交通方便。 ', '短评打分': 5}
{'短评内容': '很好，有家的感觉，干净卫生，交通也很方便', '短评打分': 5}
{'短评内容': '干净，靠近路边晚上比较吵。', '短评打分': 3}
{'短评内容': '房间很干净,不错', '短评打分': 3}
{'短评内容': '环境不错，服务很很好', '短评打分': 3}
{'短评内容': '房间很干净，设计很有意思，前台服务有待提高。', '短评打分': 3}
{'短评内容': 'gajg 噶人噶甩灯歌嘎嘎嘎嘎阿飞哈根和 啊哈广告有啊和噶 阿公安抚afg啊啊', '短评打分': 5}
{'短评内容': '如家快捷周遍配套设施齐全，交通方便。店面也不错，比较温馨和卫生！', '短评打分': 5}
{'短评内容': '不错，服务好，干净卫生！', '短评打分': 3}
{'短评内容': '不错很干净,性价比高,服务也不错,推荐。', '短评打分': 3}
{'短评内容': '不错，挺好很干净,性价比高,服务也不错,推荐', '短评打分': 5}
{'短评内容': '酒店干净卫生，安静，服务员态度好，住得舒适，性价高', '短评打分': 3}
{'短评内容': '环境比较舒服点咯！空间比广州的大,安静，容易入睡，整体不错，', '短评打分': 5}
{'短评内容': '还好,性价比不错', '短评打分': 3}
{'短评内容': '还好，不错', '短评打分': 5}
{'短评内容': '还不错的酒店,简洁舒适,服务到位，不干净，卫生间门坏了关不上', '短评打分': 5}
{'短评内容': '隔音效果奇差无比，隔壁聊天的声音都能听见，甚至隔壁抽烟都能从窗户的隔板飘过来。打电话还要额外多收费，性价比实在不怎么样。最惊魂的是半夜不断有陌生人敲门，虽然是敲其他房间的门，但是持续一个多小时之久，也没有人管理，实在是让人住的心里不舒服。', '短评打分': 1}
{'短评内容': '性价比不错的酒店。', '短评打分': 5}
{'短评内容': '地点比较难找。房间只有一个小窗，空气不流通。其他还可以。', '短评打分': 5}
{'短评内容': '酒店的住宿环境还是可以的，但是感觉工作人员的工作效率不是很高，价格也有点高，而且离市中心也有段距离，不过交通还可以。', '短评打分': 5}
{'短评内容': '酒店的硬件设施挺一般的，就是房间挺干净，位置不错，比较方便，但是房间很吵，隔音不好，同比来说价格比较高。', '短评打分': 1}
{'短评内容': '酒店挺干净的倒是，内部的设施在南宁来说算是还可以的，他们的服务比较人性化，挺好的，但是他这个位置，不是特别明显，不好找。', '短评打分': 1}
