{'短评内容': ' 感觉像住在家里一样，如果有洗衣机就更好了。', '短评打分': 4}
{'短评内容': '适于4、5人结伴度假。', '短评打分': 5}
{'短评内容': '全家总动员，相当满意，第二次入住了~', '短评打分': 5}
{'短评内容': '两位妈妈很满意 恰好吃不惯那边的食物 就基本自己在厨房动手做菜吃 买菜也很方便 不错不错', '短评打分': 4}
{'短评内容': '家庭旅馆，有接机。到的时候是半夜，房东开车带我们回来之后还给我们调换了一个大房间。位置其实稍微有偏，不过走几步楼下有吃饭吃早点的摊，还算方便', '短评打分': 4}
{'短评内容': '老板比较热情', '短评打分': 3}
{'短评内容': '老板人挺好的，酒店是在州政府小区里，很安全，只是离主城区太远，早上出门连吃早点都找不着，车也打不到，每天晚上回来都要打车，市内的公交都是一元，坐到这里要2元，太远了！除了远，其它方面都好，只要不是黄金周，市区里的酒店非常多，也便宜，我以后应该不会选这里了。', '短评打分': 1}
{'短评内容': '小区挺漂亮，房间不大，还比较干净。电视客厅里有，上网可以把线从客厅接到房间里上。卫生间和别人一起用，不太习惯。洗澡水热、而且大。到曼听公园看篝火晚会、吃烧烤逛逛回来就可以。', '短评打分': 5}
{'短评内容': '交通方便，120块一晚上，如果有需要，还能用他们家的厨房设备，不错。\n\n晓娟辛苦了。\n\n公寓离夜排档很近，我们每天都去排档。对面就是建行，取钱也方便。唯一的败笔是，每天睡觉都能听到马路上车来车往的声响，对睡觉干扰很大。', '短评打分': 5}
{'短评内容': '好，还会来的，带父母来就住这。一家人最合适了，淡季人还少房间都是空的。', '短评打分': 5}
{'短评内容': '我记得评过了呀。很好的一家家庭旅馆。就是一家多层洋房。跃层的三室两厅，什么都有可以做饭。老板人好留了地图等等，很适合一家人出游的。', '短评打分': 5}
{'短评内容': '非常满意，很干净，位置很好能看到大佛寺的大佛', '短评打分': 3}
{'短评内容': '晓娟家庭旅馆住着十分舒适，比住宾馆要随意，像在自己家中，感觉不错。\n\n\n', '短评打分': 5}
{'短评内容': '旅馆的老板和老板娘都很好，加上不是旺季，我和朋友单住一整套只花了普通单间的钱，感觉不错。\r\n旅馆所在丽景小苑地点稍偏一点，但景洪市不大，离城只有几公里。\r\n老板安排免费接送车，后来我顺便就包了接车人的车，结果不爽。建议自己找车，每天和出租车司机谈好价格，考虑好包车的时间和距离。', '短评打分': 5}
{'短评内容': '总体还不错，公寓房比较方便，合作租车单位有点问题。', '短评打分': 5}
{'短评内容': 'Very nice looking apartment.  Great location.  Could use a few more towels in the bathroom.  Good price.', '短评打分': 5}
{'短评内容': '好家庭旅馆。如果全家出游，住这样的旅馆最合适。老板热情，还接站，确实不错。', '短评打分': 3}
{'短评内容': '老板非常客气，派车去机场接客。\r\n特别适合家庭旅游，是三室两厅的套房，可自己做饭，从菜市场买上当地特有的蔬菜，自己炒作，风味绝对佳妙。', '短评打分': 5}
{'短评内容': '性价比高，在版纳，如要住300以下的宾馆，不如就住这家家庭旅馆，价格不贵，负责接机，可咨询景点线路、门票、包车服务，值得推荐。儿子说老板厚道。我会向朋友们推荐！', '短评打分': 5}
{'短评内容': '一幢联体别墅中的卧室做客房 ，有客厅40多平，有厨房卫生间用具齐全，老板人好的没话说，会详细告诉你哪里有吃的哪里怎么玩，还画了草图，包车看演出都可以找他，很方便，十分感谢。', '短评打分': 5}
{'短评内容': '老板服务不错，提供包车服务，住宿两天感觉愉快', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '我们入住的是假日湾，坐出租车到机场10-15分钟，离新客运站也很近，走着大概5-10钟左右，出小区向右拐大概10分钟路程，是一条夜市街，可以吃到当地的特色小吃。小区内环境很不错，房间也很干净，应该是才装修不久的，24小时保安，竟然还有游泳池呢，卫生间有太阳能热水，这个一定要赞一下，水很冲，洗着很过瘾，\r\n老板人很好，还打车接的我们入住，十分值得推荐！！！', '短评打分': 5}
{'短评内容': '虽然是家庭旅馆 但老板人很好  借机 手写友情提示  还有找包车的价钱  等等一系列的帮助很靠谱  这个酒店还适合整家人过去  因为是联排别墅 呵呵！  \r\n谢谢在版纳的老板！', '短评打分': 5}
