{'短评内容': '不错，新装修，就是新！', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '虽说各方面一般但它便宜啊，性价比高啊，位置又好火车站附近，旁边还有条食街，几个大卖场呢。正在装修过不久硬件好了可能要涨价了。', '短评打分': 3}
{'短评内容': '态度好，环境好，服务好，非常超值，果然没选错，而且关键是价格不贵，大家可以去试试', '短评打分': 5}
{'短评内容': '早上有点吵', '短评打分': 5}
{'短评内容': '在装修早上有点吵', '短评打分': 5}
{'短评内容': '还不错，卫生干净', '短评打分': 5}
{'短评内容': '酒店干净整洁值得入住', '短评打分': 3}
{'短评内容': '位置的确不错，方便', '短评打分': 4}
{'短评内容': '没有热水好差！服务态度恶劣！建议不要去住！', '短评打分': 3}
{'短评内容': '挺好的，很干净，住着也很舒适', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '十点到前台办理入住手续，前台服务员马上联系楼层服务员，安排打扫前一位客人刚退的房间，十点半就到了房间，刚打扫完毕，对服务态度、房间卫生是非常满意！提一个小小的建议：淋浴房里面最好安装一个能摆放洗浴用品的托盘。', '短评打分': 5}
{'短评内容': '地段好，周围有银座有大润发，交通方便，适合刚到泰安的人', '短评打分': 5}
{'短评内容': '感觉设施比较陈旧，本来想换地方，怕麻烦就住这了', '短评打分': 1}
{'短评内容': '酒店蛮陈旧的，浴室水也不是太好，干净程度一般吧！', '短评打分': 1}
{'短评内容': '离火车站非常近，交通方便，比较适合没去过泰山的人，就是我端午节去的酒店价格比现在贵了100一间房。平时应该算是经济实惠了！店内环境也还好！', '短评打分': 5}
{'短评内容': '交通方便 设施还可以 服务还算周到  临近马路的房间晚上有点吵 ', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，但是没有嘈杂的声音，这个价钱总的来说还不错，就是没有早餐', '短评打分': 5}
{'短评内容': '性价比不错，可以短住，下次还会选择。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以吧，房间有点小，相比起来房价就有点高啦。', '短评打分': 5}
{'短评内容': '挺好的，离火车站很近，就是怎么这时候还有蚊子啊', '短评打分': 5}
{'短评内容': '很好、就是网络不行、…', '短评打分': 3}
{'短评内容': '总的来说还可以，电脑电视设备挺其全的，环境也不错。', '短评打分': 5}
{'短评内容': '地点极佳，周边是很成熟的商业中心。离火车站也很近。去泰山可以打车，到红门就九元。酒店的早餐很便宜，也还不错。', '短评打分': 5}
{'短评内容': '很方便。距离火车站很近，很好找，周围距离购物等，都很方便。虽然不含餐，但周围饭店很多，特别喜欢隔壁的米线店。', '短评打分': 5}
{'短评内容': '优点：火车站附近交通方便，去天外村、红门、岱庙等k3路公交车可达。附近商场、餐饮店挺多。不同档次都有。房间内床、桌、柜设施较新，床单枕头干净，服务员态度很好。工作利索。\n缺点：马路对面正在搞建设，外部环境较嘈杂。住一晚139元收300元押金。卫生间装修风格较旧，浴蓬内靠上方瓷砖有大片明显黑色霉斑，白色的毛巾浴巾显灰色，房间里靠床的那面墙上很脏，浴蓬内没有可放沐浴露的地方，浴室只有两个大钩，要放浴巾', '短评打分': 5}
{'短评内容': '该酒店卫生干净，舒适', '短评打分': 3}
{'短评内容': '  房间不错，周边很方便，下次还订这里。', '短评打分': 3}
{'短评内容': '1、靠近泰安火车站，门前在修广场，交通堵塞，比较混杂，但是离动车和高铁还有20分钟的车程，需要打车\n2、过道有刺鼻的味道，服务员说是地毯返潮\n3、插头太高，手机充电困难，打电话让服务员送长的接线板，很不方便\n4、晚上10点不到就没有热水了，说是锅炉坏了，要等，可是等了一个小时，再打电话，说好不了，还没有开水壶烧热水，说用饮水机加热水，我只好接了一小盆水，洗了PP，一身汗臭味入睡，幸亏带了小盆，要不', '短评打分': 1}
{'短评内容': '第一次来泰山 ，入住的时间不是太长 订了三天的房住了两个白天  其他去夜爬泰山\n房间还算整洁 不过建议打扫时间早一点比较好 下次有机会再来', '短评打分': 5}
{'短评内容': '不错，价格虽低但设备齐全，要是卫生间再干净点就太完美了', '短评打分': 5}
{'短评内容': '这样的酒店居然获得100%好评。酒店里设施陈旧，酒店里一股发霉的味道，而且房间内部到处发霉，连个插座也没有。我定的标b房间，前台价158与网络一个价格。附近酒店好多。千万不要入住', '短评打分': 1}
{'短评内容': '我是帮我同学订的房间，一楼的大厅很不错，我也没住，具体的不太清楚。不过应该不错', '短评打分': 5}
{'短评内容': '设施、服务都挺好。有些房间隔音效果不太好。价格便宜，总体不错。', '短评打分': 5}
{'短评内容': '很不错,下次有朋友去泰山，我会推荐他们住。', '短评打分': 5}
{'短评内容': '离火车站很近，赶火车不用急，周围餐饮、超市都很近（肯德基、大润发），不错。', '短评打分': 5}
{'短评内容': '很干净  地理位置不错  离火车站相当近啊', '短评打分': 5}
{'短评内容': '住的大床房，床是1.8*2.0米的，屋子很干净，卫生间干净，空调是柜机！以后来泰安还会选择这家！', '短评打分': 5}
{'短评内容': '位置好，交通方便，离火车站太近了！设施也好！可以提前入住！', '短评打分': 5}
{'短评内容': '预订的房间 到了却没有了，不过服务还算不错', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '酒店很干净，面积还可以，不过家电有点陈旧，卫生间洗手台面太小，洗漱用品摆不下，只能放在房间的桌子上。总体还可以！', '短评打分': 5}
{'短评内容': '泰安飞龙宾馆已住下了,离火车站近,交通方便,宾馆服务很好!卫生条件好,配套很全', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '网上预订就是实惠，酒店环境很好，卫生也很好。虽然只住了一天，但是感觉非常好！', '短评打分': 5}
{'短评内容': '还不错，即是节假日涨价太多了，房间设施有些旧', '短评打分': 5}
{'短评内容': '房间有些旧 位置很方便', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '环境设施很好', '短评打分': 3}
{'短评内容': '干净卫生，房间大而宽敞，很舒适。我们住的是豪华标间，听起来好像很吓人，其实就是比普通的标间好些而已，房间里有电脑。很方便。', '短评打分': 5}
{'短评内容': '很不错的宾馆，交通很好，地理位置很优越。就是房间里的设备什么的有点旧了。总的来说，性价比很高的酒店。', '短评打分': 5}
{'短评内容': '性价比高，房间装修的很有档次，服务和卫生做的都很到位，房间舒适度很棒', '短评打分': 5}
