{'descr': '同价位来说，算不错的了', 'star': 3}
{'descr': '空调不太好，别的还可以', 'star': 3}
{'descr': '爱错的酒店', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '挺不错的酒店', 'star': 5}
{'descr': '。。。。。。。。。', 'star': 5}
{'descr': '环境不错，地理位置优越，靠近大学附近，吃的非常多，前台服务也不错，酒店的保洁工作很努力、总之挺不错！', 'star': 5}
{'descr': '住宿环境还是一如既往的好，距离农大超级近，很方便。', 'star': 5}
{'descr': '在农大对面，定的标间，房间干净，很不错。', 'star': 5}
{'descr': '不错的酒店。出差经常选择他家，房间干净，住着舒服，每次都住他家。服务人员也都不错。不错的酒店。出差经常选择他家，房间干净，住着舒服，每次都住他家。服务人员也都不错。', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '服务环境都挺好  就是大床中间有条缝睡得不舒服', 'star': 5}
{'descr': '酒店比较干净，服务员态度好，下次去还会定城市之家！', 'star': 5}
{'descr': '很好，距离学校近，方便。', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '挺好的，环境很好，服务也可以', 'star': 5}
{'descr': '房间非常干净，性价比较高，确实大床间是由两个床垫拼成的，所以只敢睡在一张小床上了，建议订标准间。', 'star': 5}
{'descr': '环境很好，非常不错，房间干净整洁，保定的消费来说价格相对有点高。便宜点就更好了，地理位置不错，旁边是农大，所有有好多小吃。整体来说挺不错的，下次还会再住。', 'star': 5}
{'descr': '酒店环境还是较干净，条件一般，性价比还可以', 'star': 5}
{'descr': '酒店不错,在农大考试,办事的话是最好选择. ', 'star': 3}
{'descr': '酒店相当的不错，环境很好，服务业很好，就是周围缺少大超市', 'star': 5}
{'descr': '环境好，卫生好，总之一切都好，谢谢', 'star': 3}
{'descr': '个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，个人感觉还可以，', 'star': 5}
{'descr': '服务态度不怎么好，要什么都说没有，需要一次性拖鞋说没有，要提供吹风也说没有，结果同事去取就说有，晕了', 'star': 5}
{'descr': '房間整潔，距離火車站也不遠，乘5、16路車3個站可到，但很奇怪酒店外是不准拍照的！', 'star': 5}
