{'descr': '适合', 'star': 5}
{'descr': '适合带孩子', 'star': 5}
{'descr': '挺不错的，单人间麻雀虽小五脏俱全，雨天店家还借了伞给我们，客栈装饰很有感觉。', 'star': 5}
{'descr': '位置不错。性价比高。前台服务也相当Nice。入住的老外很多。', 'star': 5}
{'descr': '酒店位置好，房间古朴，服务周到，非常不错！', 'star': 5}
{'descr': '不错 不错 不错 真的很不错', 'star': 5}
{'descr': '不错的，推荐大家，价格优惠，环境也可以', 'star': 5}
{'descr': '房间有点小，满干净', 'star': 5}
{'descr': '房子是老宅风格，后院清净。位置极佳，正大道上房型有炕和绣床。唯一有点缺陷的是门栓插不全，只有半拉', 'star': 5}
{'descr': '很不错，前台态度很好，还帮忙保管行李。', 'star': 5}
{'descr': '客栈位置在西大街日升昌的斜对面，位置很好，这个价格性价比不错，酒店老板娘和工作人员都很热情，房间不是很大进门就是炕，一楼的厢房外边有吃饭的，如果早睡的话可能有点吵，美中不足的是没有吹风机每次洗完头发都要去前台借用，不是很方便。', 'star': 4}
{'descr': '春节在平遥过得，客栈距离景点非常近，附近还有一家四合院酒吧也不错，客栈的MM态度超级好也非常细心，外语也很好，老板初一的早晨还请大家吃的早饭，非常NICE，住的单人间虽然面积不大，各项设施都很齐全了，卫生也打扫的很及时，最重要的是无线网络速度超级赞的，电视的位置太高了，晚上都直接用wf了，推荐去平遥的朋友们入住', 'star': 5}
{'descr': '还不错，老板很好，位置也很方便。', 'star': 3}
{'descr': '位置非常好，传统院落，很多老外住，但是房间觉得一般，灯光很暗，不含早餐', 'star': 3}
{'descr': '酒店位置很好，差不多在古镇的正中心，出门不远就是明清古街。客栈很复古，很有味道。房间干净，有独立卫生间。单间有点小，但也凑合，有电视可以看，唯一不满意的就是没有热水壶。此外，酒店的饭菜也不错的。十一期间价格还是蛮贵的，建议大家还是平时周末去的好', 'star': 4}
