{'短评内容': '首先说说环境，地点是正确的，可是看见的不是“时代假日酒店”，是时代公寓，以为导航错了，兜一圈，还是这个地方，硬着头皮问门口大叔，表示这里就是假日酒店！虚假！上二楼所谓前台，sorry，前台姐姐一问三不知，只知道把携程订单号抄了，房卡一丢，完事！房间环境卫生差，马桶水按了6次，对！是6次，出来的水还是黄的，这样的水可以不放茶叶泡茶，洗澡是拒绝的。房间服务，有酒店内线电话，可惜找不到电话搁在哪，算了，', '短评打分': 2}
{'短评内容': '不错环境卫生', '短评打分': 5}
{'短评内容': '环境好，停车方便！', '短评打分': 4}
{'短评内容': '还行，出差住住', '短评打分': 4}
{'短评内容': '附近没有餐馆', '短评打分': 4}
{'短评内容': '酒店环境很好，这个价格超值', '短评打分': 5}
{'短评内容': '很赞', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店比较旧，但是，住起来还行', '短评打分': 3}
{'短评内容': '酒店前面在修路，太脏了。酒店里有股潮呼呼的味道。', '短评打分': 3}
{'短评内容': '酒店前面在修路，太脏了。进门看见一只大小强。幸亏一晚凑合住吧。', '短评打分': 3}
{'短评内容': '卫生差劲，半夜还停电。', '短评打分': 3}
{'短评内容': '塞车来住，还可以', '短评打分': 4}
