{'短评内容': '早餐非常满意!套房有加床，交通便利，免费泳池很大!地上地下均有停车场，车位充足!商务出差，亲子出旅都非常适合!', '短评打分': 5}
{'短评内容': '值得推介的酒店', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务不热情，位置环境差', '短评打分': 4}
{'短评内容': '早餐丰盛!泳池免费!', '短评打分': 5}
{'短评内容': '装修肯定是不错的，很有家居感觉。就是酒店接待会议群体缘故，餐饮服务比较弱。总体满意。', '短评打分': 5}
{'短评内容': '本来只住一晚，觉得非常好，又住一晚.总台有个大个女孩长得不错，普通话很标准。希望下次再能见到她。', '短评打分': 5}
{'短评内容': '没有拍照，但是感觉很不错的酒店，交通比较便利，很容易找，下订单也很方便，房子够大够敞亮，以后出差还会选择这里', '短评打分': 5}
{'短评内容': '不咋地', '短评打分': 1}
{'短评内容': '只能说一般吧 酒店自己的餐厅关了 吃饭不方便 开专票一开始竟然开不出 不过最后寄过来了 态度还行', '短评打分': 4}
{'短评内容': '开发票的时候还要出具公司的纳税人资格证认定书。', '短评打分': 4}
{'短评内容': '卫生差环境差 大堂灯都舍不得开  好多设施都坏了没人修 水温不稳定', '短评打分': 2}
{'短评内容': '第二次入住了，一如既往的好', '短评打分': 5}
{'短评内容': '位置偏 戶聯網連國外差 這是小缺點 其他很不錯 ', '短评打分': 4}
{'短评内容': '就是附近吃饭地方太少了，也不好打车', '短评打分': 5}
{'短评内容': '很好 价格实惠 还是五星建造 不错 下次还会入住', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '全新的酒店。硬件设施配得上五星，服务超好、超热情。西餐厅的自助餐不错，刺身比较地道，粤菜也正宗。房间超大，新家具没说的，就是味道有点重，透气多两三周就好了。总体值五星，如能保持这种价格和服务就好了。', '短评打分': 5}
