{'短评内容': '有多久', '短评打分': 4}
{'短评内容': '靠着汽车站附近 就是周边吃饭没什么吃的 都是外卖', '短评打分': 5}
{'短评内容': '位置，早餐，服务和设施都不怎么样。', '短评打分': 4}
{'短评内容': '和同事同时定了两个房间。还好吧，就是比较偏了，离高铁站有点远，倒是去长途车站很近了，下雨，酒店提供雨伞使用，但是要交押金。去的晚点了，周边吃饭的要走点路才行。总体还好吧。', '短评打分': 4}
{'短评内容': '还好吧，就是比较偏了，离高铁站有点远，倒是去长途车站很近了，下雨，酒店提供雨伞使用，但是要交押金。去的晚点了，周边吃饭的要走点路才行。总体还好吧。', '短评打分': 4}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '酒店不错，交通方便', '短评打分': 4}
{'短评内容': '挺好就是价格高些，早餐太差了，没什么东西', '短评打分': 3}
{'短评内容': '地段不错，房间环境还行，推荐入住~~~~~', '短评打分': 3}
{'短评内容': '酒店不错推荐入住…………', '短评打分': 3}
{'短评内容': '还可以，发票打错了，哎', '短评打分': 3}
{'短评内容': '还可以，发票打错了，', '短评打分': 3}
{'短评内容': '总体来说性价比还行，价格、购物、吃饭、交通都算便捷，希望改进的就是洗手间和淋浴间要加防滑垫，一次性的拖鞋在潮湿的洗手间非常滑，容易摔倒。另外，浴巾毛巾不应该放在水池下面，洗澡时容易受潮弄污，比较糟心，其实完全可以在镜子旁边搞个放置浴巾毛巾的架子，对了，房间还要搞个衣架，好方便放衣服或晾衣服，早餐时间如果从7点提早到6点半就好了。', '短评打分': 5}
