{'短评内容': '代同事预定，能满足一般需要。', '短评打分': 4}
{'短评内容': '网络信号不怎么样，电视也看不了待改进', '短评打分': 3}
{'短评内容': '房间一般价格还行没有早餐好的是离火车站机场大巴近', '短评打分': 3}
{'短评内容': '不管是环境还是什么！都感觉挺好的！！！', '短评打分': 5}
{'短评内容': '门背后贴着安全提示要求反锁，换了两个房间都不行。而且锁是坏的，需要大力才能碰上，一推还有一条缝，前台淡定地说现在所有的门都不能反锁，那是以前的风险提示，你换来换去都是那样的。房间里没有酒水饮料架就两瓶孤零零的矿泉水，按理应该是赠送的谁知竟然要收费，洗澡的花洒架坏了，难不成要手拿着洗？淋浴和马桶是在一起的没有隔断，一洗澡马桶全湿了，这应该是农家乐的标配。电视机满是雪花点……不说了，火车站附近酒店多如', '短评打分': 3}
{'短评内容': '洒店离昆明火车站大约一公里，下火车走路去酒店大约15-20分钟，周围坐车买东西还是很方便，洒店比较旧，服务员态度很好，有问必答。', '短评打分': 5}
{'短评内容': '总的来说太一般…………', '短评打分': 4}
{'短评内容': '还好，一般', '短评打分': 4}
{'短评内容': '很不错，服务，离火车站近，机场大巴也近', '短评打分': 5}
{'短评内容': '优点：位置好 离机场大巴站很近 离火车站也很近 2个地方都可以走路即到 房间还算干净 挺大的 价格合适  缺点：设施有点旧，低楼层无宽带', '短评打分': 4}
{'短评内容': '优点：位置好 离机场大巴站很近 离火车站也很近 2个地方都可以走路即到 房间还算干净 挺大的 价格合适  缺点：设施有点旧，低楼层无宽带', '短评打分': 4}
{'短评内容': '优点：位置好 离机场大巴站很近 离火车站也很近 2个地方都可以走路即到 房间还算干净 挺大的 价格合适  缺点：设施有点旧，低楼层无宽带', '短评打分': 4}
{'短评内容': '优点：位置好 离机场大巴站很近 离火车站也很近 2个地方都可以走路即到 房间还算干净 挺大的 价格合适  缺点：设施有点旧，低楼层无宽带', '短评打分': 4}
{'短评内容': '不好，前台服务差', '短评打分': 3}
{'短评内容': '不行，太差了，晚上还能收到电话。\n不行，太差了，晚上还能收到电话。', '短评打分': 1}
{'短评内容': '环境不错，而且还有早餐，房间比较大，干净卫生', '短评打分': 5}
{'短评内容': '卫生条件不好，毛巾都是破的。晚上也有骚扰电话', '短评打分': 1}
{'短评内容': '房间不错，服务有待改善', '短评打分': 3}
{'短评内容': '环境不错，干净卫生，而且离飞机场火车站都挺近。', '短评打分': 3}
{'短评内容': '前台服务员态度很差，我都到她面前站了两分钟，她还在玩电脑，问个问题也是爱理不理的，总之让人很不舒服。', '短评打分': 1}
{'短评内容': '昆明春悦酒店自称四星标准，但实际的硬件设施与服务顶多算三星，也没有什么特色，总之，入住后的结论是：名不符实！', '短评打分': 3}
{'短评内容': '离汽车站较近，服务员很热情，早餐不错，品种丰富！', '短评打分': 5}
{'短评内容': '酒店环境一般，就是中途转机住得，服务意识有待提高。', '短评打分': 5}
{'短评内容': '春悦酒店的房间设计还是挺不错的，也蛮干净的，而且地理位置很好，去机场和火车站都很方便。缺点是团队住客太多，有时很晚还在喧哗，影响其他住客休息。另外，早餐也过于简陋了，希望酒店管理层能设法改进！', '短评打分': 5}
{'短评内容': '此酒店条件一般', '短评打分': 3}
{'短评内容': '新酒店，环境不错。这里在昆明离市中心较近的地方。还可以。。。', '短评打分': 5}
{'短评内容': '不要标四星，因为会误导，不过就商务便捷标准而言还是不错的', '短评打分': 5}
{'短评内容': '+价格有些过高,房间小.', '短评打分': 5}
{'短评内容': '酒店的设施配置比较全，服务也很好。房间干净通透。', '短评打分': 5}
{'短评内容': '距离机场很近的一家酒店，附近出行交通很方便。', '短评打分': 5}
{'短评内容': '房间很干净，卫生做的很好。房间整洁舒适。', '短评打分': 5}
{'短评内容': '环境很好,干净!服务态度也好,就是工作人员可能还是新手,动作有点慢!', '短评打分': 5}
{'短评内容': '酒店位置好，入住及出行方便。设施良好，卫生好，安静。就是额外消费不醒目，请大家注意使用', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '位置不错、环境不错、价格也不错，交通方便', '短评打分': 3}
{'短评内容': '+酒店卫生环境还不错', '短评打分': 5}
{'短评内容': '真的很棒！！', '短评打分': 5}
{'短评内容': '价格偏高，设施陈旧，其他都蛮好的。', '短评打分': 1}
{'短评内容': '酒店提供早餐，房间挺好，收拾的干净，服务还行吧。', '短评打分': 5}
{'短评内容': '离机场和火车站都不算远，交通还是挺方便的。', '短评打分': 5}
{'短评内容': '酒店设施都很好 地点很好 离机场很近 ', '短评打分': 5}
{'短评内容': '大床房的房间还是挺宽的，这酒店以接旅游团队比较多，环境还不错的，就是电梯只有一个，另提醒各位不要住靠电梯的房间，因隔音效果不是很好，会很吵', '短评打分': 5}
{'短评内容': '订这家酒店去时有了一个小插曲，我去的时候人很多等了好一会，可是告诉我说我订的带宽带的大床房已经没了 我当时就郁闷了 怎么预定了还会不给留房的 服务员居然还说让我住更贵的水床房 后来协商下我退步住了可以上网的标准房，还有卫生间洗澡的居然没玻璃挡水的 一洗澡卫生间地方都是水 不过除了服务 其它的我感觉都还好吧 确实很干净很舒服！！！ ', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
