{'短评内容': '太悲剧了，房间窗外就在装修！！！！早上根本睡不着！', '短评打分': 2}
{'短评内容': '住了几天不错', '短评打分': 4}
{'短评内容': '住了几天不错', '短评打分': 4}
{'短评内容': '住了几次，挺好的', '短评打分': 4}
{'短评内容': '没早餐，停车方便，房间对得起这个价格', '短评打分': 5}
{'短评内容': '设施，卫生，各方面都不错，房间宽畅，商务出差都不错，虽然位置偏了一点，由于性价比不错，所以常来光顾！', '短评打分': 4}
{'短评内容': '还可以 安静 下次还会再来的 离目的地近', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '周围比起来性价比挺高的', '短评打分': 3}
{'短评内容': '老板人不错，房间干净。', '短评打分': 3}
{'短评内容': '还可以，就是服务不太好，很冷淡，室内环境还不错', '短评打分': 3}
{'短评内容': '还可以，环境不错，床挺大，就是服务一般', '短评打分': 3}
{'短评内容': '这个地方很安静，真的很安静o～～', '短评打分': 4}
