{'短评内容': '房间可以，就是运气不好，入住当天没网了，交通不是很方便。', '短评打分': 3}
{'短评内容': '注安考试期间保持原价，说明店家有诚信。注安考试期间保持原价，说明店家有诚信。注安考试期间保持原价，说明店家有诚信。注安考试期间保持原价，说明店家有诚信。', '短评打分': 5}
{'短评内容': '安静舒适，卫生也不错。', '短评打分': 5}
{'短评内容': '无早餐，不能加床，不适合带孩子，酒店位置一般，有停车场', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '携程上订了房间，过去以后前台说没有这种房间了。真是服了！', '短评打分': 1}
{'短评内容': '房间不好  热水还要打电话才有   而且太冷了', '短评打分': 1}
{'短评内容': '这个宾馆那都好就是太冷了，如果冬天去的小伙伴祝这个宾馆可要穿厚一些。', '短评打分': 5}
{'短评内容': '一般吧，设施陈旧，网络不是很好！学生住的多', '短评打分': 5}
{'短评内容': '一般般，学生住的多！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '服务其他什么的都可以，总体来说还是很不错的宾馆。就是位置不是很好找，有点难找的！', '短评打分': 5}
{'短评内容': '环境一般，配置较齐全，服务态度不错，下次还会再来', '短评打分': 4}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 3}
{'短评内容': '环境太差了，不推荐！还不好找', '短评打分': 3}
{'短评内容': '地方有点偏，但是很清静。周围吃饭卖东西的地方也很多，很方便。', '短评打分': 3}
