{'短评内容': '很好，可惜已经关闭了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '好真的好方便', '短评打分': 5}
{'短评内容': '周边方便', '短评打分': 4}
{'短评内容': '很喜欢 可惜关闭了', '短评打分': 5}
{'短评内容': '一直喜欢酒店式公寓，房间够大，另外一点就是有家的味道，跟老公难得出游', '短评打分': 4}
{'短评内容': '都很好', '短评打分': 5}
{'短评内容': '很好，又大又新', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '地理位置不错，旁边就是地铁，出行很方便的，公寓很干净，设施挺新的，唯独欠缺的就是wifi不好，老掉线', '短评打分': 5}
{'短评内容': '朋友一起出游 性价比高 很不错 ', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': 'Very nice &amp; good located Hotel with a lot oportunities around the Hotel for Shopping, have a drink or dinner. The room was amazing big with kitchen, living room, bedroom and bathroom, all very cle', '短评打分': 4}
{'短评内容': '很满意，整体环境很棒，前台接待也很专业。有很多老外。', '短评打分': 5}
{'短评内容': '性价比高，交通方便，地铁连结。', '短评打分': 4}
{'短评内容': '很满意的酒店，这是第三次入住却是第一次点评，理由是酒店的设施和服务保持得一如既往的好，个人感觉很不容易。住在里面让人有一种家的感觉，让人不忍心弄乱、弄脏、弄坏什么。所以，每次我们就像对待自己的家一样，在离开房间之前忍不住会动手，尽量使其恢复到我们进房时的样子。我自己认为这是我能做到的对宾馆服务予以肯定的最好的表达方式。如果一定要提什么建议的话，那就建议如果可能的话，今后能否提供小瓶的洗洁精或放一些', '短评打分': 5}
{'短评内容': '免费升级的两房套间，好大，两个卫生间，一体化厨房，适合家庭出游。唯一不足的是早餐，88一位，简陋地说，不如自己在房间下点面条。还有停车场不得不说跟迷宫似的。也许酒店式公寓特色。总体满意!', '短评打分': 5}
{'短评内容': '环境一流，就是早餐差了点', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 4}
{'短评内容': '酒店房间不错，虽然价格不低，但价有所值。周边交通方便，吃饭的地方也多，离中央公园也不远', '短评打分': 5}
{'短评内容': '舒适、干净、便捷！', '短评打分': 3}
{'短评内容': '不错的酒店，安静卫生，就是前台的动作有点慢', '短评打分': 5}
{'短评内容': '这里地理位置环境都一流的！下面酒吧也不错', '短评打分': 5}
{'短评内容': '很新、很舒服、房内设备完善，酒店员工经验不足，还有进步空间。', '短评打分': 5}
{'短评内容': '酒店非常舒心，觉得物有所值，唯一的遗憾就是锅子少了点，害得我们家那位不能一展身手', '短评打分': 5}
{'短评内容': ' 环境不错', '短评打分': 3}
{'短评内容': '在苏州的地标建筑188里面 周围料理店很多，很方便，房间很新设备很好', '短评打分': 5}
{'短评内容': 'Good good.. but bed is a little bit smaller, location is good... ', '短评打分': 5}
{'短评内容': '从2010年到今年(2012年)，住过多次；\n1.硬件设备和服务都维持的很不错的状态；\n2.地理条件好；\n3.合理的住房价格；\n综合以上原因，这是我和朋友多次选择他们的原因\n', '短评打分': 5}
{'短评内容': '房间很大 很适合开派对 就是前台有点冷淡', '短评打分': 5}
{'短评内容': '五星级的家,比住酒店的感觉好多了，尤其适合一家人外出旅游。', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '很喜欢这里的套房，很温馨，适合一家人居住。', '短评打分': 5}
{'短评内容': '房间很舒适，前台太小，接待有点慢，周边是工地环境不咋地', '短评打分': 5}
{'短评内容': '  GOOD', '短评打分': 3}
{'短评内容': '适合家庭或者公派长住，除了床比较硬之外，其他都不错。', '短评打分': 5}
{'短评内容': '公寓式房型，装修简单精致，整体还算配置合理。但是装修的气味还很重，暂时不向朋友们推荐！家庭式出行的话，可以考虑这边。', '短评打分': 1}
{'短评内容': '酒店不错，我帮朋友订的是2房经典套房，早餐很棒，下次我会继续订这个酒店，服务很贴心，配套设施都很好，还有就是主房间的景色很漂亮，', '短评打分': 5}
{'短评内容': '新酒店，服务好，订的是酒店公寓，适合商务人士长期租用', '短评打分': 5}
{'短评内容': 'good apartment and helpful staff.  would be great if we could earn miles points or miles.  ', '短评打分': 5}
{'短评内容': '性价比，在苏州还算不错。位置不是很好，不过也不偏。硬件挺好，但很多细节还是比较毛刺，不知道是不是因为全新的缘故。服务上还远没有五星级的水平。家庭或长期包租还是不错的选择。', '短评打分': 5}
{'短评内容': '总的影响还不错，不过距离五星级的酒店式公寓还有差距。服务态度和主动意识上差不少。大堂比较一般，早餐差一些。不过房间还是不错的，楼层高，而且周边比较空旷。景色不错。', '短评打分': 5}
{'短评内容': '酒店软硬件都不错， 有机会还会住，物有所值。', '短评打分': 5}
