{'短评内容': '交通便利，谢谢', '短评打分': 5}
{'短评内容': '非常不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐很一般，没什么太多选择，味道也一般。服务不错，房间也干净，步行范围内也能找到一些餐厅，宾馆的午餐晚餐也还可以，就是营业时间比较短', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '就是地理位置有点偏，不过要是去附近办事的商务出差就很好。餐饮没吃饭，不知道怎么样，不过酒店自带的餐厅餐饮不错，价格也可以。', '短评打分': 4}
{'短评内容': '太仓港区最好的酒店了，多次住过，在港区车站旁边。乘车比较方便，也有去上海的大巴车，去太仓城区及周边古镇也有车。', '短评打分': 4}
{'短评内容': '位置很好，办事很方便。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '位置很好，办事很方便', '短评打分': 5}
{'短评内容': '记不清是第几次一天了，一如既往得不错', '短评打分': 5}
{'短评内容': '环境好，出行方便，服务到位，旅游出行的最佳落脚点！', '短评打分': 5}
{'短评内容': '环境很安静，房间卫生', '短评打分': 4}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '酒店档次不错，就是出行不是很方便', '短评打分': 4}
{'短评内容': '开发区不错的酒店，每次去都住这，房间没问题，服务人员水平还需提高，居然不敲门就拿卡开门了。。。酒店的餐食真心需要提高才符合整个酒店的水平', '短评打分': 5}
{'短评内容': '去太仓就住这家，位置稍微偏一些之外，其他都很满意', '短评打分': 5}
{'短评内容': '  宾馆不错 就是周边没有吃的地方', '短评打分': 3}
{'短评内容': '确实不错的酒店，环境，早餐都不错。缺点就是位置比较偏，周边不方便。值得推荐', '短评打分': 5}
{'短评内容': '非常不错的酒店，行政房设施完备，来开发区的首选，9点来吃早餐时，各类食物已经所剩无几，也不及时补充，望改进', '短评打分': 5}
{'短评内容': '多次入住了，除了地点偏一些除外，其他都不错。', '短评打分': 5}
{'短评内容': '非常好的酒店，环境舒适优雅，用餐种类多而全，很人性化的配套设施及服务。住了你绝对不后悔的。', '短评打分': 5}
{'短评内容': '很不错的酒店，就是周围的配套差了一些，那个郑和面就一般了， 酱油水的味道多了一些。', '短评打分': 5}
{'短评内容': '酒店的环境还可以，，但是周边的配套设施那不是一般的差啊，，没有超市，，没有出租车，，，基本什么都没有，，，', '短评打分': 1}
{'短评内容': '前台接待的态度很好，房间服务也还行，酒店还是相当不错的，早餐好，环境也不错！', '短评打分': 5}
{'短评内容': '在开发区应该是最好的酒店，早餐可口丰富，尤其是郑和面，前台办理入住手续快，房内设施好。', '短评打分': 3}
{'短评内容': '酒店还好，价格合理。', '短评打分': 3}
{'短评内容': '因为客户在这边，就住在这边，总体感觉不错，性价比挺高', '短评打分': 3}
{'短评内容': '住吧，太仓港开发区就这个一个酒店，算得上4星标准吧', '短评打分': 5}
{'短评内容': '春暖花开，酒店开始推广午市自助餐了，88一位，有机会要试一下', '短评打分': 5}
{'短评内容': '前台接待的态度很好，房间服务也还行，简单推荐吧', '短评打分': 5}
{'短评内容': '硬件不错，餐饮一般，方圆数里，独此一家\n不住不行', '短评打分': 5}
{'短评内容': '开发区的厂多了，入住的人也多了，很难定的到\n郁闷', '短评打分': 5}
{'短评内容': '开发区内的酒店，旁边就是开发区管委会，交通不方便，除非自己开车', '短评打分': 5}
{'短评内容': '实在没有别的酒店可以选，没有竞争对手啊\n不过住的还是不错的', '短评打分': 5}
{'短评内容': '郑和面，郑和馄饨，不错\n有一个月没住过了，再去看看\n\n                   ', '短评打分': 5}
{'短评内容': '出差，选这家大酒店，还真是挺不错的,附近也没什么其他选择！', '短评打分': 5}
{'短评内容': '这个酒店还是相当不错的，早餐好，环境也不错！', '短评打分': 5}
{'短评内容': '酒店性价比很高，早餐很丰富。很好的酒店。', '短评打分': 5}
{'短评内容': '酒店还可以，生意很火，房间不多，要住趁早订哦！', '短评打分': 5}
{'短评内容': '在这边附近出差，没得选，独此一家，就住吧，方便！', '短评打分': 5}
{'短评内容': '酒店不错，服务也挺到位的，没有游泳池，和露天晒太阳的，遗憾！', '短评打分': 5}
{'短评内容': '一直住，都很熟了，早餐不错哦，很丰盛，硬件装修也不错！', '短评打分': 5}
{'短评内容': '去玖龙纸业这家最近了,早餐特别好,赞一个', '短评打分': 5}
{'短评内容': '港口开发区，就这一家酒店，没得选择，图的就是方便！', '短评打分': 5}
{'短评内容': '酒店周围很荒僻啊，什么配套都没有，还好是出差，没时间休闲！', '短评打分': 5}
{'短评内容': '住吧，太仓港开发区就这个一个酒店，算得上4星标准吧', '短评打分': 5}
{'短评内容': '生意太好了，不早订还定不到房，该造二期了', '短评打分': 5}
{'短评内容': '早饭的鸡汤小馄饨非常喜欢，下周继续吃\n最近服务意识好了很多，表扬\n                    ', '短评打分': 5}
{'短评内容': '附近没其他酒店，住着还可以，就是经常没有房间，比较麻烦！', '短评打分': 5}
{'短评内容': '位置是比较难找门口也没什么标示物，酒店里面环境还是不错，价格还是蛮便宜的算是物超所值了。早餐种类也很多吃的比较好。', '短评打分': 5}
{'短评内容': '房间装修环境都不错，卫生也很干净，酒店服务态度还是蛮好，倒是位置还是很偏，性价比还算比较合理。', '短评打分': 5}
{'短评内容': '房间挺大的，早餐也不错，设施和服务都还不错，附近吃饭什么的，不方便！', '短评打分': 5}
{'短评内容': '早餐的馄饨不错，几乎每天都吃，建议大家试试', '短评打分': 5}
{'短评内容': '已经住在这里不知道多少次了，几乎每间房都住过了，呵呵', '短评打分': 5}
{'短评内容': '在太仓港，就这么一个酒店，住就住吧，住习惯了', '短评打分': 5}
{'短评内容': '非常高档的一家酒店，四星级的装潢，三星级的价格，非常物超所值，早餐很丰富，中西都有，以后还会来，也会介绍朋友来。', '短评打分': 5}
{'短评内容': '除了吃饭不太方便外 都很好了 价格也不贵的', '短评打分': 5}
{'短评内容': '挺好的阿 各方面都不错啊 推荐推荐 性价比很高', '短评打分': 5}
{'短评内容': '中规中矩，感觉是造给领导们吃饭的\n有些房间有装修的味道', '短评打分': 5}
{'短评内容': '太仓郑和国际酒店里面设施很好,早餐挺不错的,价钱性价比也很高的.', '短评打分': 5}
{'短评内容': '里面设施很好,早餐挺不错的,价钱性价比也很高的.', '短评打分': 5}
{'短评内容': '酒店服务很好。会议室设施不错！房间很大，很舒适！', '短评打分': 5}
{'短评内容': '酒店服务不错,让客人感受到回家感觉.', '短评打分': 3}
{'短评内容': '酒店设施还是很不错的，服务员态度好，服务效率高，早餐口味不错，住宿环境还是蛮好的', '短评打分': 5}
{'短评内容': '酒店的服务还不错，办事效率快，态度也很热情。', '短评打分': 5}
{'短评内容': '酒店的服务很周到，房间打扫的也不错，设施也还行，住的还比较满意。', '短评打分': 5}
{'短评内容': '我觉得房间卫生很好，设施也很齐全，住起来感觉还不错。', '短评打分': 5}
