{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '地理位置比较优越，距离出差地点较近。整体还可以。这个房价在福州区算是相对比较优惠的了。下次出差还会选择这里。', '短评打分': 4}
{'短评内容': '酒店一般，设施比较陈旧，隔音效果不好，路上的汽车声好响。早餐比较简单，不过周边吃的很丰富，交通也便利。', '短评打分': 3}
{'短评内容': '这次住的房间被安排在10楼，房间很旧，浴室看到蟑螂。床也别硬，应该只是一块木板。我这次只住一晚，带母亲去做身体检查。再来是因为上次母亲住过，说还可以。但是这次在10楼的房间跟我母亲之前住的完全不同。特别破旧，床也特别不舒服。一晚上母亲因为床太硬都没睡。很失望。以后不会再去了。', '短评打分': 2}
{'短评内容': '很好！环境不错，价格不贵！', '短评打分': 5}
{'短评内容': '服务态度五星，停车方便', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '服务态度很好，下次再来', '短评打分': 5}
{'短评内容': '酒店服务人员很热情，环境不错，性价比很高！', '短评打分': 5}
{'短评内容': '房间环境查了一些', '短评打分': 3}
{'短评内容': '房间环境差了点', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '在福州性价比高', '短评打分': 5}
{'短评内容': '对得起这个价格，里面还有按摩椅，就是空调不给力，居然还得用电风扇', '短评打分': 5}
{'短评内容': '马马虎虎可以', '短评打分': 5}
{'短评内容': '没有房间了，没住', '短评打分': 5}
{'短评内容': '不错 不错 可以的 可以的', '短评打分': 5}
{'短评内容': '一百多块钱的话还可以凑合住，太久了，装修时间太长了，如果重新装修一次，肯定会更好', '短评打分': 4}
{'短评内容': '老酒店了，装修太旧，空调声音和排风扇太大声！不太好', '短评打分': 3}
{'短评内容': '安静舒适，交通便利，只是中央空调没开启制冷', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总的来讲还不错，就是装修旧了', '短评打分': 5}
{'短评内容': '非常不错，住的很舒服', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '连住连住哦…', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很不错，但是设施有点老，其他的还算好', '短评打分': 5}
{'短评内容': '住这里几次了，如果论房间里来说会比旁边戴斯强，其他一般，不过算对得起这个价格！', '短评打分': 5}
{'短评内容': '蛮好蛮好蛮好', '短评打分': 4}
{'短评内容': '太差，太旧，太老，空调又不好，只能值八十块一天的标准', '短评打分': 1}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '环境不错。。。。。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '整体环境还行，床板比较硬，早餐是我吃过最差的了。\n离目的地比较近，交通方便。', '短评打分': 5}
{'短评内容': '房间不错。但是酒店的电梯居然没有空调、排气的，又热又闷。早饭不敢恭维。', '短评打分': 5}
{'短评内容': '订的豪华双人房,昨天入住.酒店电梯居然没空调,又热又闷.房间还可以.建议自带洗漱用品.早餐实在不合口味.', '短评打分': 3}
{'短评内容': '龙祥酒店地理位置好，服务热情，当有需求询问时，可以及时解答', '短评打分': 5}
{'短评内容': '服务员服务意识差，房间内设施陈旧，楼下酒楼生意很好，但只要两部电梯，人多时需要等待', '短评打分': 1}
{'短评内容': '房间内空间很大，但部分楼层5月份，天气温度高达30度都不开中央空调，另外房间内的设施很旧。', '短评打分': 1}
{'短评内容': '对面的戴斯太贵要400多 最近就是这家 但是比较老 早餐太简单。希望早餐能多些。', '短评打分': 5}
