{'短评内容': '都不错   住的别舒服', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '酒店服务态度很好，开始的房间空调不好用，要求换房，在得到确认后，立即给换了，很满意！', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '早餐非常好吃，房间非常干净，交通也非常方便，服务员态度非常好，下次还来光顾！', '短评打分': 5}
{'短评内容': '不错不错，态度很好，服务很到位', '短评打分': 5}
{'短评内容': '光景可以，就是交通不便', '短评打分': 4}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。一般', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '酒店房间设施一般，卫生间设计很不合理', '短评打分': 4}
{'短评内容': '设备有些陈旧，没有早餐。', '短评打分': 3}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '还可以！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '还可以吧，就是排风，空调外挂机噪音有点大！', '短评打分': 4}
{'短评内容': '不错，酒店干净，清净，呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵。', '短评打分': 5}
{'短评内容': '挺好的，干净，地理位置有点偏了，整体感觉良好', '短评打分': 5}
{'短评内容': '实践只入住了2间房。', '短评打分': 3}
