{'短评内容': '第一：酒店周围公共山水资源已经变成金地的房地产，晚上在湖边散步都会被工作人员及保安吼“滚出去”。第二：酒店餐厅里有老鼠。', '短评打分': 3}
{'短评内容': '还行吧。。。。。。。。。。。。。，人少路难走。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。\n，找不到路口。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': 'it`s ok..................', '短评打分': 5}
{'短评内容': '各方面都还好，卫生一般。开灯不太方便。服务员还不错。', '短评打分': 5}
{'短评内容': '环境不错,酒店设施比较陈旧.交通不是很方便.建议自驾入住.', '短评打分': 1}
{'短评内容': '酒店绿化的非常好，环境优美空气清新宜人。', '短评打分': 5}
{'短评内容': '服务人员素质蛮高的，有求必应。态度热情效率很高。', '短评打分': 5}
{'短评内容': '房间很宽敞，床和淋浴都非常舒适，对酒店很满意。', '短评打分': 5}
{'短评内容': '伯爵山庄的配置齐全，环境舒适价格也不贵。', '短评打分': 5}
{'短评内容': '度假型酒店，环境很好。配套的娱乐休闲设施也比较全。', '短评打分': 5}
{'短评内容': '房间面积大，床也大，睡得舒服，卫生间设施齐全，喷头出水量大，房间也蛮隔音的', '短评打分': 5}
{'短评内容': '停车方便，装修风格有些复古，其他都蛮好。', '短评打分': 5}
{'短评内容': '服务不错，很周到', '短评打分': 5}
{'短评内容': '性价比很好的酒店，适合度假，休闲。', '短评打分': 5}
{'短评内容': '度假村性质的酒店，风景很好，卫生不错，入住的地方也很干净，配备夜总会，可以娱乐一下。', '短评打分': 5}
{'短评内容': '设施很好，环境也不错。可惜酒店的水库没有鱼可钓了。', '短评打分': 5}
