{'短评内容': '酒店环境真不错。', '短评打分': 3}
{'短评内容': '很好 很舒適 房間超級大', '短评打分': 3}
{'短评内容': '服务太差劲了，一对房间有意见就没人理我。结果直接不住走人，押金随便怎么扣。占着有信用卡担保的提点意见都不行，还要入住三天前就不准修改。简直就是坑人嘛', '短评打分': 1}
{'短评内容': '酒店的房间望出去就是古城全景，比四方街那的晚上早上安静很多，离四方街又近，位置高，设计也很棒。小莫很热情服务很好，像林志玲。下次还会去。比较了和府皇冠，还是觉得这家最好。', '短评打分': 5}
{'短评内容': '人性化的服务，居家类的感觉，很贴心，让我住在这里很踏实.', '短评打分': 5}
{'短评内容': '服务人员热情周到，以我们也特别照顾，给我印象挺深的，而且他们是少数民族，装潢很有味道.', '短评打分': 5}
{'短评内容': '地段非常不错，距离狮子山非常近，就行就可以过去，出行极为方便.', '短评打分': 5}
{'短评内容': '位置非常不错，基本上算是中心位置，从酒店出去去景点非常方便.', '短评打分': 5}
{'短评内容': '客栈的卫生做得非常不错，干净且舒适，有种居家的感觉，淡淡的清新.', '短评打分': 5}
{'短评内容': '距离狮子山很近，走路很快就能到，很方便', '短评打分': 5}
{'短评内容': '服务很好，态度很友善热情，在我的期待中客栈的服务员给唱了纳西民歌，赞', '短评打分': 5}
{'短评内容': '客栈的地理位置很好，可以说占尽了天时，地利，被景点包围着，出行很方便', '短评打分': 5}
{'短评内容': '客栈的卫生很干净，清洁，而且有种淡淡的不是香水味的自然香味，很怡然', '短评打分': 5}
{'短评内容': '客栈可以给洗衣服哦，而且洗的方式跟在酒店不一样，挺干净的，穿上很舒服', '短评打分': 5}
