{'短评内容': '不打电话给客服根本不知道在哪  连牌子都没有', '短评打分': 3}
{'短评内容': '服务态度好，周围环境好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '我真的不太想说什么了，我半个月前就预定了，开开心心的去沈阳玩，到了地方找不到不说，电话咨询位置在哪，直接告诉我已经满房，告诉店家有预定，半个月前就预定了，店家告诉我预定的也没了，根本就没给留房，刚好还过了取消预定的时间，好在最后一次交涉的时候，还是把钱退给了我，但是因为店家的失误导致我重新预定酒店增加了我的支出还浪费了我半个下午的时间，开开心心的出游就搞成这样了，也是醉了', '短评打分': 1}
{'短评内容': '还是蛮好的！住了半个多月', '短评打分': 5}
{'短评内容': '强烈推荐，希望不止我一个人被坑，', '短评打分': 2}
{'短评内容': '设施陈旧，空调不好使，睡觉冻死了，店主人很好。', '短评打分': 4}
{'短评内容': '房间还不错，就是小旅馆，没有毛巾 房间还不错，就是小旅馆，没有毛巾', '短评打分': 3}
{'短评内容': '看评论说位置不好找 其实还好啦 楼下有个超市到了给店家打电话出来节的，态度很好 一应俱全！', '短评打分': 3}
{'短评内容': '非常好，服务到位', '短评打分': 5}
{'短评内容': '不好不好不好不好不好不好不好', '短评打分': 1}
{'短评内容': '地理位置挺好找的，环境也不错。挺干净的，服务态度也很好。', '短评打分': 3}
{'短评内容': '曾于2014年11月和2015年3月2次入住该公寓，对比如下：1. 价格提高了。第一次入住实价90，第二次是108返16，注意不是减少房费哦，而是返券。2.面积变小了。不是一种房型，面积小了不少。3.洗澡水小了，洗澡不畅快了，而且热水器加热慢，必须速战速决。4.电视也小了，这都跟房间面积成正比的。所幸老板的态度还是一样的好，而且网速不赖。至于以后还会不会考虑入住，要看连锁酒店的价格怎样。毕竟连锁酒', '短评打分': 4}
