{'短评内容': '还不错的！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐很好，不过7点开始有点晚了，都是来旅游的人，如果能早个一刻钟就好了，就能赶上7:10去三清山的班车。酒店卫生不错，房间也很大，吃了晚餐，也很棒', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店不错，以后应该还会再来。', '短评打分': 5}
{'短评内容': '信赖京东，发货超快，服务很好！', '短评打分': 5}
{'短评内容': '还行吧 早餐差了点', '短评打分': 4}
{'短评内容': '酒店很好，以后应该还会再来。', '短评打分': 5}
{'短评内容': '酒店设施一般，环境及服务都很好，离高速路口很近，性价比高。', '短评打分': 4}
{'短评内容': '环境幽静，服务很好，出行方便。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，不错', '短评打分': 5}
{'短评内容': '环境一般，早餐还行', '短评打分': 4}
{'短评内容': '读大学时就想着住皇朝，住了后确实还满意，房间大，设施保存完好。隔音效果好', '短评打分': 5}
{'短评内容': '位置不错，服务真心不好，整体看来缺乏管理。', '短评打分': 3}
{'短评内容': '很好很好的酒店！加油加油加油', '短评打分': 3}
{'短评内容': '房子很大，整体来讲还算好了！浴室要配个花洒就好了！', '短评打分': 3}
{'短评内容': '挺乾淨清潔的，適合公務出差', '短评打分': 3}
{'短评内容': '房间好大，位置比较好找，价格比较便宜，就是早餐不太好，得不到四星的标准，总的感觉不错。', '短评打分': 5}
{'短评内容': '套房很大，位置也比较好，价格比较低，就是早餐品种不是太多，总的感觉蛮好！', '短评打分': 5}
