{'短评内容': '地理位置优越，住宿环境很好，值得点赞，推荐推荐！', '短评打分': 5}
{'短评内容': '价格便宜，性价比高，两百元六十平的房间啥概念', '短评打分': 5}
{'短评内容': '环境服务还不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '挺好的，就是房间有点太大了，空空的。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还行吧，住了几次了', '短评打分': 5}
{'短评内容': '房间设施设备太旧了，住着不太舒服', '短评打分': 3}
{'短评内容': '赞?赞?赞?赞?赞?赞?', '短评打分': 1}
{'短评内容': '位置优越，停车方便，名大于实。', '短评打分': 4}
{'短评内容': '交通便利，周边吃饭也很方便。出行不错的下榻酒店', '短评打分': 4}
{'短评内容': '帮爸妈订的，反馈很好，地理位置好，服务态度好，房间干净卫生，餐饮也不错，价位也合理。总之都挺好的，点个赞！', '短评打分': 4}
