{'短评内容': '小而精致 蛮舒服的 地理位置也很', '短评打分': 5}
{'短评内容': '卫生还可以，屋子有点小，卫生间、洗澡间都很小。还有，这个时间来上海真冷啊，开空调声音还有点大，不太舒服，下次订个四星以上的酒店。这次考虑到价格，我忍了。', '短评打分': 4}
{'短评内容': '卫生还可以，服务态度很一般，交通十分便捷，楼下各种吃的店铺及小超市都有!', '短评打分': 5}
{'短评内容': '干净利落，服务热情', '短评打分': 5}
{'短评内容': '离胸科医院近 方便。', '短评打分': 4}
{'短评内容': '给朋友订的，还可以，省心', '短评打分': 5}
{'短评内容': '位置比较不错，有停车场很方便，房间比较小', '短评打分': 5}
{'短评内容': '交通便利，离地铁站很近，周围吃的不少，早餐有KFC', '短评打分': 5}
{'短评内容': '离10号线虹桥路站很近，出行方便。房间干净，整洁，服务人员很亲切。', '短评打分': 5}
{'短评内容': '环境干净整洁 也很方便 有地铁站 十号线直达机场 周边饮食店较多 便利店也有  已经住了第三次了 不过当时订的时候说有返券 可是到现在也没返', '短评打分': 5}
{'短评内容': '性价比还是可以定', '短评打分': 5}
{'短评内容': '经济酒店里还是不错 房间设施够用 魔都的房价也没啥好吐槽了 因为靠近交大 周边吃饭的地方不少 也没那么闹 只是离地铁站有点远 门口倒是有公交站 很久来一班……', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': 'Clean enough and tidy, location was great close to a few bars and restaurants. Would recommend in future if visiting on business and only want a room for the night. The koala bar is only a short taxi ', '短评打分': 4}
{'短评内容': '職員工包括前台到清潔衛生的態度都非常好，值得推許，酒店地點離地鐵站有點距離，但徐家匯去上海各處地點都非常方便。WIFI網絡的接收有可改進空間。', '短评打分': 4}
{'短评内容': '酒店位置非常便捷，距離地鐵站約步行十分鐘．周遭生活機能完整，步行五分鐘內即可到達超市和各式餐廳．前台人員和清潔人員態度友善，有求必應．', '短评打分': 4}
{'短评内容': '酒店位置不错，距离上海交大很近。出行便利。卫生方面，打扫很仔细。便宜，总之，价廉物美。出差这边都会考虑这家，挺好的。', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '位置放便', '短评打分': 5}
{'短评内容': '房间很干净而且空间大，卫生间装修成色很新，空调较强劲。整体感觉比如家快捷要好。距离交大徐汇校区约300米，附近吃饭的地方很多，小超市也很多。', '短评打分': 5}
{'短评内容': '房间简单干净，就是小了点，地方安静，就是窗帘遮光效果不够好', '短评打分': 1}
{'短评内容': '离徐家汇有大概2站，离10号线交大站5分钟路程。酒店周围还算繁华，标间床有点小，厕所有点小。', '短评打分': 3}
