{'短评内容': '还可以吧可以吧', '短评打分': 5}
{'短评内容': '环境还可以，最主要便宜', '短评打分': 5}
{'短评内容': '垃圾酒店，说是酒店都对不起“酒店”两个字，比那种旅馆和客栈还要垃圾。房间里面Wifi没有，洗漱用品什么都没有，床单破的。最主要的是热水，热水都没有，开了近半个小时都没有，第二天退房跟前台讲说没热水，她说不可能的，说不可能会没有热水，搞的我们骗人一样，搞的我们无中生有一样。。。。。。。。好了，隔了一天，我们又故意去住，还特意让她换其他房间，到了房间开了很久还是没有热水，直接打电话给前台，前台还不相信', '短评打分': 1}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '和描述的差距太大，到了是地下室，又潮又有味道。没的说了。', '短评打分': 1}
{'短评内容': '这家酒店环境很好，服务态度很好，可以选择', '短评打分': 5}
{'短评内容': '还行吧。', '短评打分': 4}
{'短评内容': '整体还不错，没有浴巾、没有一次性拖鞋', '短评打分': 4}
{'短评内容': '无浴巾及一次性拖鞋，其他还不错', '短评打分': 5}
{'短评内容': '房间挺干净，但设施略显陈旧', '短评打分': 5}
{'短评内容': '被子脏。卫生间差。蚊子多。霉味重。一分钱一分货呀', '短评打分': 2}
{'短评内容': '蚊子多，被子臭，床很差， 发霉味', '短评打分': 2}
{'短评内容': '入住的时候被单未焕', '短评打分': 2}
{'短评内容': '环境一般，无线太不稳定了，时断时续的', '短评打分': 3}
{'短评内容': '酒店价格挺便宜的位子也不错', '短评打分': 3}
