{'短评内容': '值得这个价格，宾馆非常不错！！！离我要去的地方也近。。。。。。这个价格值得拥有！！！哈哈哈哈哈哈。。', '短评打分': 5}
{'短评内容': '价格便宜，条件可以', '短评打分': 5}
{'短评内容': '', '短评打分': 2}
{'短评内容': '', '短评打分': 2}
{'短评内容': '', '短评打分': 2}
{'短评内容': '划算的价格', '短评打分': 5}
{'短评内容': '酒店很划算', '短评打分': 5}
{'短评内容': '还不错吧。就是感觉有点老旧', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '交通比较方便，就是酒店设施老旧，墙壁很多地方都长霉了', '短评打分': 4}
{'短评内容': '酒店地理位置佳，靠近时代广场。服务好，卫生好！', '短评打分': 4}
{'短评内容': '酒店位置很好，附近吃饭，购物很方便，特色小吃很多。房间卫生一般，一分钱一分货，性价比还可以接受的。已经多次入住，主要去火车站很方便', '短评打分': 4}
{'短评内容': '还行，感觉挺温馨的。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以……………………', '短评打分': 4}
{'短评内容': '房间设施不错，房间大，干净，网速有点慢。就是走廊里的地毯有点恐怖。', '短评打分': 5}
{'短评内容': '原本定的121，结果房间设施太差了，换了一个158的设施一般，只是大了点有个窗子', '短评打分': 1}
{'短评内容': '第二次入住 感觉很好', '短评打分': 3}
{'短评内容': '干净，卫生，服务也挺好，下次还会去住的！', '短评打分': 5}
{'短评内容': ' 房间格局装修很好  房间空气不是很清晰 似乎有吸烟后的味道 希望酒店可以处理改进', '短评打分': 3}
