{'短评内容': '实惠大气上档次', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店太旧了，手机没有信号，', '短评打分': 3}
{'短评内容': '很不错的服务和环境', '短评打分': 5}
{'短评内容': '破酒店，内宾房连沐浴露都丑了', '短评打分': 2}
{'短评内容': '无早餐房间设施老旧环境不好门口修路不可加床网上介绍酒店房间设备与现实不一样空调老旧墙壁有多处脱落噪音大距公交站太远无出租到酒店门口', '短评打分': 3}
{'短评内容': '设施老旧，可能不换洗床单，因为枕头底下有一根两尺多长的头发（本人男，短寸发型），卫生间有苍蝇', '短评打分': 2}
{'短评内容': '6666666', '短评打分': 5}
{'短评内容': '一般吧！服务态度不咋地而且房间有点脏！', '短评打分': 5}
{'短评内容': '不错  还可以', '短评打分': 5}
{'短评内容': '还可以   客房服务还行', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '晚上去住一晚，就是住宿其他什么都不好', '短评打分': 2}
{'短评内容': '价格超级实惠，房间干净，位置也很好，下次还住这家。', '短评打分': 4}
{'短评内容': '睡得很香，还可以', '短评打分': 4}
{'短评内容': '价格公道，物有所值', '短评打分': 4}
{'短评内容': '臭到死', '短评打分': 1}
{'短评内容': '酒店位置离火车站近，附近公交车也很多，出行比较方便，对于环境要求不太高的人来说，这个价位应该算性价比较好的了，', '短评打分': 4}
{'短评内容': '说好了是108到店了确收了118也不知道怎么返现的。酒店的前台服务真的很一般，爱理不理的，连带房的服务员都没有要自己去找房间，自己却在和保安聊天，问她怎么不是网上定的价钱连她们自己都说不清楚。下次肯定不后悔在光顾了！', '短评打分': 4}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '不怎样。空调没有温度相当于没开', '短评打分': 1}
{'短评内容': '房间挺好，干净舒适卫生，无线网络信号有待提高。', '短评打分': 4}
{'短评内容': '京东的第一个1星评价！住了很多天，也确实入住了，就是说我未入住，还跟酒店工作人员核实，给的答复是 再等等吧。\r\n有想入住的，想好积分再下单', '短评打分': 1}
{'短评内容': '环境好，服务棒！！！', '短评打分': 5}
{'短评内容': '离成都站挺近，房间还可以就但是无窗的房间有些潮湿发霉的味道，我入住的时候房间宽带是坏的，不过报修后维修的还算及时。', '短评打分': 5}
{'短评内容': '不错，周围性价比较高的酒店，就是窗户开在过道里，很矮，还不如没窗户。', '短评打分': 5}
