{'短评内容': '卫生环境都好', '短评打分': 5}
{'短评内容': '老高速路口，自己开车还可以，但是要是打车，就别想了！', '短评打分': 4}
{'短评内容': '还可以 设备老化严重', '短评打分': 3}
{'短评内容': '感觉还不错，态度也好！', '短评打分': 5}
{'短评内容': '在这个价位，总体上还不错', '短评打分': 5}
{'短评内容': '可以，', '短评打分': 4}
{'短评内容': '酒店位置很好，距离高速很近，上高速方便，停车场免费，不错，挺好的，房间面积也很大，服务员服务态度也很好，可以刷卡，很方便。', '短评打分': 5}
{'短评内容': '一如既往的好，只是装修有点陈旧了！', '短评打分': 4}
{'短评内容': '一般吧，就是对的起价格，设施陈旧无所谓，还算干净。但是服务太差了。早上问你续房不，我说续，前台直接挂掉电话。。。。。。', '短评打分': 3}
{'短评内容': '正好在办事地点附近，环境还行，规模大', '短评打分': 5}
{'短评内容': '还可以吧。。', '短评打分': 5}
{'短评内容': '高速出口确实方便。包早。跟一般商务差不多！！！！！', '短评打分': 3}
{'短评内容': '不错，房间挺大，安静，交通也便利', '短评打分': 3}
