{'descr': '位置超值，价格还好。旁边吃饭购物都是非常的方便', 'star': 5}
{'descr': '房间比较简陋一点，床挺旧的，但是热水倒是供应得挺充足', 'star': 1}
{'descr': '房间还是可以的。电视可以点播的节目很多。。但是不知道是床单还是垫子。有很重的霉味，望清洁', 'star': 5}
{'descr': '这个酒店是我住过的最差的酒店。第一，卫生差。第二，隔音很差。总之 ，没有哪一点是值得推荐的。刚进酒店房间的时候，就看卫生间，浴缸是黄的，非常脏，估计从来都没有洗过。浴帘上也有很多的污渍。然后再看看房间内部的布置吧，非常简单非常小，还有，卫生间洗澡用的热水居然要放很长时间才会出现热水，真是悲剧到了极点，一般正常的酒店都是24小时提供热水的，而这个酒店却热水都不及时，实在是太差了。', 'star': 1}
{'descr': '蛮好，这个价位里面条件已经够可以的了，还有早餐，不错', 'star': 5}
{'descr': '环境脏乱，隔音效果很差。。。。绝对不值它的房价', 'star': 1}
{'descr': '房间实际状况比照片相差太大，几乎就是普通的旅馆，但价格还高些。', 'star': 1}
{'descr': '酒店挺让人失望，环境差不说，服务也只能说一般，淋浴的水太小。', 'star': 1}
{'descr': '这个酒店是我住过的最差的酒店。第一，服务差。第二，卫生差。第三，隔音很差。总之 ，没有哪一点是值得推荐的。刚进酒店房间的时候，就看见了床被上一滩水，让我们的心情一下子变差了。然后再看看卫生间，浴缸是黄的，非常脏，估计从来都没有洗过。浴帘上也有很多污渍，马桶内壁也很脏。然后再看看房间内部的布置吧，非常简单非常小，椅子上一层灰尘，估计从来都没有擦过。房间内居然连个热水器都没有，这样最简单的设施居然都没', 'star': 1}
{'descr': '干净整洁，价格公道。虽然娱乐工具只有电视，但对于学生来说，挺实惠。', 'star': 5}
{'descr': '经济型酒店，还好，床虽然硬了一点，被子很干净，服务态度也很好，', 'star': 5}
{'descr': '＋好', 'star': 5}
{'descr': '+房间比较旧', 'star': 3}
{'descr': '房间比较陈旧，但是卫生和服务还好，所以感觉还可以吧', 'star': 5}
{'descr': '房间不大，隔音不好，性价比好。可免费打市内及长途电话。', 'star': 5}
{'descr': '房间面积有些小.早餐不是很好.不是自助式.性价比还可以.位置好,综合感觉还不错.', 'star': 5}
{'descr': '前台的服务态度很好，房间也比较干净。', 'star': 5}
{'descr': '旅店位置很好，交通很便利，购物也很方便。', 'star': 5}
{'descr': '服务挺好的，房间有点小，不过还算整洁。', 'star': 5}
{'descr': '卫生情况一般，房间小了点儿。', 'star': 5}
{'descr': '性价比还可以，就是房间的隔音不太好。', 'star': 5}
{'descr': '房间隔音较差  走廊的声音听的很清楚  下水管的声音好像就在耳边  建议及时改进  服务还挺好的', 'star': 1}
