{'短评内容': '卫生间偏小，早餐一般', '短评打分': 4}
{'短评内容': '浴室水会满出来', '短评打分': 4}
{'短评内容': '绝对绝对就是', '短评打分': 4}
{'短评内容': '老牌酒店，应该是仓南最好之一', '短评打分': 5}
{'短评内容': '整体感觉很好', '短评打分': 5}
{'短评内容': '整洁', '短评打分': 5}
{'短评内容': '干净，出行方便', '短评打分': 5}
{'短评内容': '位置可以 酒店比较旧 ', '短评打分': 4}
{'短评内容': '位置还可以，周边没啥东西', '短评打分': 4}
{'短评内容': '真是一般的很，早餐不敢恭维', '短评打分': 5}
{'短评内容': '马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎马马虎虎', '短评打分': 3}
{'短评内容': '服务员很热情，酒店设施有些陈旧', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '经常在这里住，感觉很好的，比国际大酒店好一点。以后还会来住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': ' 房间卫生干净，只是小了点，还不错。', '短评打分': 3}
{'短评内容': '卫生间太小了，不过周边也没有其他像样的酒店了。', '短评打分': 5}
{'短评内容': '帮外国采购商和同事订的房，应该住得还可以的吧。', '短评打分': 5}
{'短评内容': '酒店设施一般，服务还可以', '短评打分': 3}
{'短评内容': '价格过高,环境一般,房间内吃的东西太少,附近晚上也没有便利店.', '短评打分': 1}
{'短评内容': '基本情况都很好，唯一的缺点就是周围比较荒凉', '短评打分': 3}
{'短评内容': '酒店四面全部在施工 有点吵 前台对业务不熟但态度还行 周围没吃的', '短评打分': 3}
{'短评内容': '国家挂牌4星级酒店，环境安静，价格有点高，跟同一个地方的苍南国际大酒店有点差距，可能是万豪大酒店比较早吧', '短评打分': 5}
{'短评内容': '设施还好，只是服务态度不怎么样。大床房说没有了，给了一个双床的，跟总台说换，被告知要加70，等用另外一个网站定了大床房又说可以换大床房，但是要高一个等级，加40，前后价格不一样，我们坚持要同等的大床房又说没打扫出来......最后还是要到了同等级的大床房。五楼的康乐中心也是一样，服务员的态度就变得有点蛮横无理了，不过还好后来过来的经理态度还是蛮不错，事情圆满解决了~', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '交通非常方便，在苍南算是比较好的酒店了，国际没订上', '短评打分': 5}
{'短评内容': '酒店在动车站前正前方，步行差不多10分钟吧；\n酒店总体环境还可以，早餐丰富；\n', '短评打分': 5}
{'短评内容': '离火车站很近,不过位置确实偏了一点,自己吃个晚饭还要跑很远.\n房间设施、卫生搞得一般，早餐实际也一般（和酒店价位不相符）。\n不过苍南目前没什么好的或者性价比高的酒店啊，相对来说这家算可以的啦。', '短评打分': 5}
{'短评内容': '苍南万豪酒店离火车站近，交通便捷。四星酒店，价格实惠，房间较大，设施齐全，早餐丰盛', '短评打分': 3}
{'短评内容': '不错的酒店，早餐，和晚上的自助餐都不错，下次还会入住', '短评打分': 5}
{'短评内容': '宾馆不错。物价比较合理。房间也不错，挺大的。下次还住。', '短评打分': 3}
{'短评内容': '房间挺好，干净整洁，早餐有档次，就是位置较偏，只能在酒店吃饭。', '短评打分': 5}
{'短评内容': '早餐真的不错，有万豪的水准\n我们大家都很喜欢。\n就是周边太遍了一点，晚上吃夜宵的都没有', '短评打分': 5}
{'短评内容': '位置挺偏的，周边没什么吃饭的地方。房间设施还可以，感觉早餐品种较多，比较满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '硬件不错的，外壳不错，有用科勒的东东，小节不够，也可以了，', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，服务也很到位，下次还会去入住。', '短评打分': 5}
{'短评内容': '房间比较大，卫生也不错，就是早餐品种太少了。', '短评打分': 5}
{'短评内容': '不错的酒店，环境也很好，比较舒适！！！', '短评打分': 5}
{'短评内容': '位置离火车站不远，还送了个果盘。', '短评打分': 5}
{'短评内容': '05月24日我入住1001房间，房间有苍蝇好大的两个。搞得我好难受。有蚊子就不说了。两个好大的苍蝇真是好难受。恶心的是酒店好像无所谓，没有一句道歉的话。半夜一点才打电话问我要不要换房间。拜托了，管理太差。有需要我就上传照片。', '短评打分': 1}
{'短评内容': '算苍南地区最好的酒店,去市中心挺近的,非常方便.', '短评打分': 5}
{'短评内容': '设备也比较齐全，睡衣浴巾都有。服务生都很不错，交通也比较方便，视觉上很不错，比较开阔', '短评打分': 5}
{'短评内容': '除非没有其他酒店住！', '短评打分': 1}
{'短评内容': '还可以吧,就是感觉前台的服务态度不好!', '短评打分': 5}
{'短评内容': '房间不错，挺舒服，早晨的餐厅太差了，到处都是苍蝇不少于150只，吓人啊怎么敢吃早晨啊，马上走人', '短评打分': 1}
