{'短评内容': '房间窗帘有烟洞。我还在床上发现珍珠奶茶的珍珠...', '短评打分': 4}
{'短评内容': '实在太陈旧了，地毯又脏又臭，床软的没法入睡，真难以形容。我都不知道这些好评哪里来的。', '短评打分': 2}
{'短评内容': '还是很好的', '短评打分': 5}
{'短评内容': '床很软，挺不错的。你懂的。', '短评打分': 3}
{'短评内容': '还可以，就是隔音不好，电源头充电不方便', '短评打分': 3}
{'短评内容': '还可以，就是房间隔音不好', '短评打分': 3}
{'短评内容': '房间有点小，其他还不错', '短评打分': 3}
{'短评内容': '可以，可以，可以，key', '短评打分': 3}
{'短评内容': '环境还可以，就是预订中途有些问题。', '短评打分': 4}
{'短评内容': '帮朋友订的，便朋友说总体还不错', '短评打分': 4}
{'短评内容': '二楼，临街有点吵......明明定的时候是双床，结果入住的时候说安排的单床，还加了10元钱才是1米8的......我记得我定的不是豪华间吗？就算不是双床也不应该是1米5的吧......', '短评打分': 4}
{'短评内容': '整体环境还不错，隔音效果不是很好', '短评打分': 5}
